"Расписание занятий
на 2 семестр 2025-2026 учебного года
институт инженерии и робототехники 2 курс",column_1,column_2,column_3
Дни,Часы,С-НТС-201,С-НТС-202
"к
и
н
ь
л
де
не
о
П",8.30-10.00,"лек. ТЕХНОЛОГИЯ КОНСТРУКЦИОННЫХ МАТЕРИАЛОВ
доц. Павлов А.В. 423",
,10.10-11.40,"лек. ЭНЕРГЕТИЧЕСКИЕ УСТАНОВКИ АВТОМОБИЛЕЙ И ТРАКТОРОВ
проф. Коцарь Ю.А. 125",
,12.00-13.30,"пр.з. развитие современного автомобилестроения
Анисимов С.А. Зайкин А.С. 106","лаб.з. энергетические установки автомобилей и тракторов
Коцарь Ю.А. Азизов И.Р. 125, 123"
,13.40-15.10,"лаб.з. энергетические установки автомобилей и тракторов
Азизов И.Р. Коцарь Ю.А. 125","пр.з. развитие современного автомобилестроения
Анисимов С.А. Зайкин А.С. 106"
,15.20-16.50,,
,17.00-18.30,,
"к
и
н
р
о
т
В",8.30-10.00,,
,10.10-11.40,"пр.з. общая физическая подготовка
Нефедова Ю.В. сок","пр.з. общая физическая подготовка
Тарасов В.А. сок"
,12.00-13.30,"пр.з. технология конструкционных материалов
Павлов А.В. 421","пр.з. технология конструкционных материалов
Березкин А.С. 423"
,13.40-15.10,,
,15.20-16.50,,
,17.00-18.30,,
,8.30-10.00,,
,,,
"а
д
ре
С",10.10-11.40,,
,,лек. БЕЗОПАСНОСТЬ ЖИЗНЕДЕЯТЕЛЬНОСТИ доц. Надежкина Г.П. 217,
,12.00-13.30,"пр.з. управление проектами
Черненко Е.В. 518а","пр.з. безопасность жизнедеятельности
Надежкина Г.П. 407"
,13.40-15.10,"пр.з. безопасность жизнедеятельности
Надежкина Г.П. 208","пр.з. управление проектами
Черненко Е.В. 518а"
,15.20-16.50,лек. УПРАВЛЕНИЕ ПРОЕКТАМИ доц. Черненко Е.В. 518а,
,,лек. РАЗВИТИЕ СОВРЕМЕННОГО АВТОМОБИЛЕСТРОЕНИЯ доц. Анисимов С.А. 217,
,17.00-18.30,,
,8.30-10.00,,
"г
р
ве
т
Че",,пр.з. общая физическая подготовка Нефедова Ю.Д. сок,пр.з. общая физическая подготовка Тарасов В.А. сок
,10.10-11.40,"лек. КОНСТРУКЦИЯ АВТОМОБИЛЕЙ И ТРАКТОРОВ
доц. Русинов А.В. 217",
,12.00-13.30,"лаб.з. конструкция автомобилей и тракторов
Азизов И.Р. 208","лаб.з. конструкция автомобилей и тракторов
Коцарь Ю.А. Носов А.О. 125, 106"
,13.40-15.10,пр.з. конструкция автомобилей и тракторов Коцарь Ю.А.125,
,,,пр.з. конструкция автомобилей и тракторов Коцарь Ю.А. 125
,15.20-16.50,,
,17.00-18.30,,
"а
ц
и
н
т",8.30-10.00,"лек. ТЕОРИЯ МЕХАНИЗМОВ И МАШИН
доц. Левченко Г.В. 437",
,10.10-11.40,"пр.з. теория механизмов и машин
Левченко Г.В. 437","пр.з. теория механизмов и машин
Шишкин И.В. 423"
,12.00-13.30,,
"я
П",13.40-15.10,,
,15.20-16.50,,
,17.00-18.30,,
,8.30-10.00,,
,,,
"а
т
о
б
б
у
С",10.10-11.40,,
,12.00-13.30,,
,13.40-15.10,,
,,,
