"Расписание занятий
на 2 семестр 2025-2026 учебного года
институт инженерии и робототехники 2 курс",column_1,column_2
Дни,Часы,М-ЛА-201
"к
и",8.30-10.00,
,10.10-11.40,
"н
ь",,
"л
е
д
е
н
о
П",12.00-13.30,лек. ПРОЕКТИРОВАНИЕ ДЕКОРАТИВНЫХ ПИТОМНИКОВ доц. Иванова А.С. ауд. 239
,13.40-15.10,"лаб.з. проектирование декоративных питомников
Иванова А.С. ауд. 239"
,15.20-16.50,"лек. СОВРЕМЕННАЯ АРБОРИСТИКА доц. Иванова А.С. ауд. 239
пр.з. экологические аспекты формирования растительности в урбанизированной среде Иванова А.С. ауд.239"
,17.00-18.30,
,8.30-10.00,
"к
и
н
р
о
т
В",10.10-11.40,
,,
,12.00-13.30,
,13.40-15.10,
,15.20-16.50,
,17.00-18.30,
"а
д
е
р
С",8.30-10.00,
,10.10-11.40,
,12.00-13.30,"пр.з. декоративные растения в ландшафтной архитектуре и дизайне
Иванова А.С. ауд. 239"
,13.40-15.10,"лаб.з. современные технологии в строительстве и эксплуатации объектов ландшафтной архитектуры
Иванова А.С. ауд. 239"
,15.20-16.50,
,,лек.СОВРЕМЕННЫЕ ТЕХНОЛОГИИ В СТРОИТЕЛЬСТВЕ И ЭКСПЛУАТАЦИИ ОБЪЕКТОВ ЛАНДШАФТНОЙ АРХИТЕКТУРЫ доц.Иванова А.С. ауд.239
,17.00-18.30,
"г
р
е
в
т
е
Ч",8.30-10.00,
,10.10-11.40,
,12.00-13.30,
,13.40-15.10,
,15.20-16.50,
,17.00-18.30,
"а
ц
и
н
т
я
П",8.30-10.00,
,10.10-11.40,"лек. СОВРЕМЕННЫЕ ТЕХНОЛОГИИ В СТРОИТЕЛЬСТВЕ И ЭКСПЛУАТАЦИИ ОБЪЕКТОВ
ЛАНДШАФТНОЙ АРХИТЕКТУРЫ доц. Иванова А.С. ауд. 128"
,12.00-13.30,"лаб.з. современные технологии в строительстве и эксплуатации объектов ландшафтной архитектуры
Иванова А.С. ауд. 128"
,13.40-15.10,"пр.з. современная арбористика
Архангельская И.В. ауд. 128"
,15.20-16.50,
,17.00-18.30,
,8.30-10.00,
"а
т
о
б
б
у
С",10.10-11.40,
,12.00-13.30,
,13.40-15.10,
,,
