"Расписание занятий
на 2 семестр 2025-2026 учебного года
институт инженерии и робототехники 2 курс",column_1,column_2
Дни,Часы,М-ТБ-201
"к
и
н
ь
л
е
д
е
н
о
П",8.30-10.00,
,10.10-11.40,"лек. НАДЗОРНО-ПРОФИЛАКТИЧЕСКАЯ ДЕЯТЕЛЬНОСТЬ В ОБЛАСТИ ПОЖАРНОЙ БЕЗОПАСНОСТИ
доц. Карпова О.В. 208"
,12.00-13.30,"лек. ПРОГРАММНЫЕ ПРОДУКТЫ ПО ОЦЕНКЕ ПОЖАРНОГО РИСКА
доц. Горюнов Д.Г. 533"
,13.40-15.10,"пр.з. программные продукты по оценке пожарного риска
доц. Горюнов Д.Г. 533"
,15.20-16.50,"пр.з.надзорно-профилактическая деятельность в области пожарной безопасности
Тютин А.В. 208"
,17.00-18.30,
,8.30-10.00,
"к
и
н
р
о
т
В",10.10-11.40,
,12.00-13.30,
,13.40-15.10,
,15.20-16.50,
,17.00-18.30,
"а
д
е
р
С",8.30-10.00,
,10.10-11.40,
,12.00-13.30,
,13.40-15.10,пр.з. экспертиза проектов систем противопожарной защиты доц. Анисимов С.А. 217
,,
,15.20-16.50,пр.з. экспертиза проектов систем противопожарной защиты доц. Анисимов С.А. 217
,,лек. ЭКОНОМИЧЕСКАЯ ОЦЕНКА ЭФФЕКТИВНОСТИ ПРОЕКТНЫХ РЕШЕНИЙ В СИСТЕМАХ БЕЗОПАСНОСТИ доц. Потоцкая Л.Н. 111
,17.00-18.30,
,,пр.з. экономическая оценка эффективности проектных решений в системах безопасности доц. Потоцкая Л.Н. 111
"г
р
е
в
т
е
Ч",8.30-10.00,
,10.10-11.40,
,12.00-13.30,
,13.40-15.10,
,15.20-16.50,
,17.00-18.30,
"а
ц
и
н
т
я
П",8.30-10.00,
,10.10-11.40,
,12.00-13.30,
,13.40-15.10,"лек. УПРАВЛЕНИЕ БЕЗОПАСНОСТЬЮ ТЕХНОЛОГИЧЕСКИХ ПРОЦЕССОВ И ПРОИЗВОДСТВ
доц. Анисимов С.А. 123"
,15.20-16.50,"пр.з. управление безопасностью технологических процессов и производств
доц. Анисимов С.А. 123"
,17.00-18.30,"лек. ЭКСПЕРТИЗА ПРОЕКТОВ СИСТЕМ ПРОТИВОПОЖАРНОЙ ЗАЩИТЫ
доц. Анисимов С.А. 123"
,8.30-10.00,
"а
т
о
б
б
у
С",10.10-11.40,
,12.00-13.30,
,13.40-15.10,
,,
