"Расписание занятий
на 2 семестр 2025-2026 учебного года
институт инженерии и робототехники 3 курс",column_1,column_2
Дни,Часы,Б-ЛД-301 с 02.02.2026
"к
и
н
ь
л
е
д
е
н
о
П",8.30-10.00,
,10.10-11.40,"лек. МАШИНЫ И МЕХАНИЗМЫ В ЛЕСНОМ И ОХОТНИЧЬЕМ ХОЗЯЙСТВЕ
доц. Берлин Н.Г. Есков Д.В. 134"
,12.00-13.30,"лаб.з аэрокосмическе методы в лесном и охотничьем хозяйстве
Филиппов П.Б. 134"
,13.40-15.10,"пр.з. общая физическая подготовка
Бугров А.А. сок"
,15.20-16.50,
,17.00-18.30,
"к
и
н
р
о
т
В",8.30-10.00,
,10.10-11.40,"лек. ЛЕСНЫЕ КУЛЬТУРЫ
проф. Маштаков Д.А. 239"
,12.00-13.30,"лаб.з лесные культуры
Маштаков Д.А. 239"
,13.40-15.10,"лаб.з. машины и механизмы в лесном и охотничьем хозяйстве
Фокин С.В. ЛХМ"
,15.20-16.50,
,17.00-18.30,
"а
д
е
р
С",8.30-10.00,"лаб.з. таксация охотничьих угодий
Самсонов Е.В. ГЛ-2"
,10.10-11.40,"лаб.з. лесоустройство
Филиппов П.Б. 134"
,12.00-13.30,лек. АЭРОКОСМИЧЕСКИЕ МЕТОДЫ В ЛЕСНОМ И ОХОТНИЧЬЕМ ХОЗЯЙСТВЕ доц. Есков Д.В. 134
,,лек. ТАКСАЦИЯ ОХОТНИЧЬИХ УГОДИЙ доц. Самсонов Е.В. 134
,13.40-15.10,
,15.20-16.50,
,17.00-18.30,
"г
р
е
в
т
е
Ч",8.30-10.00,пр.з. общая физическая подготовка Бугров А.А. сок
,,лек. УЧЕТ ОХОТНИЧЬИХ РЕСУРСОВ доц. Самсонов Е.В. 134
,10.10-11.40,"лаб.з. учет охотничьих ресурсов
Самсонов Е.В. 134"
,12.00-13.30,"лек. ЛЕСОУСТРОЙСТВО
проф. Маштаков Д.А. 132"
,13.40-15.10,
,15.20-16.50,
,17.00-18.30,
"а
ц
и
н
т
я
П",8.30-10.00,"лек. УПРАВЛЕНИЕ ПОПУЛЯЦИЯМИ ОХОТНИЧЬИХ РЕСУРСОВ
доц. Самсонов Е.В. 134"
,10.10-11.40,"лаб.з. управление популяциями охотничьих ресурсов
Самсонов Е.В. 134"
,12.00-13.30,
,13.40-15.10,
,15.20-16.50,
,17.00-18.30,
"а
т
о
б",8.30-10.00,
,10.10-11.40,
"б
у
С",12.00-13.30,
,13.40-15.10,
