"Расписание занятий
на 2 семестр 2025-2026 учебного года
институт инженерии и робототехники 3 курс",column_1,column_2
Дни,Часы,Б-ЛА-301 с 26.01.26
"к
и
н
ь
л
е
д
е
н
о
П",8.30-10.00,"пр.з. общая физическая подготовка
Нефедова Ю.В. сок"
,10.10-11.40,"лек. ЛАНДШАФТНОЕ ПРОЕКТИРОВАНИЕ
доц. Иванова А.И. 239"
,12.00-13.30,лек. ЛАНДШАФТНОЕ ПРОЕКТИРОВАНИЕ доц. Иванова А.И. 239
,,лек. МАШИНЫ И МЕХАНИЗМЫ В САДОВО-ПАРКОВОМ СТРОИТЕЛЬСТВЕ проф. Фокин С.В. ЛХМ
,13.40-15.10,
,15.20-16.50,
,17.00-18.30,
"к
и
н
р
о
т
В",8.30-10.00,
,10.10-11.40,"пр.з. машины и механизмы в садово-парковом строительстве
Фокин С.В. Корниенко М.Ю. ЛХМ"
,12.00-13.30,лаб.з. лесомелиорация ландшафта Проездов П.Н.Филиппов П.Б.134
,,лек.ЛЕСОМЕЛИОРАЦИЯ ЛАНДШАФТА проф. Проездов П.Н. 134
,13.40-15.10,лек. СТРОИТЕЛЬНОЕ ДЕЛО И МАТЕРИАЛЫ В ЛАНДШАФТНОЙ АРХИТЕКТУРЕ доц. Панкова Т.А. 110
,,
,15.20-16.50,
,17.00-18.30,
"а
д
е
р
С",8.30-10.00,
,10.10-11.40,пр.з. строительное дело и материалы в ландшафтной архитектуре Мамедова Л.С. 13
,,
,12.00-13.30,"пр.з. общая физическая подготовка
Нефедова Ю.В. сок"
,13.40-15.10,лек. ЗОНАЛЬНЫЕ ТЕХНОЛОГИИ ВЫРАЩИВАНИЯ ДЕКОРАТИВНОГО ПОСАДОЧНОГО МАТЕРИАЛА проф. Маштаков Д.А. 134
,,лек.ОСНОВЫ НАУЧНЫХ ИССЛЕДОВАНИЙ В ЛАНДШАФТНОЙ АРХИТЕКТУРЕ доц. Козаченко М.А. 134
,15.20-16.50,
,17.00-18.30,
"г
р
е
в
т
е
Ч",8.30-10.00,
,10.10-11.40,"лаб.з. зональные технологии выращивания декоративного посадочного материала
Маштаков Д.А.239"
,12.00-13.30,"лаб.з. ландшафтное проектирование
Гусева Е.А. 239"
,13.40-15.10,"лаб.з. ландшафтное проектирование
Гусева Е.А. 239"
,15.20-16.50,
,17.00-18.30,
"а
ц
и
н
т
я
П",8.30-10.00,
,10.10-11.40,пр.з. основы научных исследований в ландшафтной архитектуре Козаченко М.А. 239
,,лек. ВЕРТИКАЛЬНАЯ ПЛАНИРОВКА ОБЪЕКТОВ ЛАНДШАФТНОЙ АРХИТЕКТУРЫ доц. Андрушко Т.А. 239
,12.00-13.30,"пр.з. вертикальная планировка объектов ландшафтной архитектуры
Андрушко Т.А. 239"
,13.40-15.10,"пр.з. озеленение интерьеров и эксплуатируемых кровель
Андрушко Т.А. 239"
,15.20-16.50,"лек. ОЗЕЛЕНЕНИЕ ИНТЕРЬЕРОВ И ЭКСПЛУАТИРУЕМЫХ КРОВЕЛЬ
доц. Бечина Д.Н. 239"
,17.00-18.30,
"а
т
о
б",8.30-10.00,
,10.10-11.40,
"б
у
С",12.00-13.30,
,13.40-15.10,
