"Расписание занятий
на 2 семестр 2025-2026 учебного года
институт инженерии и робототехники 5 курс",column_1,column_2
Дни,Часы,С-НТС-501
"к
и
н
ь
л
е
д
е
н
о
П",8.30-10.00,"лек. АВТОСЕРВИС И ФИРМЕННОЕ ОБСЛУЖИВАНИЕ АВТОМОБИЛЕЙ И ТРАКТОРОВ
доц. Комаров Ю.В. 121"
,10.10-11.40,"пр.з. автосервис и фирменное обслуживание автомобилей и тракторов
Комаров Ю.В. 121"
,12.00-13.30,"лб.з. автосервис и фирменное обслуживание автомобилей и тракторов
Комаров Ю.В. 121"
,13.40-15.10,
,15.20-16.50,
,17.00-18.30,
"к
и
н
р
о
т
В",8.30-10.00,"пр.з. ремонт и утилизация автомобилей и тракторов
Комаров Ю.В. 121"
,10.10-11.40,"лек. ЛИЦЕНЗИРОВАНИЕ И СЕРТИФИКАЦИЯ НА АВТОМОБИЛЬНОМ ТРАНСПОРТЕ
доц. Азизов И.Р.518а"
,12.00-13.30,"пр.з. лицензирование и сертификация на автомобильном транспорте
Азизов И.Р.518а"
,13.40-15.10,
,15.20-16.50,
,17.00-18.30,
"а
д
е
р
С",8.30-10.00,
,10.10-11.40,
,12.00-13.30,лек. ЭКОНОМИКА И УПРАВЛЕНИЕ МАШИНОСТРОИТЕЛЬНЫМ ПРЕДПРИЯТИЕМ доц. Потоцкая Л.Н.121
,,пр.з. экономика и управление машиностроительным предприятием Потоцкая Л.Н.121
,13.40-15.10,"лек. РЕМОНТ И УТИЛИЗАЦИЯ АВТОМОБИЛЕЙ И ТРАКТОРОВ
доц. Комаров Ю.В. 121"
,15.20-16.50,лек. УПРАВЛЕНИЕ ТЕХНИЧЕСКИМИ СИСТЕМАМИ АВТОМОБИЛЕЙ И ТРАКТОРОВ доц. Комаров Ю.В. 121
,,пр.з. управление техническими системами автомобилей и тракторов Березкин А.С. 121
,17.00-18.30,
"г
р
е
в
т
е
Ч",8.30-10.00,лб.з. технические устройства обеспечения безопасности производств и мест проведения ТС Колганов Д.А. Зайкин А.С. 125
,,пр.з. лицензирование и сертификация на автомобильном транспорте Азизов И.Р.125
,10.10-11.40,"пр.з. управление техническими системами автомобилей и тракторов
Березкин А.С. 121"
,12.00-13.30,
,13.40-15.10,
,15.20-16.50,
,17.00-18.30,
"а
ц
и
н
т
я
П",8.30-10.00,
,10.10-11.40,"лек. ТЕХНИЧЕСКИЕ УСТРОЙСТВА ОБЕСПЕЧЕНИЯ БЕЗОПАСНОСТИ ПРОИЗВОДСТВ И МЕСТ ПРОВЕДЕНИЯ ТС
доц. Колганов Д.А. 123"
,12.00-13.30,"пр.з. технические устройства обеспечения безопасности производств и мест проведения ТС
Колганов Д.А. Зайкин А.С. 123"
,13.40-15.10,
,15.20-16.50,
,17.00-18.30,
"а
т
о
б
б
у
С",8.30-10.00,
,10.10-11.40,
,12.00-13.30,
,13.40-15.10,
,,
