"Расписание занятий
на 2 семестр 2025-2026 учебного года.
Институт биотехнологии 2 курс",column_1,column_2
Дни,Часы,М-ПЖ-21
"6
2
0
2
2.
0
6.
1
к
и
н
ь
л
е
д
е
н
о
П",08.30-10.00,
,10.10-11.40,
,12.00-13.30,
,13.40-15.10,"лек. ОБОРУДОВАНИЕ И ПРИБОРЫ МЯСОМОЛОЧНОЙ ИНДУСТРИИ
доц. Катусов А.В. ауд. 116"
,15.20-16.50,"лек. ОБОРУДОВАНИЕ И ПРИБОРЫ МЯСОМОЛОЧНОЙ ИНДУСТРИИ
доц. Катусов А.В. ауд. 116"
,17.00-18.30,"лек. ОБОРУДОВАНИЕ И ПРИБОРЫ МЯСОМОЛОЧНОЙ ИНДУСТРИИ
доц. Катусов А.В. ауд. 116"
"6
2
0
2
2.
0
7.
1
к
и
н
р
о
т
В",08.30-10.00,
,10.10-11.40,
,12.00-13.30,
,13.40-15.10,
,15.20-16.50,
,17.00-18.30,
"6
2
0
2
2.
0
8.
1
а
д
е
р
С",08.30-10.00,
,10.10-11.40,
,12.00-13.30,
,13.40-15.10,"пр.з. ОБОРУДОВАНИЕ И ПРИБОРЫ МЯСОМОЛОЧНОЙ ИНДУСТРИИ
доц. Катусов А.В. ауд. 116"
,15.20-16.50,"пр.з. ОБОРУДОВАНИЕ И ПРИБОРЫ МЯСОМОЛОЧНОЙ ИНДУСТРИИ
доц. Катусов А.В. ауд. 116"
,17.00-18.30,"пр.з. ОБОРУДОВАНИЕ И ПРИБОРЫ МЯСОМОЛОЧНОЙ ИНДУСТРИИ
доц. Катусов А.В. ауд. 116"
"6
2
0
2
2.
0
9.
1
г
р
е
в
т
е
Ч",08.30-10.00,
,10.10-11.40,
,12.00-13.30,
,13.40-15.10,"пр.з. ОБОРУДОВАНИЕ И ПРИБОРЫ МЯСОМОЛОЧНОЙ ИНДУСТРИИ
доц. Катусов А.В. ауд. 116"
,15.20-16.50,"лек. ОСОБЕННОСТИ ДОКУМЕНТООБОРОТА И УЧЕТА НА ПРЕДПРИЯТИЯХ
МЯСОМОЛОЧНОЙ ИНДУСТРИИ доц. Курако У.М. ауд. 341"
,17.00-18.30,
"6
2
0
2
2.
0
0.
2
а
ц
и
н
т
я
П",08.30-10.00,
,10.10-11.40,
,12.00-13.30,"лек. ФИЗИКО-ХИМИЧЕСКИЕ ПРОЦЕССЫ ПРИ ПРОИЗВОДСТВЕ И ХРАНЕНИИ МЯСНЫХ
ПРОДУКТОВ доц. Андреева С.В. ауд. 341"
,13.40-15.10,"лек. ФИЗИКО-ХИМИЧЕСКИЕ ПРОЦЕССЫ ПРИ ПРОИЗВОДСТВЕ И ХРАНЕНИИ МЯСНЫХ
ПРОДУКТОВ доц. Андреева С.В. ауд. 341"
,15.20-16.50,"лек. ОСОБЕННОСТИ ДОКУМЕНТООБОРОТА И УЧЕТА НА ПРЕДПРИЯТИЯХ
МЯСОМОЛОЧНОЙ ИНДУСТРИИ доц. Курако У.М. ауд. 341"
,17.00-18.30,
"6
2
0
2
2.
0
1.
2
а
т
о
б
б
у
С",08.30-10.00,
,10.10-11.40,
,12.00-13.30,
,13.40-15.10,
,15.20-16.50,
