column_0,column_1,column_2,column_3
,,,
"Расписание занятий на 2 семестр 2025-2026 учебного года
институт генетики и агрономии 2 курс",,,
"а
т
а
Д","и
н
Д",Часы,М-ЗиК-21
"я
л
а
р
в
е
ф
3
2","к
и
н
ь
л
е
д
е
н
о
П",10.10-11.40,
,,12.00-13.30,
,,13.40-15.10,ВЫХОДНОЙ
,,15.20-16.50,
,,17.00-18.30,
,,18.40-20.10,
"я
л
а
р
в
е
ф
4
2","к
и
н
р
о
т
В",8.30-10.00,
,,10.10-11.40,
,,12.00-13.30,
,,13.40-15.10,"лек. ЭКОНОМИКА И УПРАВЛЕНИЕ ЗЕМЕЛЬНО-ИМУЩЕСТВЕННЫМ КОМПЛЕКСОМ
доц. Потоцкая Л.Н. 440"
,,15.20-16.50,"лек. ЭКОНОМИКА И УПРАВЛЕНИЕ ЗЕМЕЛЬНО-ИМУЩЕСТВЕННЫМ КОМПЛЕКСОМ
доц. Потоцкая Л.Н. 243"
,,17.00-18.30,"лек. ЭКОНОМИКА И УПРАВЛЕНИЕ ЗЕМЕЛЬНО-ИМУЩЕСТВЕННЫМ КОМПЛЕКСОМ
доц. Потоцкая Л.Н. 243"
,,18.40-20.10,
"я
л
а
р
в
е
ф
5
2","а
д
е
р
С",8.30-10.00,
,,10.10-11.40,
,,12.00-13.30,
,,13.40-15.10,"лек. ПЛАНИРОВАНИЕ И УПРЕВЛЕНИЕ ЗЕМЕЛЬНЫМИ РЕСУРСАМИ
доц. Янюк В.М. 530"
,,15.20-16.50,"лек. ПЛАНИРОВАНИЕ И УПРЕВЛЕНИЕ ЗЕМЕЛЬНЫМИ РЕСУРСАМИ
доц. Янюк В.М. 530"
,,17.00-18.30,
,,18.40-20.10,
"я
л
а
р
в
е
ф
6
2","г
р
е
в
т
е
Ч",8.30-10.00,
,,10.10-11.40,
,,12.00-13.30,
,,13.40-15.10,"лек. ЗЕМЛЕУСТРОИТЕЛЬНАЯ ЭКСПЕРТИЗА
проф. Тарасенко П.В. 530"
,,15.20-16.50,"лек. ЗЕМЛЕУСТРОИТЕЛЬНАЯ ЭКСПЕРТИЗА
проф. Тарасенко П.В. 531"
,,17.00-18.30,"лек. ЗЕМЛЕУСТРОИТЕЛЬНАЯ ЭКСПЕРТИЗА
проф. Тарасенко П.В. 531"
,,18.40-20.10,
"я
л
а
р
в
е
ф
7
2","а
ц
и
н
т
я
П",8.30-10.00,
,,10.10-11.40,
,,12.00-13.30,
,,13.40-15.10,"лек. КАДАСТР НЕДВИЖИМОСТИ
доц. Гагина И.С. 530"
,,15.20-16.50,"лек. КАДАСТР НЕДВИЖИМОСТИ
доц. Гагина И.С. 530"
,,17.00-18.30,"лек. КАДАСТР НЕДВИЖИМОСТИ
доц. Гагина И.С. 530"
,,18.40-20.10,
"я
л
а
р
в
е
ф
8
2","а
т
о
б
б
у
С",8.30-10.00,
,,10.10-11.40,
,,12.00-13.30,
,,13.40-15.10,
,,,
