"Расписание занятий
на 2 семестр 2025-2026 учебного года
институт генетики и агрономии 1 курс",column_1,column_2
Дни,Часы,Б-ЭП-Э-101 с 29.12.2025
"к
и
н
ь
л
е
д
е
н
о
П",8.30-10.00,"лек. ГЕОГРАФИЯ
доц. Федюнина Т.В. 500 (УК 2)"
,10.10-11.40,"пр.з. География
Горбачева А.В. 500 (УК 2)"
,12.00-13.30,"пр.з. Общая физическая подготовка
Фролова Л.В."
,13.40-15.10,"лаб.з. Информатика
Курышов А.А. 134 к, Слепцова Л.А. 230"
,15.20-16.50,
"к
и
н
р
о
т
В",8.30-10.00,"лаб.з. Химия
Логачева, Е.А., Романова Л.Р. 347, 349"
,10.10-11.40,"лек. ИНФОРМАТИКА
доц. Рубцова С.Н. 134"
,12.00-13.30,"лаб.з. Почвоведение
Губов В.И., Полетаев И.С. 341, 351"
,13.40-15.10,лек. ХИМИЯ доц. Логачева Е.А. 349
,,
,15.20-16.50,
"а
д
е
р
С",8.30-10.00,"лаб.з. Экологические аспекты развития живых организмов
Гулина Е.В., Морозова Е.Е. 338, 334"
,10.10-11.40,"пр.з. Общая физическая подготовка
Фролова Л.В."
,12.00-13.30,лек. СПЕЦИАЛЬНАЯ ПЕДАГОГИКА И СПЕЦИАЛЬНАЯ ПСИХОЛОГИЯ доц. Волкова М.Б. 253
,,пр.з.. Специальная педагогика и специальная психология Волкова М.Б. 253
,13.40-15.10,Кураторский час
,15.20-16.50,
"г
р
е
в
т
е
Ч",8.30-10.00,
,10.10-11.40,"пр.з. Иностранный язык
Раздобарова М.Н. 452, Бормосова Н.Е. 450"
,12.00-13.30,"лек. ЭКОЛОГИЧЕСКИЕ АСПЕКТЫ РАЗВИТИЯ ЖИВЫХ ОРГАНИЗМОВ
проф. Морозова Е.Е. 329"
,13.40-15.10,лек. ИСТОРИЯ РОССИИ доц. Котельников В.А. 253
,,пр.з. История России Слижевская М.Р. 345
,15.20-16.50,пр.з. История России Слижевская М.Р. 253
,,
"а
ц
и
н
т
я
П",8.30-10.00,"пр.з. Иностранный язык Бормосова 450, Раздобарова 452"
,,
,10.10-11.40,"лек.. ПОЧВОВЕДЕНИЕ С ОСНОВАМИ ГЕОЛОГИИ
доц. Губов В.И. 602"
,12.00-13.30,"лек. ВВЕДЕНИЕ В ПРОФЕССИЮ
доц. Андриянова Ю.М. 338"
,13.40-15.10,"пр.з. Введение в профессию
Андриянова Ю.М. 338"
,15.20-16.50,
"а
т
о
б
б
у
С",8.30-10.00,
,10.10-11.40,
,12.00-13.30,
,,
