"Расписание
на 2 семестр 2025-2026 учебного года
институт генетики и агрономии 2 курс",column_1,column_2,column_3
Дни,Часы,Б-ЗиК-201 02.02.2026,Б-ГДЗ-201 02.02.2026
"к
и
н
ь
л
де
не
о
П",8.30-10.00,"пр.з. Общая физическая подготовка
Фролова Л.В.","пр.з. Правоведение
Корышева М.В. 533"
,10.10-11.40,лек. ОСНОВЫ ЗЕМЛЕУСТРОЙСТВА доц. Тарбаев В.А. 535,лек. ОСНОВЫ ГЕОИНФОРМАТИКИ доц. Пушкина Е.Г. 530
,,лек. ПРАВОВЕДЕНИЕ ПРАВОВЕДЕНИЕ ПРАВОВЕДЕНИЕ ПРАВОВЕДЕНИЕ доц. Корышева М.В. 533,
,12.00-13.30,"пр.з. Правоведение
Корышева М.В. 533",
,13.40-15.10,"лаб.з. Геодезическое обеспечение кадастровых работ
Гагина И.С. 1008",
,15.20-16.50,,
"к
и
н
р
о
т
В",8.30-10.00,,
,10.10-11.40,"лаб.з. Основы землеустройства
Дормидонтова Н.В. 1009","пр.з. Общая физическая подготовка
Наумова М.А."
,12.00-13.30,лаб.з Основы градостроительства и планирование населенных мест Дормидонтова Н.В. 1009,"пр.з. Основы геоинформитики
Пушкина Е.Г. 530"
,,лек. ГЕОДЕЗИЧЕСКОЕ ОБЕСПЕЧЕНИЕ КАДАСТРОВЫХ РАБОТ доц. Гагина И.С. 1003,
,13.40-15.10,"лаб.з Основы градостроительства и планирование населенных мест
Дормидонтова Н.В. 1009",пр.з. Основы геоинформитики Пушкина Е.Г. 530
,,,
,15.20-16.50,,
"а
д
ре
С",8.30-10.00,лек.ТЕХНИЧЕСКАЯ ИНВЕНТАРИЗАЦИЯ ОБЪЕКТОВ НЕДВИЖИМОСТИ доц. Царенко А.А. 1003,лек. ДИСТАНЦИОННОЕ ЗОНДИРОВАНИЕ И ФОТОГРАММЕТРИЯ И доц. Туктаров Р.Б. 535
,,,лек. АЭРОКОСМИЧЕСКИЕ СЬЕМКИ доц. Туктаров Р.Б. 535
,10.10-11.40,"пр.з. Картография с основами топографии
Трухина Е.Н. 530","пр.з. Аэрокосмические сьемки
Туктаров Р.Б. 137"
,12.00-13.30,"пр.з. Общая физическая подготовка
Фролова Л.В.","пр.з. Картография с основами топографии
Иовлева А.А. 530"
,13.40-15.10,,
,15.20-16.50,,
"г
р
ве
т
Че",8.30-10.00,,пр.з. Социология Булгаков С.В. 803
,,лек. СОЦИОЛОГИЯ СОЦИОЛОГИЯ СОЦИОЛОГИЯ доц. Булгаков С.В. 432,
,10.10-11.40,пр.з Техническая инвентаризация объектов недвижимости Иовлева А.А. 1008,"пр.з. Общая физическая подготовка
Наумова М.А."
,,пр.з. Социология Булгаков 803,
,12.00-13.30,"пр.з Техническая инвентаризация объектов недвижимости
Иовлева А.А. 1008","пр.з. Дистанционное зондирование и фотограмметрия
Пушкина Е.Г. 530"
,13.40-15.10,лек. КАРТОГРАФИЯ С ОСНОВАМИ ТОПОГРАФИИ КАРТОГРАФИЯ С ОСНОВАМИ ТОПОГРАФИИ доц. Пушкина Е.Г. 535,
,,,
,15.20-16.50,,
"а
ц
и
н
т
я
П",8.30-10.00,,
,,лек. ФОТОГРАММЕТРИЯ И ДИСТАНЦИОННОЕ ЗОНДИРОВАНИЕ доц. Туктаров Р.Б. 530,
,10.10-11.40,"пр.з. Фотограмметрия и дистанционное зондирование
Туктаров Р.Б. 530","лаб.з Основы градостроительства и планирование населенных мест
Агарышева А.Н. 531"
,12.00-13.30,лек. ОСНОВЫ ГРАДОСТРОИТЕЛЬСТВА ОСНОВЫ ГРАДОСТРОИТЕЛЬСТВА доц. Царенко А.А. 1003,
,,,лаб.з Основы градостроительства и планирование населенных мест Агарышева А.Н. 531
,13.40-15.10,,"пр.з. Геодезия
Андрющенко В.А. 535"
,15.20-16.50,,лек. ГЕОДЕЗИЯ доц. Андрющенко В.А. 535
,,,
"а
т
о
б
б
у
С",8.30-10.00,"пр.з. Метрология, стандарт. и сертификация Березкин 122 (УК 2)",
,,,
,10.10-11.40,"лек. МЕТРОЛОГИЯ, СТАНДАРТИЗАЦИЯ И СЕРТИФИКАЦИЯ доц.Горбушкин П.А. 122 (УК 2)",
,,,
,,,"пр.з. Метрология, стандарт. и сертификация Березкин 122 (УК 2)"
,,,
,,,
