"Расписание занятий
на 2 семестр 2025-2026 учебного года
институт генетики и агрономии 2 курс",column_1,column_2,column_3
Дни,Часы,Б-ЭП-Э-201 26.01.2026,Б-ЭП-П-202 26.01.2026
"к
и
н
ь
л
е
д
е
н
о
П",8.30-10.00,,
,10.10-11.40,"пр.з. Общая физическая подготовка
Кузьмин А.М.","пр.з. Общая физическая подготовка
Пяткина Н.А."
,12.00-13.30,"пр.з. Правоведение
Назинцева А.Ю. 135","пр.з. Правоведение
Рубанова М.Е. 253"
,13.40-15.10,"пр.з. Экономическая культура Антонова, Ерзова 242",
,,лек. ПРАВОВЕДЕНИЕ ПРАВОВЕДЕНИЕ ПРАВОВЕДЕНИЕ доц. Рубанова М.Е. 432,
,15.20-16.50,лек. ХИМИЯ ХИМИЯ ХИМИЯ доц. Логачева Е.А. 349,
"к
и
н
р
о
т
В",8.30-10.00,,"пр.з. Общая экология
Андриянова Ю.М. 446"
,10.10-11.40,,"лаб.з. Физиология и биохимия растений
Гулина Е.В. 334"
,,пр.з. Общая экология Андриянова Ю.М. 446,
,12.00-13.30,пр.з. Общая экология Андриянова Ю.М. 446,"пр.з. Экономическая культура Аукина, Антонова 338"
,,лек. ОБЩАЯ ЭКОЛОГИЯ ОБЩАЯ ЭКОЛОГИЯ доц. Андриянова Ю.М. 338,
,13.40-15.10,"пр.з. Учение о биосфере
Андриянова Ю.М. 446",
,15.20-16.50,,
"а
д
е
р
С",8.30-10.00,,
,10.10-11.40,"лек. ЭКОНОМИЧЕСКАЯ КУЛЬТУРА ЭКОНОМИЧЕСКАЯ КУЛЬТУРА доц. Аукина И.Г, доц. Котар О.К. 422",
,,лек. СОЦИОЛОГИЯ СОЦИОЛОГИЯ СОЦИОЛОГИЯ доц. Булгаков С.В. 522,
,12.00-13.30,"лаб. Химия
Логачева Е.А. 349","пр.з. Природользование
Мохонько Ю.М. 338"
,13.40-15.10,"пр.з. Природользование
Мохонько Ю.М. 338","лаб. Химия
Логачева Е.А. 349"
,15.20-16.50,пр.з. Социология Булгаков С.В. 803,
,,,пр.з. Социология Булгаков С.В. 803
"г
р
е
в
т
е
Ч",8.30-10.00,"лаб.з. Физиология и биохимия растений
Гулина Е.В. 328","пр.з. Учение о биосфере
Андриянова Ю.М. 338"
,10.10-11.40,лек. УЧЕНИЕ О БИОСФЕРЕ УЧЕНИЕ О БИОСФЕРЕ доц. Андриянова Ю.М. 338,
,12.00-13.30,"пр.з. Общая физическая подготовка
Кузьмин А.М.","пр.з. Общая физическая подготовка
Пяткина Н.А."
,13.40-15.10,,
,15.20-16.50,,
"а
ц
и
н
т
я
П",8.30-10.00,,
,10.10-11.40,лек. ПРИРОДОПОЛЬЗОВАНИЕ ПРИРОДОПОЛЬЗОВАНИЕ доц. Мохонько Ю.М. 338,
,12.00-13.30,лек. ФИЗИОЛОГИЯ И БИОХИМИЯ РАСТЕНИЙ ФИЗИОЛОГИЯ И БИОХИМИЯ РАСТЕНИЙ доц. Шевченко Е.А. 329,
,13.40-15.10,,
,15.20-16.50,,
"а
т
о
б
б
у
С",8.30-10.00,,
,10.10-11.40,,
,,,
