"Расписание занятий
на 2 семестр 2025-2026 учебного года
институт генетики и агрономии 4 курс",column_1,column_2,column_3,column_4
Дни,Часы,Б-А-401 26.01.2026,Б-А-402 26.01.2026,Б-А-403 26.01.2026
"к
и
н
ь
л
де
не
о
П",8.30-10.00,,,
,10.10-11.40,лек. СТАНДАРТ. И СЕРТИФ. доц. Шьюрова Н.А. 702,"лаб.з. Генетический метод и разведения энтомофагов
Лихацкая С.Г., Еськов И.Д. 430","лек.ТЕХНОЛОГИЯ ПРОЗВОДСТВА СЕМЯН
доц. Беляева А.А. 708"
,,"лаб.з. Стандарт. и сертиф. Денисова, Акинина, Шьюрова 708, 712",,
,12.00-13.30,"лек. ПЛАНИР. УРОЖАЕВ С/Х КУЛЬТУР
доц. Шьюрова Н.А. 713","лек. БИОЛОГИЧЕСКАЯ ЗАЩИТА РАСТЕНИЙ
доц. Критская Е.Е. 432","лаб.з. Технология пр-ва семян полевых культур
Деревягин С.С. 803"
,13.40-15.10,переход на УК №2,"лаб.з. Прогноз развития
Дубровин В.В., Лихацкая С.Г. 430","лаб.з. Лабораторные методы исследований
Каргаполова К.Ю. 905"
,15.20-16.50,"пр.з. Основы военной подготовки
Билыч А.А. УК №2 427","лек. ОСНОВЫ ВОЕННОЙ ПОДГОТОВКИ
доц. Хизов А.В. УК №2 ауд. 438",
,17.00-18.30,"пр.з . Основы военной подготовки
Билыч А.А. УК №2 427",,
"к
и
н
р
о
т
В",8.30-10.00,,,"лаб.з. Технология пр-ва семян полевых культур
Деревягин С.С. 708"
,10.10-11.40,"лаб.з. Зональные системы удобрений
Линьков А.С., Преймак С.А. 602, 603","лаб.з. Биологическая защита
Критская Е.Е., Еськов И.Д., Сушков А.А. (4) 424, 432","пр.з. Экономика АПК
Говорунова Т.В. 243"
,12.00-13.30,"лек. СТАНДАРТИЗАЦИЯ И СЕРТИФИКАЦИЯ ПРОД. РАСТЕН.
проф. Шьюрова Н.А. 708","лаб.з. Защита растений в ЗГ
Критская Е.Е., Суминова Н.Б., Новиков Ю.П. 424, 430","лаб.з. Апробация с.-х. культур
Каргаполова К.Ю. 905"
