"Расписание занятий
на 2 семестр 2025-2026 учебного года
институт агробизнеса 1 курс",column_1,column_2
Дни,Часы,Б-Мв-101 29.12.2025
"к
и
н
ь
л
е
д
е
н
о
П",8.30-10.00,лек. ПСИХОЛОГИЯ РАБОТЫ В МГ доц. Измайлова Ю.М. 410
,,пр.з. Психология работы в МГ Измайлова Ю.М. 410
,10.10-11.40,пр.з. История управленческой мысли Воронова Е.О. 316
,,лек. ИСТОРИЯ УПРАВЛЕНЧЕСКОЙ МЫСЛИ проф. Глебов И.П. 316
,12.00-13.30,"пр.з. Иностранный язык
Уколов А.Ю. 450, Бормосова Н.Е. 280"
,13.40-15.10,
,15.20-16.50,
,17.00-18.30,
"к
и
н
р
о
т
В",8.30-10.00,
,10.10-11.40,
,12.00-13.30,лек. ИСТОРИЯ РОССИИ доц. Котельников В.А. 713
,,
,13.40-15.10,"лек. УПРАВЛЕНИЕ ТЕХНОЛОГИЧЕСКИМИ ПРОЦЕССАМИ доц. Шьюрова Н.А., доц. Ледяев Т.Б. 713"
,,пр.з. Прикладная математика Гиляжева Д.Н. 410
,15.20-16.50,"пр.з. Управление технологическими процессами Мухатова Ж.Н., Ледяев Т.Б. 713"
,,лек. ИСТОРИЯ МИРОВОЙ КУЛЬТУРЫ ст. пр. Аленичева Н.В. 432
,17.00-18.30,
,,пр.з. История мировой культуры Аленичева Н.В. 432
"а
д
е
р
С",8.30-10.00,
,10.10-11.40,
,12.00-13.30,пр.з. Прикладная математика Гиляжева Д.Н. 422
,,
,13.40-15.10,"лаб.з. Информатика Пахомова Т.В. 247, Слепцова Л.А. 245"
,15.20-16.50,лек. ПРИКЛАДНАЯ МАТЕМАТИКА В МЕНЕДЖМЕНТЕ доц. Гиляжева Д.Н. 422
,,лек. ИНФОРМАТИКА ИНФОРМАТИКА доц. Пахомова Т.В. 232
,17.00-18.30,пр.з. История России Слижевская Н.Ю. 422
"г
р
е
в
т
е
Ч",8.30-10.00,
,10.10-11.40,пр.з. БЖД Надежкина Г.П. 531 (УК № 2)
,,
,12.00-13.30,лек. БЕЗОПАСНОСТЬ ЖИЗНЕДЕЯТЕЛЬНОСТИ доц. Надежкина Г.П. 531 (УК № 2)
,,
,13.40-15.10,
"а
ц
и
н
т
я
П",8.30-10.00,
,10.10-11.40,
,12.00-13.30,
"а
т
о
б
б
у
С",8.30-10.00,
,10.10-11.40,
,12.00-13.30,
,,
