"СОГЛАСОВАНО УТВЕРЖДАЮ
Директор института___________________Волощук Л.А. Проректор по учебной работе ____________________Макаров С.А.
""_____""_________________________2026 г. ""_____""___________________________2026 г.
Расписание занятий
на 2 семестр 2025-2026 учебного года
института агробизнеса 4 курс",column_1,column_2,column_3
Дн,и Часы,Б-Эв-401 19.01.2026,Б-Мв-401 26.01.2026
"к
и
н
ь
л
неде
По",8.30-10.00,,
,10.10-11.40,,
,12.00-13.30,,
"к
и
н
р
Вто",8.30-10.00,,
,10.10-11.40,,"пр.з. Управление ВЭД
Пшенцова А.И. 255"
,12.00-13.30,,"пр.з. Деловая игра ""Бизнес-курс: корпорация плюс"" Ледяев Т.Б. 314"
,,,лек. ФИНАНСОВЫЙ МЕНЕДЖМЕНТ НА ПРЕДПРИЯТИИ АПК доц. Котар О.К. 257
,13.40-15.10,,"пр.з. Деловая игра ""Бизнес-курс: корпорация плюс"" Ледяев 314"
,,,лек. УПРАВЛЕНИЕ ВЭД доц. Пшенцова А.И. 255
,15.20-16.50,,"пр. з . Финансовый менеджмент на предприятии АПК
Ткачев С.И. 242"
"реда
С",8.30-10.00,,лек. СТРАТЕГИЧЕСКОЕ УПРАВЛЕНИЕ НА ПРЕДПРИЯТИИ АПК проф. Александрова Л.А. 803
,,,
,10.10-11.40,,"лек. ПРОЕКТНЫЙ МЕНЕДЖМЕНТ НА ПРЕДПРИЯТИЯХ АПК
доц. Руднев М.Ю. 803"
,,"пр.з. Аудит Шаронова Е.В. , Павлик А.С. 241",
,12.00-13.30,лек. ЭКОНОМ. ОБОСНОВАНИЕ СТРАТЕГИИ РАЗВИТИЯ ПРЕДПРИЯТИЯ АПК доц. Торопова В.В. 903,"пр.з. Стратегическое управление на предприятии АПК
Воронова Е.О. 803"
,,"пр.з. Аудит Шаронова Е.В. , Павлик А.С. 241",
,13.40-15.10,"пр.з. Экономическая эффективность проектной деятельности
Власова О.В., Амангалиева Г.Е. 343","пр.з. Управление сбытом в агробизнесе
Голубева А.А. 803"
,15.20-16.50,лек. АУДИТ АУДИТ ст.пр .Шаронова Е.В. 241,
,,лек. ЭКОНОМИЧЕСКАЯ ЭФФЕКТИВНОСТЬ ПРОЕКТНОЙ ДЕЯТЕЛЬНОСТИ доц Власова О.В. 316,
"рг
ве
Чет",8.30-10.00,"пр.з. Государственные и муниципальные финансы
Уколова Н.В. 232",
,10.10-11.40,лек. КОМПЛЕКСНЫЙ АНАЛИЗ ХОЗЯЙСТВЕННОЙ ДЕЯТЕЛЬНОСТИ доц. Шарикова И.В. 241,
,,лек.ГОСУДАРСТВЕННЫЕ И МУНИЦИПАЛЬНЫЕ ФИНАНСЫ проф. Уколова Н.А. 257,
,12.00-13.30,"пр.з. Комплексный анализ хозяйственной деятельности
Шарикова И.В., Кувшинова Е.А. 230",
,13.40-15.10,пр.з. Бухгалтерский учет в кредитных организациях Лысова Т.А. 245,
,,,
,15.20-16.50,,
,17.00-18.30,,
"ца
и
н
ят
П",8.30-10.00,,
,10.10-11.40,"пр.з. Экономическое обоснование стратегии развития предприятия АПК
Торопова В.В., Старшов В.Н. 422","пр.з. Проектный менеджмент на предприятиях АПК
Богомолов Д.К. 324"
,12.00-13.30,"пр.з. Организация производства в АПК
Наянов А.В. 422","пр.з. Проектный менеджмент на предприятиях АПК
Богомолов Д.К. 324"
,13.40-15.10,лек. БУХГАЛТЕРСКИЙ УЧЕТ В КРЕДИТНЫХ ОРГАНИЗАЦИЯХ доц. Лысова Т.А. 257,
,,лек. ОРГАНИЗАЦИЯ ПРОИЗВОДСТВА В АПК доц. Наянов А.В. 422,пр.з. Стратегическое управление на предприятии АПК Воронова Е.О. 255
,15.20-16.50,,
,,,лек. УПРАВЛЕНИЕ СБЫТОМ В АГРОБИЗНЕСЕ доц. Голубева А.А. 255
,17.00-18.30,,
Суббота,8.30-10.00,,
,10.10-11.40,,
,12.00-13.30,,пр.з. Основы военной подготовки Билыч А.А. 427 (УК 2)
,,,
,13.40-15.10,,лек. ОСНОВЫ ВОЕННОЙ ПОДГОТОВКИ доц. Палади А.А. 202 (УК 2)
,,,
Начальник ООУП Юдина М.Р.,,,
