"Расписание занятий
на 2 семестр 2025-2026 учебного года.
Институт ветеринарной медицины и фармации",column_1,column_2,column_3
Дни,Часы,ВТ-11,ВТ-12
"6
2
0
2
2.
0
3.
2
к
и
н
ь
л
е
д
е
н
о
П",08.30-10.00,,
,10.10-11.40,,
,12.00-13.30,,
,13.40-15.10,,
,15.20-16.50,,
,17.00-18.30,,
"6
2
0
2
2.
0
4.
2
к
и
н
р
о
т
В",08.30-10.00,"лаб.з. Цитология, гистология и эмбриология
проф. Зирук И.В. ауд. С-123","лаб.з. Цитология, гистология и эмбриология
доц. Дмитриев Н.О. ауд. С-273"
,10.10-11.40,"лаб.з. Цитология, гистология и эмбриология
проф. Зирук И.В. ауд. С-123","лаб.з. Цитология, гистология и эмбриология
доц. Дмитриев Н.О. ауд. С-273"
,12.00-13.30,"пр.з. Биология
доц. Прохорова Т.М. ауд. С-253","пр.з. Биология
доц. Прохорова Т.М. ауд. С-253"
,13.40-15.10,"ЭКЗАМЕН Биология
доц. Прохорова Т.М. ауд. С-253","ЭКЗАМЕН Биология
доц. Прохорова Т.М. ауд. С-253"
,15.20-16.50,,
,17.00-18.30,,
"6
2
0
2
2.
0
5.
2
а
д
е
р
С",08.30-10.00,,
,10.10-11.40,,
,12.00-13.30,"пр.з. Математика
доц.Кочегарова О.С. учебный комплекс №2 ауд.249","пр.з. Математика
ст.преп. Пащенко Е.А. учебный комплекс №2 ауд.249"
,13.40-15.10,"пр.з. Математика
доц.Кочегарова О.С. учебный комплекс №2 ауд.202","пр.з. Математика
ст.преп. Пащенко Е.А. учебный комплекс №2 ауд.202"
,15.20-16.50,"пр.з. Математика
доц.Кочегарова О.С. учебный комплекс №2 ауд.202","пр.з. Математика
ст.преп. Пащенко Е.А. учебный комплекс №2 ауд.202"
,17.00-18.30,"ЭКЗАМЕН с 17.00 Математика
доц.Кочегарова О.С. учебный комплекс №2 ауд.202",
"6
2
0
2
2.
0
6.
2
г
р
е",08.30-10.00,"лаб.з. Информатика
доц. Берднова Е.В. 427","лаб.з. Информатика
Жданов Д.А. 426"
,10.10-11.40,"лаб.з. Информатика
доц. Берднова Е.В. 427","лаб.з. Информатика
Жданов Д.А. 426"
,12.00-13.30,"ЭКЗАМЕН Информатика
доц. Берднова Е.В. 427","ЭКЗАМЕН Информатика
доц. Берднова Е.В. 427"
,13.40-15.10,,
"в
т",,,
"е
Ч",15.20-16.50,,
,17.00-18.30,,
"6
2
0
2
2.
0
7.
2
а
ц
и
н
т
я
П",08.30-10.00,"лаб.з. Цитология, гистология и эмбриология
проф.Зирук И.В. ауд. С-123","лаб.з. Цитология, гистология и эмбриология
доц. Дмитриев Н.О. ауд. С-273"
,10.10-11.40,"ЗАЧЕТ Цитология, гистология и эмбриология
проф.Зирук И.В.ауд. С-123","ЗАЧЕТ Цитология, гистология и эмбриология
проф.Зирук И.В.ауд. С-123"
,12.00-13.30,"ЭКЗАМЕН Русский язык и культура речи
доц. Бульина Ю.В. ауд. 409","ЭКЗАМЕН Органическая физколлоидная химия
доц. Древко Я.Б. ауд . 538"
,13.40-15.10,,
,15.20-16.50,,
,17.00-18.30,,
"6
2
0
2
2.
0
8.
2
а
т
о
б
б
у
С",08.30-10.00,,
,10.10-11.40,,
,12.00-13.30,,
,13.40-15.10,,
,15.20-16.50,,
,,,
