"Расписание занятий
на 2 семестр 2025-2026 учебого года
институт инженерии и робототехники 2 курс",column_1,column_2
Дни,Часы,М-ПИ-201 с 26.01.26
"к
и
н
ь
л
е
д
е
н
о
П",8.30-10.00,
,10.10-11.40,
,12.00-13.30,
,13.40-15.10,
,15.20-16.50,
,,
,17.00-18.30,
,,
,8.30-10.00,
"к
и
н
р
о
т
В",10.10-11.40,"лек. ПРОЕКТИРОВАНИЕ И ПРОГРАММИРОВАНИЕ БПЛА
доц. Горбушин П.А. 140"
,12.00-13.30,"лек. НОРМАТИВНО-ПРАВОВОЕ РЕГУЛИРОВАНИЕ ИСКУСТВЕННОГО ИНТЕЛЛЕКТА
доц. Кулагина О.В. 248"
,13.40-15.10,"лб.з. нормативно-правовое регулирование искуственного интеллекта
доц. Кулагина О.В. 248"
,15.20-16.50,
,17.00-18.30,
"а
д
е
р
С",8.30-10.00,
,10.10-11.40,
,12.00-13.30,"лек. УПРАВЛЕНИЕ ПРОЕКТАМИ В СФЕРЕ ИНФОРМАЦИОННЫХ ТЕХНОЛОГИЙ
проф. Панфилов А.В. 114"
,13.40-15.10,"пр.з. управление проектами в сфере информационных технологий
проф. Панфилов А.В. 114"
,15.20-16.50,"лек. ИНФОРМАЦИОННАЯ БЕЗОПАСНОСТЬ ОТРАСЛЕВЫХ СИСТЕМ
доц. Ершов А.С. 533"
,17.00-18.30,"лаб.з. информационная безопасность отраслевых систем
доц. Ершов А.С. 533"
"г
р
е
в
т
е
Ч",8.30-10.00,
,10.10-11.40,
,12.00-13.30,
,,лек. СОЗДАНИЕ МАТЕРИАЛОВ И ТЕКСТУРИРОВАНИЕ 3 D-ОБЪЕКТОВ доц. Ключиков А.В. Кванториум
,13.40-15.10,"пр.з. создание материалов текстурирование 3 D- объектов
доц. Ключиков А.В. Кванториум"
,15.20-16.50,"лаб.з.проектирование и программирование БПЛА
доц. Шишкин И.В. С. А. 115"
,17.00-18.30,
"а
ц
и
н
т
я
П",8.30-10.00,
,10.10-11.40,
,12.00-13.30,
,13.40-15.10,
,15.20-16.50,
,17.00-18.30,
"а
т
о
б
б
у
С",8.30-10.00,
,10.10-11.40,
,12.00-13.30,
,13.40-15.10,
