column_0,column_1,column_2,column_3
,,,
"Расписание занятий на 2 семестр 2025-2026 учебного года
институт агробизнеса 2 курс",,,
"а
т
а
Д","и
н
Д",Часы,М-М-21
"я
л
а
р
в
е
ф
3
2","к
и
н
ь
л
е
д
е
н
о
П",8.30-10.00,
,,10.10-11.40,
,,12.00-13.30,ВЫХОДНОЙ
,,13.40-15.10,
,,15.20-16.50,
,,17.00-18.30,
"я
л
а
р
в
е
ф
4
2","к
и
н
р
о
т
В",8.30-10.00,
,,10.10-11.40,
,,12.00-13.30,
,,13.40-15.10,"лек. АГРАРНАЯ ПОЛИТИКА
проф. Родионова И. А. ауд. 432"
,,15.20-16.50,"лек. КОНЦЕПЦИЯ РАЗВИТИЯ ПРЕДПРИЯТИЯ АПК
проф. Лявина М. Ю. ауд. 432"
,,17.00-18.30,"лек. КОНЦЕПЦИЯ РАЗВИТИЯ ПРЕДПРИЯТИЯ АПК
проф. Лявина М. Ю. ауд. 432"
"я
л
а
р
в
е
ф
5
2","а
д
е
р
С",8.30-10.00,
,,10.10-11.40,
,,12.00-13.30,
,,13.40-15.10,"лек. УПРАВЛЕНИЕ ИНВЕСТИЦИОННЫМИ ПРОЕКТАМИ НА ПРЕДПРИЯТИИ АПК
проф. Колотырин К. П. ауд. 135"
,,15.20-16.50,"лек. АГРАРНАЯ ПОЛИТИКА
проф. Родионова И. А. ауд. 243"
,,17.00-18.30,"лек. КОНЦЕПЦИЯ РАЗВИТИЯ ПРЕДПРИЯТИЯ АПК
проф. Лявина М. Ю. ауд. 243"
,,18.40-20.10,
"я
л
а
р
в
е
ф
6
2","г
р
е
в
т
е
Ч",8.30-10.00,
,,10.10-11.40,
,,12.00-13.30,
,,13.40-15.10,"лек. КОНЦЕПЦИЯ РАЗВИТИЯ ПРЕДПРИЯТИЯ АПК
проф. Лявина М. Ю. ауд. 1004"
,,15.20-16.50,"лек. УПРАВЛЕНИЕ ИНВЕСТИЦИОННЫМИ ПРОЕКТАМИ НА ПРЕДПРИЯТИИ АПК
проф. Колотырин К. П. ауд. 324"
,,17.00-18.30,"лек. УПРАВЛЕНИЕ ИНВЕСТИЦИОННЫМИ ПРОЕКТАМИ НА ПРЕДПРИЯТИИ АПК
проф. Колотырин К. П. ауд. 324"
,,18.40-20.10,
"я
л
а
р
в
е
ф
7
2","а
ц
и
н
т
я
П",8.30-10.00,
,,10.10-11.40,
,,12.00-13.30,
,,13.40-15.10,"лек. АГРАРНАЯ ПОЛИТИКА
проф. Родионова И. А. ауд. 452"
,,15.20-16.50,"лек. АГРАРНАЯ ПОЛИТИКА
проф. Родионова И. А. ауд. 452"
,,17.00-18.30,"лек. ОРГАНИЗАЦИЯ И УПРАВЛЕНИЕ КОНСУЛЬТАЦИОННОЙ ДЕЯТЕЛЬНОСТЬЮ
В АПК доц. Наянов А. В. ауд. 324"
"я
л
а
р
в
е
ф
8
2","а
т
о
б
б
у
С",8.30-10.00,
,,10.10-11.40,
,,12.00-13.30,
,,13.40-15.10,
Начальник ООУП УОКО Юдина М.Р.,,,
