"Расписание занятий
на 2 семестр 2025-2026 учебного года
институт инженерии и робототехники 1 курс",column_1,column_2
Дни,Часы,"Б-ТТ-101 ""Т Плюс"" с 26.01.2026"
"к
и
н
ь
л
е
д
е
н
о
П",8.30-10.00,"пр.з. общая физическая подготовка
Кошелев В.П. сок"
,10.10-11.40,лаб.з. инженерная физика Рыжова Е.В. Лузина М.С. 240 244
,,лек. ИСТОРИЯ РОССИИ доц. Федорова-Кузнецова И.В. 202
,12.00-13.30,
,13.40-15.10,
,15.20-16.50,
,17.00-18.30,
"к
и
н
р
о
т
В",8.30-10.00,
,10.10-11.40,лек. ТЕХНИЧЕСКАЯ ТЕРМОДИНАМИКА доц. Панкова Т.А. 110
,,пр.з. техниеская термодинамика Панкова Т.А. 110
,12.00-13.30,"пр.з. иностранный язык
Садовникова Е.В. Герасимова В.А. 511 509"
,13.40-15.10,
,,лаб.з. техниеская термодинамика Панкова Т.А. 110
,15.20-16.50,
,17.00-18.30,
"а
д
е
р
С",8.30-10.00,"пр.з. история России
Слижевская М.Р. 307"
,10.10-11.40,"лек. ИНЖЕНЕРНАЯ ФИЗИКА
доц. Жиздюк А.А. 240"
,12.00-13.30,"пр.з. общая физическая подготовка
Кошелев В.П. сок"
,13.40-15.10,ЕДИНЫЙ КУРАТОРСКИЙ ЧАС
,15.20-16.50,
,17.00-18.30,
"г
р
е
в
т
е
Ч",8.30-10.00,
,10.10-11.40,"лек. МАТЕМАТИКА
ст. пр. Пащенко Е.А. 253"
,12.00-13.30,"пр.з. математика
Пащенко Е.А.253"
,13.40-15.10,пр.з. математика Пащенко Е.А.253
,,
,15.20-16.50,
,17.00-18.30,
"а
ц
и
н
т
я
П",8.30-10.00,лек. ИНЖЕНЕРНАЯ И КОМПЬЮТЕРНАЯ ГРАФИКА доц. Марадудин А.М. 522
,,пр.з. инженерная и компьютерная графика Марадудин А.М. Леонтьев А.А. 522
,10.10-11.40,"пр.з. инженерная и компьютерная графика
Марадудин А.М. Леонтьев А.А. 529"
,12.00-13.30,"пр.з. инженерная физика
Рыжова Е.В. 240"
,13.40-15.10,
,15.20-16.50,
,17.00-18.30,
,8.30-10.00,
"а
т
о
б
б
у
С",10.10-11.40,
,12.00-13.30,
,13.40-15.10,
