"Расписание занятий
на 2 семестр 2025-2026 учебного года
институт инженерии и робототехники 1 курс",column_1,column_2
Дни,Часы,"Б-ЭиЭ-101 ""Россети Волга"" с 26.01.2026"
"к
и
н
ь
л
е
д
е
н
о
П",8.30-10.00,лек. МЕХАНИКА доц. Левченко Г.В. 434
,,лек. ИНЖЕНЕРНАЯ ФИЗИКА ст.преп. Рыжова Е.В. 240
,10.10-11.40,"пр.з. общая физическая подготовка
Скосырева Е.Н. сок"
,12.00-13.30,"пр.з. начертательная геометрия и инженерная графика
Леонтьев А.А. 313"
,13.40-15.10,
,15.20-16.50,
,17.00-18.30,
"к
и
н
р
о
т
В",8.30-10.00,лаб.з. инженерная физика Рыжова Е.В. 240
,,пр.з. иностранный язык Садовникова Е.В. Ларцева К.А. 511 507
,10.10-11.40,"пр.з. иностранный язык
Садовникова Е.В. Ларцева К.А. 511 507"
,12.00-13.30,"пр.з. история России
Аленичева Н.В. 313"
,13.40-15.10,лек. ИСТОРИЯ РОССИИ ст. преп. Аленичева Н.В. 313
,,пр.з. начертательная геометрия и инженерная графика Леонтьев А.А. 313
,15.20-16.50,
,17.00-18.30,
"а
д
е
р
С",8.30-10.00,"пр.з. общая физическая подготовка
Скосырева Е.Н. сок"
,10.10-11.40,лек. СОЦИОЛОГИЯ проф. Дудникова Е.Б. 401а
,,пр.з. социология Дудникова Е.Б. 401а
,12.00-13.30,
,,пр.з. механика Шишкин И.В. 437
,13.40-15.10,ЕДИНЫЙ КУРАТОРСКИЙ ЧАС
,15.20-16.50,
,17.00-18.30,
"г
р
е
в
т
е
Ч",8.30-10.00,"пр.з. прикладная математика в электроэнергетике и электротехнике
Селиванов Ф.С. 127"
,10.10-11.40,лек. МЕНЕДЖМЕНТ доц. Голубева А.А. 307
,,пр.з. менеджмент Голубева А.А. 307
,12.00-13.30,"лаб.з. информатика
Рубцова С.Н. Жданов Д.А 529"
,13.40-15.10,лаб.з. информатика Рубцова С.Н. Жданов Д.А. 529
,,лаб.з. механика Березкин А.С. Дзюбан И.Л. 437
,15.20-16.50,
,17.00-18.30,
"а
ц
и
н
т
я
П",8.30-10.00,"лек. ИНЖЕНЕРНАЯ ФИЗИКА
ст.преп. Рыжова Е.В. 240"
,10.10-11.40,"лаб.з. инженерная физика
Рыжова Е.В. Благодарова П.А. 240 244"
,12.00-13.30,"лек. ИНФОРМАТИКА
доц. Рубцова С.Н. 529"
,13.40-15.10,
,,пр.з. прикладная математика в электроэнергетике и электротехнике Селиванов Ф.С. 127
,15.20-16.50,
,17.00-18.30,
,8.30-10.00,
"а
т
о
б
б
у
С",10.10-11.40,
,12.00-13.30,
,13.40-15.10,
