"Расписание занятий
на 2 семестр 2025-2026 учебного года
институт инженерии и робототехники 3 курс",column_1,column_2
Дни,Часы,С-ПБ-301 с 26.01.26
"к
и
н
ь
л
е
д
е
н
о
П",8.30-10.00,"лек. ЛЕСНАЯ ПИРОЛОГИЯ И ТУШЕНИЕ ЛЕСНЫХ ПОЖАРОВ
доц. Козаченко М.А. 106"
,10.10-11.40,"пр.з.лесная пирология и тушение лесных пожаров
Козаченко М.А. 106"
,12.00-13.30,лек. ФИЗИКО-ХИМИЧЕСКИЕ ОСНОВЫ РАЗВИТИЯ И ТУШЕНИЯ ПОЖАРОВ проф. Панкин К.Е. 208
,,пр.з. физико-химические основы развития и тушения пожаров Панкин К.Е. 208
,13.40-15.10,лб.з. физико-химические основы развития и тушения пожаров Панкин К.Е. 208
,,
,15.20-16.50,
,17.00-18.30,
"к
и
н
р
о
т
В",8.30-10.00,"лек. БАЗОВЫЕ ШАССИ ПОЖАРНЫХ АВТОМОБИЛЕЙ И СПАСАТЕЛЬНОЙ ТЕХНИКИ
доц. Русинов А.В. 125"
,10.10-11.40,"пр.з. общая физическая подготовка
Барбашин В.В. сок"
,12.00-13.30,"пр.з. базовые шасси пожарных автомобилей и спасательной техники
Русинов А.В. 125"
,13.40-15.10,
,15.20-16.50,
,17.00-18.30,
"а
д
е
р
С",8.30-10.00,
,10.10-11.40,
,,лек. ПРОТИВОПОЖАРНОЕ ВОДОСНАБЖ доц. Аржанухина Е.В. 532
,12.00-13.30,"лек. ЗДАНИЯ, СООРУЖЕНИЯ И ИХ УСТОЙЧИВОСТЬ ПРИ ПОЖАРЕ
доц. Орлова С.С. 501а"
,13.40-15.10,"пр.з. здания, сооружения и их устойчивость при пожаре
Орлова С.С. 501а"
,15.20-16.50,
,17.00-18.30,
"г
р
е
в
т
е
Ч",8.30-10.00,лек.НАУЧНО-ИССЛЕДОВАТЕЛЬСКАЯ И ЭКСПЕРИМЕНТАЛЬНАЯ РАБОТА В ПОЖАРНОЙ БЕЗОП.проф. Панкин К.Е.206
,,пр.з. охрана труда Марынова Т.А. 518а
,10.10-11.40,пр.з. противопожарное водоснабжение Аржанухина Е.В. 532
,,"лб.з. здания, сооружения и их устойчивость при пожаре Орлова С.С.501а"
,12.00-13.30,"пр.з. автоматизированные системы управления и связь в пожарной безопасности
Анисимов С.А. Курин В.И. 217"
,13.40-15.10,
,15.20-16.50,
,17.00-18.30,
"а
ц
и
н
т
я
П",8.30-10.00,
,10.10-11.40,лек.АВТОМАТИЗИРОВАННЫЕ СИСТЕМЫ УПРАВЛЕНИЯ И СВЯЗЬ В ПОЖАРНОЙ БЕЗОП. доц.Анисимов С.А.217
,,лб.з. противопожарное водоснабжение Аржанухина Е.В. 525
,12.00-13.30,лек. ОХРАНА ТРУДА доц. Удалова О.Г. 518а
,,лб.з. охрана труда Марынова Т.А. Соколов С.А. 518а
,13.40-15.10,"лб.з. базовые шасси пожарных автомобилей и спасательной техники
Русинов А.В. 125"
,15.20-16.50,лб.з. научно-исследовательская и экспериментальная работа в пожарной безопасности Евдокимов А.С. 206
,,
,17.00-18.30,
"а
т
о
б",8.30-10.00,
,10.10-11.40,
"б
у
С",12.00-13.30,
,13.40-15.10,
