"Расписание занятий
на 2 семестр 2025-2026 учебного года
институт инженерии и робототехники 4 курс",column_1,column_2
Дни,Часы,Б-ТБ-401 с 24.02.2026
"к
и
н
ь
л
е
д
е
н
о
П",8.30-10.00,
,10.10-11.40,"лек. ОЦЕНКА ПОЖАРНОГО РИСКА
доц. Ивченко О.А. 206"
,12.00-13.30,"пр.з. оценка пожарного риска
Ивченко О.А. Тютин А.В. 206"
,13.40-15.10,пр.з. оценка пожарного риска Ивченко О.А. Тютин А.В. 206
,,пр.з. аудит и сертификация по обеспечению Панкин К.Е. Тараскин А.А.206
,15.20-16.50,
,17.00-18.30,
"к
и
н
р
о
т
В",8.30-10.00,
,10.10-11.40,"лек. БЕЗОПАСНОСТЬ ТЕХНОЛОГИЧЕСКИХ ПРОЦЕССОВ И ПРОИЗВОДСТВ
доц. Анисимов С.А. 206"
,12.00-13.30,"пр.з. безопасность технологических процессов и производств
Анисимов С.А. Курин В.И. 206"
,13.40-15.10,
,15.20-16.50,
,17.00-18.30,
"а
д
е
р
С",8.30-10.00,
,10.10-11.40,лаб.з. программные продукты в п.б. и охране труда Горюнов Д.Г. 531
,,лек.ПРОГРАММНЫЕ ПРОДУКТЫ В ПБ И ОТ доц.Горюнов Д.Г. 531
,12.00-13.30,"лек. ЭКСПЕРТИЗА ПРОЕКТНО-КОНСТРУКТОРСКОЙ ДОКУМЕНТАЦИИ
проф. Панкин К.Е. 206"
,13.40-15.10,"пр.з. аудит и сертификация по обеспечению
безопасности работ производственных объектов Панкин К.Е.Тараскин А.А.206"
,15.20-16.50,лек.АУДИТ И СЕРТИФИКАЦИЯ ПО ОБЕСП. БЕЗОП. проф. Панкин К.Е.206
,,
,17.00-18.30,
"г
р
е
в
т
е
Ч",8.30-10.00,"лек. СПЕЦИАЛЬНАЯ ОЦЕНКА УСЛОВИЙ ТРУДА НА ПРЕДПРИЯТИИ
доц. Удалова О.Г. 208"
,10.10-11.40,"пр.з. экспертиза проектно-конструкторской документации
Панкин К.Е. 208"
,12.00-13.30,
,13.40-15.10,
,15.20-16.50,
,17.00-18.30,
"а
ц
и
н
т
я
П",8.30-10.00,
,,пр.з. экспертиза проектно-конструкторской документации Панкин К.Е. 206
,10.10-11.40,"пр.з. специальная оценка условий труда на предприятии
Удалова О.Г. Соколов С.А. 518 а"
,12.00-13.30,пр.з. программные продукты в п.б. и охране труда Горюнов Д.Г. 531
,,пр.з.специальная оценка условий труда на предприятии Удалова О.Г. Соколов 208
,13.40-15.10,
,15.20-16.50,
,17.00-18.30,
"а
т
о
б",8.30-10.00,
,10.10-11.40,
"б
у
С",12.00-13.30,
,13.40-15.10,
,,
