"Расписание занятий
на 2 семестр 2025-2026 учебного года
институт агробизнеса 1 курс",column_1,column_2,column_3
Дни,Часы,Б-Э-101 02.02.2026,Б-БИ-101 02.02.2026
"к
и
н
ь
л
е
д
е
н
о
П
к
и
н
р
о
т
В",8.30-10.00,,
,10.10-11.40,"лек.СПЕЦ. ПЕДАГОГИКА И СПЕЦ. ПСИХОЛОГИЯ 410 лаб. з. Программирование на языках высокого уровня
пр.з. Спец. психология и спец. педагогика 410 Косарев А.В., Курышов А.А. 245,247",
,,пр.з. Спец. психология и спец. педагогика 410,
,12.00-13.30,"пр.з. Налоги и налогообложение
Котар О.К. 257",лаб. з.Алгоритмы и структура данных Косарев А.В. 245
,,,лек. АЛГОРИТМЫ И СТРУКТУРА ДАННЫХ доц. Косарев А.В. 245
,13.40-15.10,"лек. НАЛОГИ И НАЛОГООБЛОЖЕНИЕ
доц. Котар О.К. 257",лек. ПРАВОВЕДЕНИЕ доц. Рубанова М.Е. 253
,,,
,15.20-16.50,"пр.з. Информатика
Жданов Д.А. , Курышов А.А. 245, 247",
,8.30-10.00,лек. ИНФОРМАТИКА доц. Рубцова С.Н. 134,
,,лек. ИСТОРИЯ РОССИИ ИСТОРИЯ РОССИИ проф. Шалаева Н.В. 422,
,10.10-11.40,"Общая физическая подготовка
Пяткина М.А.","Общая физическая подготовка
Фролова Л.В."
,12.00-13.30,"лек. БУХГАЛТЕРСКИЙ УЧЕТ И АНАЛИЗ
доц. Лысова Т.А. 232","пр.з. История России
Шалаева Н.В. 253"
,13.40-15.10,"пр.з. Бухгалтерский учет и анализ
Лысова Т.А. 134 к",лек. ЛИДЕРСТВО И УПРАВЛ. КОМАНДОЙ проф. Александрова Л.А. 316
,,,пр.з. Лидерство и управление командой Александрова Л.А. 316
,15.20-16.50,,
"а
д
е
р
С",8.30-10.00,"лек. ФИНАНСЫ пр.з. Иностранный язык
проф. Уколова Н.А. 232 Раздобарова М.Н. 450, Ларцева К.А. 452",
,10.10-11.40,"пр.з. Финансы
Уколова Н.А. 232",лек. ПРОГРАММИРОВ. НА ЯЗЫКАХ ВЫСОКОГО УРОВНЯ доц. Косарев А.В. 247
,,,лек. ТЕОРИЯ СИСТЕМ И СИСТЕМНЫЙ АНАЛИЗ доц. Косарев А.В. 247
,12.00-13.30,"лек. МИКРОЭКОНОМИКА
доц. Васильева О.А. 243","лаб. з. Теория систем и системный анализ
Косарев А.В. 247"
,13.40-15.10,Кураторский час,Кураторский час
,15.20-16.50,,
"г
р
е
в
т
е
Ч",8.30-10.00,"Общая физическая подготовка
Пяткина М.А.","Общая физическая подготовка
Фролова Л.В."
,10.10-11.40,"пр.з. Микроэкономика
Васильева О.А. 314","лек. ИНФОРМАЦИОННЫЕ ТЕХНОЛОГИИ СБОРА И ОБРАБОТКИ ДАННЫХ
доц. Пахомова Т.В. 134 к"
,12.00-13.30,"пр.з. Иностранный язык
Раздобарова М.Н. 450, Бормосова Н.Е. 452","лаб. Информационные технологии сбора и обработки информации
Пахомова Т.В. 134 к"
,13.40-15.10,"пр.з. Иностранный язык Раздобарова 452, Бормосова 528",
,,"пр.з. Информатика Жданов Д.А., Курышов А.А. 245, 247",лаб. Инф. технологии сбора информации Пахомова Т.В. 134 к
,15.20-16.50,,
"а
ц
и
н
т
я
П",8.30-10.00,,"пр.з. Правоведение
Рубанова М.Е. 803"
,10.10-11.40,,"лек. ВЫСШАЯ МАТЕМАТИКА
доц. Гиляжева Д.Н. 803"
,12.00-13.30,"пр.з. История России
Слижевская М.Р. 410","пр. Высшая математика
Гиляжева Д.Н. 803"
,13.40-15.10,"пр.з. Прикладная математика в экономике
Гиляжева Д.Н. 803",
,15.20-16.50,,
,,лек. ПРИКЛАД. МАТЕМАТИКА В ЭКОНОМИКЕ доц. Гиляжева Д.Н. 803,
"а
т
о
б
б
у
С",8.30-10.00,,
,10.10-11.40,,
,,,
