"Расписание занятий
на 2 семестр 2025-2026 учебного года
институт биотехнологии 1 курс",column_1,column_2,column_3
Дни,Часы,М-БТ-БТ-101 с 22.12.25 г.,М-ПЖ-ММИ-101 с 22.12.25 г.
"к
и
н
ь
л
де
не
о
П",8.30-10.00,лек. МЕТОДОЛОГИЯ НАУЧНЫХ ИССЛЕДОВАНИЙ В БИОТЕХНОЛОГИИ доц.Древко Я.Б. 510,
,10.10-11.40,"пр.з. Апробация и оформление результатов биотехнологических исследований 510
доц.Смутнев П.В.",лаб.з. Биотехнология в производстве продуктов питания ММИ 135 доц.Андреева С.В. 105
,12.00-13.30,лек.МЕТО,лек.БИОТЕХНОЛОГИЯ В ПР-ВЕ ПРОДУКТОВ ММИ доц.Курако У.М. 105
,,,ДОЛОГИЧЕСКИЕ ОСНОВЫ РАЗРАБОТКИ НОВЫХ ВИДОВ МЯСНОЙ И МОЛОЧНОЙ ПРОДУКЦИИ доц.Курак
,13.40-15.10,,лек.БИОТЕХНОЛОГИЯ В ПР-ВЕ ПРОДУКТОВ ММИ доц.Курако У.М. 105
,,,пр.з. Методологические разработки новых видов мясной и молочной продукции доц.Курако У.М. 105
,15.20-16.50,,"пр.з. Биотехнология в производстве продуктов питания ММИ 105
доц. Курако У.М."
,17.00-18.30,,
"к
и
н
р
о
т
В",8.30-10.00,лек.БИОТРАНСФОРМАЦИЯ ПРИРОДНЫХ СОЕДИНЕНИЙ доц.Спиряхина Т.В. 528,
,10.10-11.40,лек.СОВРЕМЕННЫЕ ПРОБЛЕМЫ В БИОТЕХНОЛОГИИ доц.Хапцев З.Ю. 528,
,12.00-13.30,пр.з. Информационные технологии в научных исследованиях 416 доц. Розанов А.В.,
,,пр.з.Современные проблемы биотехнологии 339 доц.Хапцев З.Ю.,
,13.40-15.10,"пр.з. Информационные технологии в научных исследованиях 416 доц. Розанов А.В.
доц. Розанов А.В.","лек.НАУЧНЫЕ ОСНОВЫ ПРОД.БЕЗОПАСНОСТИ МЯСНЫХ И МОЛОЧНЫХ ПРОДУКТОВ
доц.Левина Т.Ю. 105"
,15.20-16.50,,"лаб.з. Научные основы продовольственной безопасности мясных и молочных продуктов 105
асс.Крелин"
,17.00-18.30,,"лаб.з. Научные основы продовольственной безопасности мясных и молочных продуктов 105
асс.Крелин"
"а
д
ре
С",8.30-10.00,,
,10.10-11.40,"пр.з.Современные проблемы биотехнологии 339
доц. Хапцев З.Ю.",
,12.00-13.30,лек.БИОТЕХНОЛОГИЯ РЕКОМБИНАНТНЫХ БЕЛКОВ доц. Спиряхина Т.В. 339,лек.МЕТОДОЛОГИЧЕСКИЕ ОСНОВЫ РАЗРАБОТКИ НОВЫХ ВИДОВ МЯСНОЙ И МОЛОЧНОЙ ПРОДУКЦИИ доц.Курако У.М. 105
,,,
,13.40-15.10,"лаб.з. Биотехнология рекомбинантных белков 510
доц.Спиряхина Т.В.",пр.з. Методологические разработки новых видов мясной и молочной продукции доц.Курако У.М. 105
,,,
,15.20-16.50,пр.з. Синтетические методы в биотехнологии 510 ст.пр.Кичемазова Н.В.,пр.з. Методологические разработки новых видов мясной и молочной продукции 105
,,,лаб.з.Методология проектир. мясных и мол. продуктов с заданн.св-ми и составом 105 доц.Курако У.М.
,"17.00-18.30
17.00-18.30",,
,,,пр.з. Современные методы проведения научных исследований 105 доц.Левина Т.Ю.
,,,пр.з.Методология проектир. мясных и мол. продуктов с заданн.св-ми и составом 105 доц.Курако У.М.
"рг
ве
т
Че",8.30-10.00,,
,10.10-11.40,,лек.ИСПОЛЬЗОВАНИЕ Б.А.Д. В ПР-ВЕ МЯСНЫХ И МОЛОЧНЫХ ПРОДУКТОВ доц.Курако У.М. 135
,,,пр.з. Современные методы проведения научных исследований 135 доц.Левина Т.Ю.
,12.00-13.30,"лек.СИНТЕТИЧЕСКИЕ МЕТОДЫ В БИОТЕХНОЛОГИИ
проф.Федорова В.А. 339",лек.ИСПОЛЬЗОВАНИЕ Б.А.Д. В ПРОИЗ. МЯСНЫХ И МОЛОЧНЫХ ПРОДУКТОВ доц.Курако У.М. 135
,,,пр.з. Использование б.а.д. в пр-ве мясных и молочных продуктов 135 асс.Асеева С.Ю.
,13.40-15.10,"лаб.з. Биотехнология рекомбинантных белков 532
доц.Спиряхина Т.В.","пр.з. Использование б.а.д. в пр-ве мясных и молочных продуктов 133
асс.Асеева Е.Ю."
,15.20-16.50,пр.з. Методология научных исследований в биотехнологии 530 доц.Смутнев П.В.,"лаб.з. Использование б.а.д. в пр-ве мясных и молочных продуктов 133
асс. Крелин Д.Н."
,17.00-18.30,пр.з. Методология научных исследований в биотехнологии 530 доц.Смутнев П.В.,
,,пр.з. Апробация и оформление результатов биотехнологических исследований 530,
"а
ц
и
н
т
я
П",8.30-10.00,лек.БИОТРАНСФОРМАЦИЯ ПРИРОДНЫХ СОЕДИНЕНИЙ доц.Спиряхина Т.В. 528,лек.СОВРЕМЕННЫЕ МЕТОДЫ ПРОВЕДЕНИЯ НАУЧНЫХ ИССЛЕДОВАНИЙ доцент Левина Т.Ю. 135
,,пр.з.Синтетические методы в биотехнологии 530 ст.пр.Кичемазова Н.В.,
,10.10-11.40,"лек. АПРОБАЦИЯ И ОФОРМЛЕНИЕ РЕЗУЛЬТАТОВ В БИОТЕХНОЛОГИЧЕСКИХ ИССЛЕДОВАНИЯХ 538
доц. Спиряхина Т.В.","лек.МЕТОДОЛОГИЯ ПРОЕКТИРОВАНИЯ МЯСНЫХ И МОЛОЧНЫХ ПРОДУКТОВ С ЗАДАННЫМИ
СВ-МИ И СОСТАВОМ доц.Курако У.М. 135"
,12.00-13.30,"лаб.з.Биотрансформация природных соединений 516
ст.пр.Кичемазова Н.В.",пр.з. Методология проектир. мясных и мол. продуктов с заданн.св-ми и составом 135 доц.Курако У.М.
,13.40-15.10,"лаб.з.Биотрансформация природных соединений 516
ст.пр.Кичемазова Н.В.",лаб.з.Методология проектир. мясных и мол. продуктов с заданн.св-ми и составом 135 доц.Курако У.М.
,15.20-16.50,,
,17.00-18.30,,
"а
т
о
б
б
у
С",8.30-10.00,,
,10.10-11.40,,
,12.00-13.30,,
,13.40-15.10,,
,,,
