СОГЛАСОВАНО УТВЕРЖДАЮ,column_1,column_2,column_3
Директор института __________ Волощук Л. А.,,,
""" ____ "" _______________________ 2025 г. "" ____ "" _______________________ 2025 г.
Расписание занятий на 2 семестр 2025-2026 учебного года
институт агробизнеса 1 курс
а и",,,
"т
а
Д","н
Д",Часы,М-М-11
"а
т
р
а
м
2","к
и
н
ь
л
е
д
е
н
о
П",8.30-10.00,
,,10.10-11.40,
,,12.00-13.30,"пр.з. Русский язык в деловых и научных коммуникациях
доц. Любезнова Н.В. УК 2 407"
,,13.40-15.10,"пр.з. Русский язык в деловых и научных коммуникациях
доц. Любезнова Н.В. УК 2 407"
,,15.20-16.50,"пр.з. Русский язык в деловых и научных коммуникациях
доц. Любезнова Н.В. УК 2 407"
,,17.00-18.30,"пр. з. Управление государственными закупками
асс. Севирионова И. С. ауд. 316"
"а
т
р
а
м
3","к
и
н
р
о
т
В",8.30-10.00,
,,10.10-11.40,"ЭКЗАМЕН Методы исследований в менеджменте
проф. Александрова Л. А. ауд. 341"
,,12.00-13.30,"лек. УПРАВЛЕНИЕ ЧЕЛОВЕЧЕСКИМИ РЕСУРСАМИ
проф. Глебов И. П. ауд. 347"
,,13.40-15.10,"ЗАЧЕТ Управление государственными закупками
доц. Наянов А. В. ауд. 347"
,,15.20-16.50,
,,17.00-18.30,
"а
т
р
а
м
4","а
д
е
р
С",8.30-10.00,
,,10.10-11.40,
,,12.00-13.30,"ЭКЗАМЕН Стратегический менеджмент
проф. Александрова Л. А. ауд. 347"
,,13.40-15.10,"лек. УПРАВЛЕНИЕ ЧЕЛОВЕЧЕСКИМИ РЕСУРСАМИ
проф. Глебов И. П. ауд. 347"
,,15.20-16.50,"пр.з. УПРАВЛЕНИЕ ЧЕЛОВЕЧЕСКИМИ РЕСУРСАМИ
проф. Глебов И. П. ауд. 347"
,,17.00-18.30,"пр.з. УПРАВЛЕНИЕ ЧЕЛОВЕЧЕСКИМИ РЕСУРСАМИ
проф. Глебов И. П. ауд. 347"
"а
т
р
а
м
5","г
р
е
в
т
е
Ч",8.30-10.00,
,,10.10-11.40,
,,12.00-13.30,"пр. з. Иностранный язык в профессиональной деятельности
проф. Калиниченко Э. Б., доц. Иванова Л. М. ауд. 450"
,,13.40-15.10,"ЭКЗАМЕН Иностранный язык в профессиональной деятельности
проф. Калиниченко Э. Б., доц. Иванова Л. М. ауд. 450"
,,15.20-16.50,"лек. ПЛАНИРОВАНИЕ ДЕЯТЕЛЬНОСТИ ПРЕДПРИЯТИЯ
доц. Наянов А.В. 324"
,,17.00-18.30,"пр.з. ПЛАНИРОВАНИЕ ДЕЯТЕЛЬНОСТИ ПРЕДПРИЯТИЯ
доц. Наянов А.В. 324"
"а
т
р
а
м
6","а
ц
и
н
т
я
П",8.30-10.00,
,,10.10-11.40,
,,12.00-13.30,"пр.з. ФИЛОСОФИЯ ПОЗНАНИЯ
проф. Дудникова Е. Б. ауд. 294"
,,13.40-15.10,"пр.з. ФИЛОСОФИЯ ПОЗНАНИЯ
проф. Дудникова Е. Б. ауд. 294"
,,15.20-16.50,"пр.з. ФИЛОСОФИЯ ПОЗНАНИЯ
проф. Дудникова Е. Б. ауд. 294"
,,17.00-18.30,"ЗАЧЕТ ФИЛОСОФИЯ ПОЗНАНИЯ
проф. Дудникова Е. Б. ауд. 294"
"а
т
р
а
м
7","а
т
о
б
б
у
С",8.30-10.00,"ЗКЗАМЕН УПРАВЛЕНИЕ ЧЕЛОВЕЧЕСКИМИ РЕСУРСАМИ
проф. Глебов И. П. ауд. 316"
,,10.10-11.40,"лек. УПРАВЛЕНИЕ ПРОЕКТАМИ
доц. Ледяев Т. Б. ауд. 316"
,,12.00-13.30,"пр. з. Управление проектами
доц. Ледяев Т. Б. ауд. 316"
,,13.40-15.10,"пр. з. Управление проектами
доц. Ледяев Т. Б. ауд. 316"
,,15.20-16.50,
Начальник ООУП УОКО Юдина М.Р.,,,
