"Расписание занятий
на 2 семестр 2025-2026 учебного года
института агробизнеса 2 курс",column_1,column_2,column_3,column_4
Дни,Часы,Б-Эв-201 26.01.2026,Б-Эв-202 26.01.2026,Б-Эв-203 26.01.2026
"к
и
н
ь
л
де
не
о
П",8.30-10.00,,,
,10.10-11.40,,пр.з. Бухгалтерский финансовый учет Новоселова С.А. 230,пр.з. Бухгалтерская финансовая отчетность Новоселова С.А. 230
,12.00-13.30,,"пр.з. Экономика предприятия АПК Толстова А.Н., Думчева О.Н. 232","пр.з. Бухгалтерский финансовый учет
Новоселова С.А. 241"
,13.40-15.10,"лек. ЭКОНОМИКА ПРЕДПРИЯТИЯ АПК ЭКОНОМИКА ПРЕДПРИЯТИЯ АПК проф. Родионова И.А. 314
пр.з. Экономика предприятия АПК Толстова А.Н., Думчева О.Н. 314 пр.з. Мировая экономика и МЭО Пшенцова А.И. 255 пр.з Психология работы в малых группах Щербакова Н.А. 253",,
,15.20-16.50,"лек. МИРОВАЯ ЭКОНОМИКА И МЕЖДУНАРОДНЫЕ ЭКОНОМИЧЕСКИЕ ОТНОШЕНИЯ доц. Пшенцова А.И. 324
лек. БУХГАЛТЕРСКАЯ ФИНАНСОВАЯ ОТЧЕТНОСТЬ И АНАЛИЗ ЕЕ ПОКАЗАТЕЛЕЙ доц. Новоселова С.А. 257",,
,17.00-18.30,пр.з. Мировая экономика и МЭО Воронова Е.О. 316,,пр.з. Мировая экономика и МЭО Пшенцова А.И. 255
"к
и
н
р
о
т
В",8.30-10.00,,,
,10.10-11.40,,,
,12.00-13.30,пр.з. Бухгалтерский финансовый учет Новоселова С.А. 241,,пр.з. Учет затрат и калькулирование продукции в АПК Новоселова С.А. 241
,13.40-15.10,пр.з. Бухгалтерский финансовый учет Новоселова С.А. 241,"пр.з. Макроэкономика Лявина М.Ю. 243
пр.з. Бухгалтерский финансовый учет Новоселова С.А. 241",пр.з. Макроэкономика Лявина М.Ю. 243
,15.20-16.50,"лек. ПСИХОЛОГИЯ РАБОТЫ В МАЛЫХ ГРУППАХ . ПСИХОЛОГИЯ РАБОТЫ В МАЛЫХ ГРУППАХ доц. Щербакова Н.А. 422
пр.з Психология работы в малых группах Щербакова Н.А. 253 пр.з. Бухгалтерская финансовая отчетность Новоселова С.А. 241 пр.з. Деньги, кредит, банки Новикова Н.А. 257",,
,17.00-18.30,"лек. СОЦИОЛОГИЯ СОЦИОЛОГИЯ СОЦИОЛОГИЯ доц. Булгаков С.В. 422
пр.з. Социология Булгаков С.В. 422 пр.з Психология работы в малых группах Щербакова Н.А. 253",,
"а
д
ре
С",8.30-10.00,"пр.з. Деньги, кредит, банки Новикова Н.А. 257",пр.з. Социология Булгаков С.В. 410,пр.з. Социология Булгаков С.В. 410
,10.10-11.40,"лек. ДЕНЬГИ, КРЕДИТ, БАНКИ ДЕНЬГИ, КРЕДИТ, БАНКИ ДЕНЬГИ, КРЕДИТ, БАНКИ ДЕНЬГИ, КРЕДИТ, БАНКИ доц. Новикова Н.А. 257
пр.з. Учет затрат и калькулирование продукции в АПК Новоселова С.А. 230 пр.з. Деньги, кредит, банки Новикова Н.А. 134 пр.з. Экономика предприятия АПК Толстова А.Н., Думчева О.Н. 440",,
,12.00-13.30,"лек. БУХГАЛТЕРСКИЙ ФИНАНСОВЫЙ УЧЕТ БУХГАЛТЕРСКИЙ ФИНАНСОВЫЙ УЧЕТ БУХГАЛТЕРСКИЙ ФИНАНСОВЫЙ УЧЕТ доц. Новоселова С.А. 314
лек. МАКРОЭКОНОМИКА МАКРОЭКОНОМИКА МАКРОЭКОНОМИКА МАКРОЭКОНОМИКА проф. Лявина М.Ю. 314",,
,13.40-15.10,"лек. УЧЕТ ЗАТРАТ И КАЛЬКУЛИРОВАНИЕ ПРОДУКЦИИ В АГРОПРОМЫШЛЕННОМ КОМПЛЕКСЕ доц. Новоселова С.А. 257
пр.з. Макроэкономика Лявина М.Ю. 243 пр.з. Учет затрат и калькулирование продукции в АПК Новоселова С.А. 241",,
,15.20-16.50,пр.з. Бухгалтерская финансовая отчетность Новоселова С.А. 241,,
,17.00-18.30,,,
"рг
ве
т
Че",8.30-10.00,,,
,10.10-11.40,,,
,12.00-13.30,,,
"а
ц
и
н
т
я
П",8.30-10.00,,,
,10.10-11.40,,,
,12.00-13.30,,,
"а
т
о
б
б
у
С",8.30-10.00,,,
,10.10-11.40,,,
,12.00-13.30,,,
,,,,
