"Расписание занятий
на 2 семестр 2025-2026 учебного года
институт инженерии и робототехники 3 курс",column_1,column_2
Дни,Часы,Б-АИ-302 с 26.01.26
"к
и
н
ь
л
е
д
е
н
о
П",8.30-10.00,
,10.10-11.40,лек.ТЕХНОЛОГИИ И ТЕХНИЧЕСКИЕ СРЕДСТВА УБОРКИ ЗЕРНОВЫХ КУЛЬТУР проф. Старцев А.С. 138
,,пр.з. технологии и технические средства уборки зерновых культур Старцев А.С. Савенков А.С.138
,12.00-13.30,лек. ЭЛЕКТРОТЕХНИКА И ЭЛЕКТРОНИКА доц. Иванкина Ю.В. 416
,,пр.з. электротехника и электроника Иванкина Ю.В. 416
,13.40-15.10,"лаб.з. сельскохозяйственные машины
Шардина Г.Е. Савенков А.С. 131, 140"
,15.20-16.50,
,17.00-18.30,
"к
и
н
р
о
т
В",8.30-10.00,
,10.10-11.40,"пр.з. подъемно-транспортные машины, их узлы и детали в агроинженерии
Павлов П.И. 522"
,12.00-13.30,лек. СЕЛЬСКОХОЗЯЙСТВЕННЫЕ МАШИНЫ доц. Шардина Г.Е. 131
,,"лек. ПОДЪЕМНО-ТРАНСПОРТНЫЕ МАШИНЫ, ИХ УЗЛЫ И ДЕТАЛИ В АГРОИНЖЕНЕРИИ проф. Павлов П.И. 402"
,13.40-15.10,"лаб.з. сельскохозяйственные машины
Шардина Г.Е. Савенков А.С. 131, 140"
,15.20-16.50,
,,пр.з. сельскохозяйственные машины Шардина Г.Е.131
,17.00-18.30,
"а
д
е
р
С",8.30-10.00,лек. КОНСТРУИРОВАНИЕ И ПРОТОТИПИРОВАНИЕ ТЕХНИЧЕСКИХ СРЕДСТВ проф. Павлов П.И. 431
,,
,10.10-11.40,"лек. СЕЛЬСКОХОЗЯЙСТВЕННЫЕ МАШИНЫ
доц. Шардина Г.Е. 131"
,12.00-13.30,"лаб.з. технологии и технические средства уборки зерновых культур
Старцев А.С. Савенков А.С. 138, 140"
,13.40-15.10,лаб.з.конструирование и прототипирование технических средств ПавловП.И 520
,,пр.з.конструирование и прототипирование технических средств Павлов П.И. 520
,15.20-16.50,
,17.00-18.30,
"г
р
е
в
т
е
Ч",8.30-10.00,
,10.10-11.40,"лаб.з. тракторы и автомобили
Нестеров Е.С. 33"
,12.00-13.30,"лаб.з.подъемно-транспортные машины, их узлы и детали в агроинженерии Павлов П.И. 431"
,,лек. ТРАКТОРЫ И АВТОМОБИЛИ доц. Нестеров Е.С.33б
,13.40-15.10,"пр.з. общая физическая подготовка
Шишкина Т.Г. сок"
,15.20-16.50,
,17.00-18.30,
"а
ц
и
н
т
я
П",8.30-10.00,
,10.10-11.40,"лек. ЭКСПЛУАТАЦИЯ ТЕХНИЧЕСКИХ СРЕДСТВ В АПК
проф. Старцев А.С. 138"
,12.00-13.30,"лаб.з. эксплуатация технических средств в апк
Старцев А.С. 138"
,13.40-15.10,"лаб.з. эксплуатация технических средств в апк
Старцев А.С. 138"
,15.20-16.50,
,17.00-18.30,
"а
т
о
б",8.30-10.00,
,10.10-11.40,
"б
у
С",12.00-13.30,
,13.40-15.10,
,,
