"Расписание занятий
на 2 семестр 2025-2026 учебного года
институт инженерии и робототехники 1 курс",column_1,column_2
Дни,Часы,Б-ТБ-101 с 26.01.2026
,8.30-10.00,
"к
и
н
ь
л
е
д
е
н
о
П",,лек. ИСТОРИЯ РОССИИ доц. Котельников В.А. 202
,10.10-11.40,"пр.з. история России
Слижевская М.Р. 307"
,12.00-13.30,"пр.з. иностранный язык
Завьялова М.С. Мизюрова Э.Ю. Герасимова В.А. 516 510а 509"
,13.40-15.10,пр.з. иностранный язык Завьялова М.С. Мизюрова Э.Ю. Герасимова В.А. 516 510а 509
,,
,15.20-16.50,
,17.00-18.30,
"к
и
н
р
о
т
В",8.30-10.00,"пр.з. общая физическая подготовка
Фролова Л.В. сок"
,10.10-11.40,"лаб.з. химия
Нефедова Н.С. Романова Л.Р. 128"
,12.00-13.30,лек. ИНЖЕНЕРНАЯ ФИЗИКА доц. Жиздюк А.А. 244
,,лек. ХИМИЯ ст. пр. Нефедова Н.С. 128
,13.40-15.10,
,15.20-16.50,
,17.00-18.30,
"а
д
е
р
С",8.30-10.00,"лек. ИНФОРМАТИКА
доц. Рубцова С.Н. 522"
,10.10-11.40,"лб.з. информатика
Рубцова С.Н. Жданов Д.А. 522 520"
,12.00-13.30,"лаб.з. начертательная геометрия и инженерная графика
Перетятько А.В. Леонтьев А.А. 313 311"
,13.40-15.10,ЕДИНЫЙ КУРАТОРСКИЙ ЧАС
,15.20-16.50,
,17.00-18.30,
"г
р
е
в
т
е
Ч",8.30-10.00,
,10.10-11.40,"пр.з. общая физическая подготовка
Фролова Л.В. сок"
,12.00-13.30,"пр.з. экономика
Торопова В.В. 308"
,13.40-15.10,лек. ЭКОНОМИКА доц. Торопова В.В. 308
,,лек. ПСИХОЛОГИЯ РАБОТЫ В МАЛЫХ ГРУППАХ доц. Измайлова Ю.М. 308
,15.20-16.50,"пр.з. психология работы в малых группах
Измайлова Ю.М. 308"
,17.00-18.30,
"а
ц
и
н
т
я
П",8.30-10.00,
,10.10-11.40,"пр.з. экология
Аминева Т.С. 132"
,12.00-13.30,"лаб.з. инженерная физика
Субботина Е.Д. Лузина М.С. 244 240"
,13.40-15.10,пр.з. прикладная математика в системах безопасности Селиванов Ф.С. 127
,,лек. ЭКОЛОГИЯ доц. Сагатов М.А. 132
,15.20-16.50,"пр.з. прикладная математика в системах безопасности
Селиванов Ф.С. 127"
,17.00-18.30,
,8.30-10.00,
"а
т
о
б
б
у
С",10.10-11.40,
,12.00-13.30,
,13.40-15.10,
,,
