"Расписание занятий
на 2 семестр 2025-2026 учебного года.
Институт инженерии и робототехники 2 курс",column_1,column_2
Дни,Часы,"Б-ЭиЭ-201 ""Россети"" с 26.01.2026"
"к
и
н
ь
л
е
д
е
н
о
П",8.30-10.00,лек. ПРОГРАММИРОВАНИЕ И ИНТЕЛЛЕКТУАЛЬНЫЕ СИСТЕМЫ доц. Ключиков А.В. 522
,,лб.з. программирование и интеллектуальные системы Ключиков А.В. 522
,10.10-11.40,"пр.з. программирование и интеллектуальные системы
Ключиков А.В. 522"
,12.00-13.30,пр.з. основы построения и чтения схем электроустановок Иванкина Ю.В. 529
,,пр.з. основы построения и чтения схем электроустановок Мерзлов С.П. 529
,13.40-15.10,лек. ОСНОВЫ ПОСТРОЕНИЯ И ЧТЕНИЯ СХЕМ ЭЛЕКТРОУСТАНОВОК доц. Верзилин А.А.529
,,лек. ТЕХНИКА ВЫСОКИХ НАПРЯЖЕНИЙ доц. Менщиков И.А. 201
,15.20-16.50,
,17.00-18.30,
"к
и
н
р
о
т
В",8.30-10.00,"пр.з. общая физическая подготовка
Тарасов В.А. сок"
,10.10-11.40,лек. ЭЛЕКТРОТЕХНИЧЕСКИЕ МАТЕРИАЛЫ доц. Логачева О.В. 416
,,лек. БЕЗОПАСНОСТЬ ЖИЗНЕДЕЯТЕЛЬНОСТИ доц. Ивченко О.А.217
,12.00-13.30,
,,пр.з. безопасность жизнедеятельности Ивченко О.А. 217
,13.40-15.10,
,15.20-16.50,
,17.00-18.30,
"а
д
е
р
С",8.30-10.00,"лек. МАТЕРИАЛОВЕДЕНИЕ И ТЕХНОЛОГИЯ КОНСТРУКЦИОННЫХ МАТЕРИАЛОВ
доц. Павлов А.В. 421"
,10.10-11.40,"лб.з.техника высоких напряжений
Менщиков И.А. 200"
,12.00-13.30,"лб.з.материаловедение и технология конструкционных материалов
Березкин А.С. 421"
,13.40-15.10,"пр.з. психология работы в малых группах
Измайлова Ю.М. 120"
,15.20-16.50,пр.з. психология работы в малых группах Измайлова Ю.М. 407
,,
,17.00-18.30,
"г
р
е
в
т
е
Ч",8.30-10.00,
,,лек. ТЕОРЕТИЧЕСКИЕ ОСНОВЫ ЭЛЕКТРОТЕХНИКИ доц. Чурляева О.Н. 409
,10.10-11.40,"пр.з. общая физическая подготовка
Тарасов В.А. СОК"
,12.00-13.30,пр.з. электротехнические материалы Абзалов М.А. 416
,,лаб.з. электротехнические материалы Абзалов М.А. 416
,13.40-15.10,"лаб.з. теоретические основы электротехники
Абзалов М.А. 409"
,15.20-16.50,пр.з. теоретические основы электротехники Абзалов М.А. 409
,,
,17.00-18.30,
"а
ц
и
н
т
я
П",8.30-10.00,
,,пр.з монтаж электрооборудования и средств автоматизации Абзалов М.А. 300
,10.10-11.40,лек. МОНТАЖ ЭЛЕКТРООБОРУДОВАНИЯ И СРЕДСТВ АВТОМАТИЗАЦИИ доц. Левин М.А. 300
,,лб.з монтаж электрооборудования и средств автоматизации Абзалов М.А. 300
,12.00-13.30,"лб.з монтаж электрооборудования и средств автоматизации
Абзалов М.А. 300"
,13.40-15.10,
,15.20-16.50,
,17.00-18.30,
"а
т
о
б",8.30-10.00,
,10.10-11.40,
"б
у
С",12.00-13.30,
,13.40-15.10,
