"Расписание занятий
на 2 семестр 2025-2026 учебного года
институт инженерии и робототехники 4 курс",column_1,column_2
Дни,Часы,Б-ЛД-401 с 02.02.26
"к
и
н
ь
л
е
д
е
н
о
П",8.30-10.00,"пр.з. основы военной подготовки
Билыч А.С. 427"
,10.10-11.40,"пр.з. основы военной подготовки
Билыч А.С. 427"
,12.00-13.30,"лек. СЕРВИС В СФЕРЕ ОХОТНИЧЬЕГО ХОЗЯЙСТВА
доц. Козаченко М.А. 111"
,13.40-15.10,пр.з. государственное управление лесами Филиппов П.Б. 111
,,пр.з. организация использования лесов Попов В.Г. 111
,15.20-16.50,
,17.00-18.30,
"к
и
н
р
о
т
В",8.30-10.00,
,10.10-11.40,"лек. ОРГАНИЗАЦИЯ ИСПОЛЬЗОВАНИЯ ЛЕСОВ
доц. Козаченко М.А. проф. Попов В.Г. 311"
,12.00-13.30,"лек. НОРМАТИВНОЕ РЕГУЛИРОВАНИЕ В ЛЕСНОМ ДЕЛЕ
доц. Козаченко М.А. 311"
,13.40-15.10,лаб.з. недревесная продукция леса Проездов П.Н.128
,,пр.з. нормативное регулирование Корниенко М.Ю. 128
,15.20-16.50,
,17.00-18.30,
"а
д
е
р
С",8.30-10.00,
,10.10-11.40,"лек. ГОСУДАРСТВЕННОЕ УПРАВЛЕНИЕ ЛЕСАМИ
проф. Маштаков Д.А.ГЛ-2"
,12.00-13.30,"лек. НЕДРЕВЕСНАЯ ПРОДУКЦИЯ ЛЕСА
проф. Маштаков Д.А. ГЛ-2"
,13.40-15.10,"пр.з. общая физическая подготовка
Бугров А.А. сок"
,15.20-16.50,"ОСНОВЫ ВОЕННОЙ ПОДГОТОВКИ
доц. Палади А.А.239"
,17.00-18.30,
"г
р
е
в
т
е
Ч",8.30-10.00,
,10.10-11.40,"пр.з. сервис в сфере охотничьего хозяйства
Филиппов П.Б. 111"
,12.00-13.30,"лаб.з. государственная инвентаризация и мониторинг лесов
Филиппов П.Б. 111"
,13.40-15.10,"лек. ГОСУДАРСТВЕННАЯ ИНВЕНТАРИЗАЦИЯ И МОНИТОРИНГ ЛЕСОВ
проф. Маштаков Д.А.111"
,15.20-16.50,
,17.00-18.30,
"а
ц
и
н
т
я
П",8.30-10.00,лаб.з. организация использования лесов Козаченко М.А.111
,,лек. ПРУДОВОЕ РЫБОВОДСТВО доц. Гуркина О.А. 307
,10.10-11.40,"пр.з. прудовое рыбоводство
Гуркина О.А. 307"
,12.00-13.30,"лек. ОХОТУСТРОЙСТВО
доц. Самсонов Е.В. 111"
,13.40-15.10,"лаб.з. охотустройство
Самсонов Е.В. 111"
,15.20-16.50,
,17.00-18.30,
"а
т
о
б",8.30-10.00,
,10.10-11.40,
"б
у
С",12.00-13.30,
,13.40-15.10,
,,
