column_0,column_1,column_2,column_3
,,,
"Расписание занятий на 2 семестр 2025-2026 учебного года
институт генетики и агрономии 2 курс",,,
"а
т
а
Д","и
н
Д",Часы,М-ЗиК-21
"а
т
р
а
м
9
0","к
и
н
ь
л
е
д
е
н
о
П",10.10-11.40,
,,12.00-13.30,
,,13.40-15.10,
,,15.20-16.50,
,,17.00-18.30,
,,18.40-20.10,
"а
т
р
а
м
0
1","к
и
н
р
о
т
В",8.30-10.00,
,,10.10-11.40,
,,12.00-13.30,"пр. з. Экономика и управление земельно - имущественным комплексом
доц. Потоцкая Л. Н. ауд. 602"
,,13.40-15.10,"ЗАЧЁТ Экономика и управление земельно - имущественным комплексом
доц. Потоцкая Л. Н. ауд. 432"
,,15.20-16.50,"пр. з. Регулирование земельно - имущественных отношений
доц. Гагина И. С. ауд. 807"
,,17.00-18.30,"пр. з. Регулирование земельно - имущественных отношений
доц. Гагина И. С. ауд. 807"
,,18.40-20.10,
"а
т
р
а
м
1
1","а
д
е
р
С",8.30-10.00,
,,10.10-11.40,
,,12.00-13.30,
,,13.40-15.10,"лек. ПЛАНИРОВАНИЕ И УПРАВЛЕНИЕ ЗЕМЕЛЬНЫМИ РЕСУРСАМИ
проф. Янюк В. М. ауд. 903"
,,15.20-16.50,"пр. з. Планирование и управление земельными ресурсами
проф. Янюк В. М., доц. Гагина И. С. ауд. 807, 903"
,,17.00-18.30,"пр. з. Регулирование земельно - имущественных отношений
доц. Гагина И. С. ауд. 807"
,,18.40-20.10,"пр. з. Кадастр недвижимости
доц. Гагина И. С. ауд. 807"
"а
т
р
а
м
2
1","г
р
е
в
т
е
Ч",8.30-10.00,
,,10.10-11.40,
,,12.00-13.30,
,,13.40-15.10,"пр. з. Регулирование земельно - имущественных отношений
доц. Гагина И. С. ауд. 807"
,,15.20-16.50,"ЗАЧЁТ Регулирование земельно - имущественных отношений
доц. Гагина И. С. ауд. 807"
,,17.00-18.30,"пр. з. Планирование и управление земельными ресурсами
проф. Янюк В. М., доц. Гагина И. С. ауд. 530, 807"
,,18.40-20.10,"пр. з. Кадастр недвижимости
доц. Гагина И. С. ауд. 807"
"а
т
р
а
м
3
1","а
ц
и
н
т
я
П",8.30-10.00,
,,10.10-11.40,
,,12.00-13.30,"лек. КАДАСТР НЕДВИЖИМОСТИ
доц. Гагина И. С. ауд. 1009"
,,13.40-15.10,"лек. КАДАСТР НЕДВИЖИМОСТИ
доц. Гагина И. С. ауд. 1009"
,,15.20-16.50,"пр. з. Кадастр недвижимости
доц. Гагина И. С. ауд. 807"
,,17.00-18.30,"пр. з. Землеустроительная экспертиза
асс. Агарышева А. Н. ауд. 807"
,,18.40-20.10,
"а
т
р
а
м
4
1","а
т
о
б
б
у
С",8.30-10.00,
,,10.10-11.40,"лек. ПЛАНИРОВАНИЕ И УПРАВЛЕНИЕ ЗЕМЕЛЬНЫМИ РЕСУРСАМИ
проф. Янюк В. М. ауд. 1003"
,,12.00-13.30,"пр. з. Планирование и управление земельными ресурсами
проф. Янюк В. М., доц. Гагина И. С. ауд. 530, 807"
,,13.40-15.10,"пр. з. Кадастр недвижимости
доц. Гагина И. С. ауд. 807"
,,15.20-16.50,"пр. з. Кадастр недвижимости
доц. Гагина И. С. ауд. 807"
,,,
