"Расписание занятий
на 2 семестр 2025-2026 учебного года
институт агробизнеса 1 курс",column_1,column_2,column_3
"Дкни
и",Часы,Б-Эв-101 26.01.2026,Б-Эв-102 26.01.2026
"н
ь
л
е
д
е
н
о
П",8.30-10.00,,
,10.10-11.40,,
,12.00-13.30,,
"к
и
н
р
о
т
В",8.30-10.00,,
,10.10-11.40,,
,12.00-13.30,,
"а
д
е
р
С",8.30-10.00,,
,10.10-11.40,"пр.з. Иностранный язык
Ларцева К.А. 450, Раздобарова М.Н. 452",
,12.00-13.30,"пр.з. Финансы
Антонова Е.А. 134","пр.з. Иностранный язык
Ларцева К.А. 450 , Бормосова Н.Е. 280"
,13.40-15.10,лек. ПРИКЛАДНАЯ МАТЕМАТИКА В ЭКОНОМИКЕ доц. Гиляжева Д.Н. 422,
,,пр.з. Прикладная математика в экономике Гиляжева Д.Н. 422,пр.з. Финансы Антонова Е.А. 134
,15.20-16.50,"пр.з. История России
Котельников В.А. 253",пр.з. Финансы Антонова Е.А. 134
,,,пр.з. Прикладная математика в экономике Гиляжева Д.Н. 422
,17.00-18.30,,"пр.з. История России
Котельников В.А. 253"
"г
р
е
в
т
е
Ч",8.30-10.00,,
,10.10-11.40,,
,,лек. ИСТОРИЯ РОССИИ ИСТОРИЯ РОССИИ доц. Котельников В.А. 708,
,12.00-13.30,"лек. ОРГАНИЗАЦИЯ ТЕХНОЛОГИЧЕСКИХ ПРОЦЕССОВ доц. Шьюрова Н.А., доц. Ледяев Т.Б. 702",
,,лек. МИКРОЭКОНОМИКА доц. Васильева О.А. 702,
,13.40-15.10,лек. ФИНАНСЫ ФИНАНСЫ доц. Новикова Н.А. 257,
,,пр.з. Микроэкономика Васильева О.А. 314,"пр.з. Орг. технолог. процессов Каргополова, Ледяев 702"
,15.20-16.50,пр.з. Бухгалтерский учет и анализ Лысова Т.А. 241,"пр.з. Микроэкономика
Васильева О.А. 314"
,,,
,17.00-18.30,,
"а
ц
и
н
т
я
П",8.30-10.00,,
,10.10-11.40,,
,12.00-13.30,пр.з. Микроэкономика Васильева О.А. 1004,"лаб.з. Информатика
Пахомова Т.В. 247, Слепцова Л.А. 230"
,,"пр.з. Орг. технолог. процессов Каргополова, Ледяев 903",
,13.40-15.10,лек. ИНФОРМАТИКА доц. Пахомова Т.В. 134,
,,лек. БУХГАЛТЕРСКИЙ УЧЕТ И АНАЛИЗ доц. Лысова Т.А. 257,
,15.20-16.50,"лаб.з. Информатика
Пахомова Т.В. 247, Слепцова Л.А. 230",
,,,пр.з. Бухгалтерский учет и анализ Лысова Т.А. 245
,17.00-18.30,,
"а
т
о
б
б
у
С",8.30-10.00,,
,10.10-11.40,,
,12.00-13.30,,
,,,
