"Расписание занятий
на 2 семестр 2025-2026 учебного года
институт инженерии и робототехники 1 курс",column_1,column_2
Дни,Часы,Б-СТв-101
,12.00-13.30,
,13.40-15.10,
"к
и
н
ль
неде
По",15.20-16.50,"пр.з. иностранный язык
Садовникова Е.В. Завьялова М.С. 510 510а"
,17.00-18.30,пр.з. история России Шалаева Н.В. 308
,,лек. ИСТОРИЯ РОССИИ проф. Шалаева Н.В. 308
,18.40-20.10,"лаб.з. информатика
Васильчиков В.В. 520"
,20.20-21.50,
"к
и
н
р
Вто",12.00-13.30,
,13.40-15.10,
,15.20-16.50,пр.з. инженерная физика Овчинникова Т.В. 240
,,лаб.з. инженерная физика Овчинникова Т.В. 240
,17.00-18.30,лек. ИНЖЕНЕРНАЯ ФИЗИКА доц. Овчинникова Т.В. 240
,,пр.з. инженерное обеспечение Прокопец Р.В. 532
,18.40-20.10,лек. ИНФОРМАТИКА доц. Васильчиков В.В. 520
,,
,20.20-21.50,
"реда
С",12.00-13.30,
,13.40-15.10,
,15.20-16.50,"пр.з. русский язык
Веселкова Т.В. 407"
,17.00-18.30,лек. МЕХАНИКА доц. Левченко А.В. 437
,,лаб.з. механика Левченко Г.В. Исмаилов И. 437
,18.40-20.10,лек. НАЧЕРТАТЕЛЬНАЯ ГЕОМЕТРИЯ доц. Марадудин А.М. 311
,,лаб .з. начертательная геометрия Марадудин А.М. 311
,20.20-21.50,
"рг
ве
Чет",12.00-13.30,
,13.40-15.10,
,15.20-16.50,лек. ОСНОВЫ РОССИЙСКОЙ ГОСУДАРСТВЕННОСТИ ст.пр Аленичева Н.В. 307
,,пр.з. основы Российской государственности Ахметов А.А. 307
,17.00-18.30,лек. ПРИКЛАДНАЯ МАТЕМАТИКА ст. преп. Дьяконова Н.В. 427
,,пр.з. прикладная математика Дьяконова Н.В. 427
,18.40-20.10,лек. ИНЖЕНЕРНОЕ ОБЕСПЕЧЕНИЕ. ГЕОДЕЗИЯ доц. Прокопец Р.В. 532
,,лаб.з. инженерное обеспечение Прокопец Р.В. Медведев Н.В. 532
,20.20-21.50,
"ца
и
н
ят
П",12.00-13.30,
,13.40-15.10,
,15.20-16.50,
,17.00-18.30,
,18.40-20.10,
,20.20-21.50,
Суббота,8.30-10.00,
,10.10-11.40,
,12.00-13.30,
,13.40-15.10,
,15.20-16.50,
,17.00-18.30,
,,
