"Расписание занятий
на 2 семестр 2025-2026 учебного года
институт агробизнеса 2 курс",column_1,column_2
Дни,Часы,М-Мв-201 02.02.2026
"к
и
н
ь
л
е
д
е
н
о
П",8.30-10.00,
,10.10-11.40,
,12.00-13.30,
,13.40-15.10,
"к
и
н
р
о
т
В",8.30-10.00,
,10.10-11.40,"пр.з. Планирование и оценка проектов в АПК Ледяев Т.Б. , Северионова И.С. 345"
,,
,12.00-13.30,пр.з. Кооперативные формы хозяйствования Глебов И.П. 345
,,лек. ПЛАНИРОВАНИЕ И ОЦЕНКА ПРОЕКТОВ В АПК проф. Колотырин К.П. 317
,13.40-15.10,лек. КООПЕРАТИВНЫЕ ФОРМЫ ХОЗЯЙСТВОВАНИЯ В АПК проф. Глебов И.П. 345
,,лек. БИЗНЕС-МЕНЕДЖМЕНТ В АПК проф. Колотырин К.П. 317
,15.20-16.50,
,17.00-18.30,
"а
д
е
р
С",8.30-10.00,
,10.10-11.40,
,12.00-13.30,
,13.40-15.10,"пр.з. Бизнес-менеджмент в АПК
Колотырин К.П., Ребров А.А. 317"
,15.20-16.50,"пр. з. Концепция развития предприятия АПК Лявина М.Ю., Старшов В.Н. 314"
,,лек. КОНЦЕПЦИЯ РАЗВИТИЯ ПРЕДПРИЯТИЯ АПК проф. Лявина М.Ю. 314
,17.00-18.30,
"г
р
е
в
т
е
Ч",8.30-10.00,
,10.10-11.40,
,,пр.з. Управление изменениями на предприяти АПК Колотырин К.П. 317
,12.00-13.30,пр.з. Управление изменениями на предприяти АПК Колотырин К.П. 317
,,"пр.з. Планирование и оценка проектов в АПК Ледяев Т.Б. , Северионова И.С. 343"
,13.40-15.10,лек. УПРАВЛЕНИЕ ИЗМЕНЕНИЯМИ НА ПРЕДПРИЯТИ АПК проф. Колотырин К.П. 317
,,
,15.20-16.50,
,17.00-18.30,
"а
ц
и
н
т
я
П
а
т",8.30-10.00,
,10.10-11.40,
,12.00-13.30,
"о
б
б
у
С",8.30-10.00,
,10.10-11.40,
,,
