"Расписание занятий
на 2 семестр 2025-2026 учебного года
института агробизнеса 4 курс",column_1,column_2,column_3,column_0,12.00-13.30,пр.з. Основы военной подготовки Билыч А.А. 427 (УК 2) (3 зан.)
Дни,Часы,Б-Э-401 12.01.2026,Б-М-401 26.01.2026,,,
"к
и
н
ь
л
е
д
е
н
о
П",8.30-10.00,,,,,
,10.10-11.40,"пр.з. Экон. эффективность проектной деятельности пред-я АПК Ледяев Т.Б., Ангалиева Г.Е. 324",,,,
,,лек. КОНТРОЛЬ И РЕВИЗИЯ доц. Новикова Н.А. 257,,,,
,12.00-13.30,"пр.з. Организация производствава в АПК
Наянов А.В., Амангалиева Г.Е. 410","пр.з. Деловая игра ""Бизнес-курс: корпорация плюс""
Ледяев Т.Б. 440",,,
,13.40-15.10,"пр.з.Организация производства в АПК Наянов А.В., Амангалиева Г.Е. 410","пр.з. Инвестиционный менеджмент в АПК Ледяев Т.Б., Тихонова Е.С. 440",,,
,,лек. КОНТРОЛЬ И РЕВИЗИЯ доц. Новикова Н.А. 242,"пр.з. Деловая игра ""Бизнес-курс: корпорация плюс"" Ледяев Т.Б. 410",,,
,15.20-16.50,,,,,
,,"пр.з. Экон. эффективность проектной деятельности пред-я АПК Ледяев Т.Б., Ангалиева Г.Е. 324",,,,
"к
и
н
р
о
т
В",8.30-10.00,,,,,
,10.10-11.40,,,,,
,,лек. ОРГ. ПРОИЗВОДСТВА В АПК доц. Наянов А.В. 343,,,,
,12.00-13.30,"лек. ОРГАНИЗАЦИЯ ПРОИЗВОДСТВА В АПК
доц. Наянов А.В. 343",,,,
,,,пр.з. Фин. менеджмент на предприятии АПК Антонова Е.А. 134,,,
,13.40-15.10,"пр.з. Государственные и муниципальные финансы
Уколова Н.В. 323","пр.з. Финансовый менеджмент на предприятии АПК
Антонова Е.А. 134",,,
,15.20-16.50,"пр.з. Государственные и муниципальные финансы
Уколова Н.В. 323","пр.з. Инвестиционный менеджмент в АПК
Ледяев Т.Б., Ребров А.А. 324",,,
"а
д
е
р
С",8.30-10.00,,,,,
,10.10-11.40,,,,,
,12.00-13.30,"лек.ГОСУДАРСТВЕННЫЕ И МУНИЦИПАЛЬНЫЕ ФИНАНСЫ
проф. Уколова Н.В. 242",,,,
,13.40-15.10,"пр.з. ОБЩАЯ ФИЗИЧЕСКАЯ ПОДГОТОВКА
Наумова М.А.","лек. БИЗНЕС-ПЛАНИРОВАНИЕ
доц. Руднев М.Ю. 316",,,
,15.20-16.50,лек. ОСНОВЫ ВОЕННОЙ ПОДГОТОВКИ доц. Хизов А.В. 438 (УК 2),"лек. ФИНАНСОВЫЙ МЕНЕДЖМЕНТ НА ПРЕДПРИЯТИИ
доц. Котар О.К. 257",,,
,,,,,,
,17.00-18.30,,"лек. УПРАВЛЕНИЕ ВЭД
доц. Пшенцова А.И. 255",,,
"г
р
е
в
т
е
Ч",8.30-10.00,,,,,
,10.10-11.40,лек. ФИНАНСОВЫЕ РЫНКИ доц. Новоселова С.А. 241 / 247,,,,
,12.00-13.30,"лек. ЭКОНОМ. ЭФФЕКТ. ПРОЕКТНОЙ ДЕЯТЕЛЬНОСТИ ПРЕДПР. АПК
доц. Власова О.В. 255",,,,
,13.40-15.10,"пр.з. Экономическая эффект. проектной деятельности Ледяев Т.Б., Амангалиева Г.Е. 255","пр.з. Управление ВЭД
Широкова Е.Д. 316",,,
,,пр.з. Финансовые рынки Новоселова С.А. 232,,,,
,15.20-16.50,пр.з. Финансовые рынки Новоселова С.А. 230,лек. ИНВЕСТИЦИОННЫЙ МЕНЕДЖМЕНТ В АПК доц. Ледяев Т.Б. 316,,,
,,,,,,
"а
ц
и
н
т
я
П",8.30-10.00,,,,,
,10.10-11.40,,,,,
,,,"лек. ДИ ""БИЗНЕСКУРС:КОРПОРАЦИЯ ПЛЮС"" доц. Ледяев Т.Б. 343",,,
,12.00-13.30,"пр. з. Контроль и ревизия
Новикова Н.А. 134 к","пр. з. Бизнес-планирование Ледяев Т.Б., Северионова И.С. 314",,,
,,,пр.з. Управление ВЭД Широкова Е.Д. 314,,,
,13.40-15.10,"лек. АУДИТ
ст.пр. Шаронова Е.В. 241","пр. з. Бизнес-планирование
Ледяев Т.Б., Северионова И.С. 324",,,
,15.20-16.50,"пр.з. Аудит
Павлик А.С., Шаронова Е.В. 241",,,,
"а
т
о
б
б
у
С",8.30-10.00,"пр.з. Основы военной подготовки
Билыч А.А. 427 (УК 2)",,,,
,10.10-11.40,"пр.з. Основы военной подготовки
Билыч А.А. 427 (УК 2)",,,,
,,,,,,
,,,,,,
