"Расписание занятий
для студентов 2 курса 2025-2026 учебного года.
Институт генетики и агрономии",column_1,column_2,column_3
Дни,Часы,Б-ЗиК-21,Б-ЗиК-22
"а
т
р
а
м
6
1
к
и
н
ь
л
е
д
е
н
о
П",8.30-10.00,,
,10.10-11.40,"лек. ИНЖЕНЕРНАЯ ГРАФИКА И ТОПОГРАФИЧЕСКОЕ ЧЕРЧЕНИЕ
доц. Перетятько А. В. УК№2 ауд. 315",
,12.00-13.30,"лек. ИНЖЕНЕРНАЯ ГРАФИКА И ТОПОГРАФИЧЕСКОЕ ЧЕРЧЕНИЕ
доц. Перетятько А. В. УК№2 ауд. 315",
,13.40-15.10,"лек. ИСТОРИЯ РОССИИ
проф. Шалаева Н. В. ауд. 422",
,15.20-16.50,"лек. ИСТОРИЯ РОССИИ
проф. Шалаева Н. В. ауд. 422",
,17.00-18.30,,
"а
т
р
а
м
7
1
к
и
н
р
о
т
В",8.30-10.00,,
,10.10-11.40,"лек. ГЕОДЕЗИЧЕСКОЕ ОБЕСПЕЧЕНИЕ КАДАСТРОВЫХ РАБОТ ПРИ ФОРМИРОВАНИИ ОБЪЕКТОВ
НЕДВИЖИМОСТИ доц. Андрющенко В. Ю. ауд. 1003",
,12.00-13.30,"лек. ГЕОДЕЗИЧЕСКОЕ ОБЕСПЕЧЕНИЕ КАДАСТРОВЫХ РАБОТ ПРИ ФОРМИРОВАНИИ ОБЪЕКТОВ
НЕДВИЖИМОСТИ доц. Андрющенко В. Ю. ауд. 1003",
,13.40-15.10,"лек. ТЕХНИЧЕСКАЯ ИНВЕНТАРИЗАЦИЯ ОБЪЕКТОВ НЕДВИЖИМОСТИ
доц. Гагина И. С. ауд. 1003",
,15.20-16.50,"лек. ТЕХНИЧЕСКАЯ ИНВЕНТАРИЗАЦИЯ ОБЪЕКТОВ НЕДВИЖИМОСТИ
доц. Гагина И. С. ауд. 1003",
,17.00-18.30,,
,18.40-20.10,,
"а
т
р
а
м
8
1
а
д
е
р
С",8.30-10.00,,
,10.10-11.40,"лек. ИСТОРИЯ РОССИИ
проф. Шалаева Н. В. ауд. 422",
,12.00-13.30,"лек. ИСТОРИЯ РОССИИ
проф. Шалаева Н. В. ауд. 422",
,13.40-15.10,"лек. ИСТОРИЯ РОССИИ
проф. Шалаева Н. В. ауд. 432",
,15.20-16.50,"лек. ТЕХНИЧЕСКАЯ ИНВЕНТАРИЗАЦИЯ ОБЪЕКТОВ НЕДВИЖИМОСТИ
доц. Гагина И. С. ауд. 1003",
,17.00-18.30,,
"а
т
р
а
м
9
1
г
р
е
в
т
е
Ч",8.30-10.00,,
,10.10-11.40,,
,12.00-13.30,,
,13.40-15.10,"лек. ИНЖЕНЕРНАЯ ФИЗИКА
доц. Жиздюк А. А. УК№2 ауд. 253",
,15.20-16.50,"лек. СПЕЦИАЛЬНАЯ ПЕДАГОГИКА И СПЕЦИАЛЬНАЯ ПСИХОЛОГИЯ
УК№2 ауд. 248",
,17.00-18.30,"лек. СПЕЦИАЛЬНАЯ ПЕДАГОГИКА И СПЕЦИАЛЬНАЯ ПСИХОЛОГИЯ
УК№2 ауд. 402",
,18.40-20.10,"лек. ИСТОРИЯ РОССИИ
проф. Шалаева Н. В. ауд. 253",
"а
т
р
а
м
0
2
а
ц
и
н
т
я
П",8.30-10.00,,
,10.10-11.40,"с 10:10 ЗАЧЁТ Основы российской государственности
доц. Антипова Е. А. УК№2 ауд. 249","пр. з. Инженерная физика
доц. Везиров А. О. УК№2 ауд. 240"
,12.00-13.30,"пр. з. Прикладная математика в землеустройстве
и кадастрах доц. Чумакова С. В. ауд. 535","с 12:00 ЗАЧЁТ Основы российской государственности
доц. Антипова Е. А. УК№2 ауд. 249"
,13.40-15.10,"пр. з. Иностранный язык
ст. п. Раздобарова М. Н., ст. п. Бормосова Н. Е. ауд. 450, 448","пр. з. Техническая инвентаризация объектов недвиж.
ст. п. Боброва Ю. И. ауд. 1008"
,15.20-16.50,"пр. з. Иностранный язык
ст. п. Раздобарова М. Н., ст. п. Бормосова Н. Е. ауд. 450, 448","пр. з. Техническая инвентаризация объектов недвиж.
ст. п. Боброва Ю. И. ауд. 1008"
,17.00-18.30,,
"а
т
р
а
м
1
2
а
т
о
б
б
у
С",8.30-10.00,"пр.з.Инженерная графика и топографическое черчение
доц. Перетятько А. В. УК№2 ауд. 315","пр. з. История России
проф. Шалаева Н. В. УК№2 ауд. 307"
,10.10-11.40,"пр.з.Инженерная графика и топографическое черчение
доц. Перетятько А. В. УК№2 ауд. 315","пр. з. История России
проф. Шалаева Н. В. УК№2 ауд. 307"
,12.00-13.30,"пр. з. История России
проф. Шалаева Н. В. УК№2 ауд. 307","пр.з.Инженерная графика и топографическое черчение
доц. Леонтьев А. А. УК№2 ауд. 313"
,13.40-15.10,"пр. з. История России
проф. Шалаева Н. В. УК№2 ауд. 307","пр.з.Инженерная графика и топографическое черчение
доц. Леонтьев А. А. УК№2 ауд. 313"
,15.20-16.50,,
,,,
