column_0,column_1,column_2,column_3
,,,
"Расписание занятий на 2 семестр 2025-2026 учебного года
институт генетики и агрономии 2 курс
а и",,,
"т
а
Д","н
Д",Часы,Б-А-21
"а
т
р
а
м
6
1","к
и
н
ь
л
е
д
е
н
о
П",8.30-10.00,"пр. з. Иностранный язык
ст. п. Садовникова Е. В., ст. п. Бормосова Н. Е. УК№2 ауд. 511, 512"
,,10.10-11.40,"пр. з. Иностранный язык
ст. п. Садовникова Е. В., ст. п. Бормосова Н. Е. УК№2 ауд. 511, 512"
,,12.00-13.30,ПЕРЕХОД
,,13.40-15.10,"лек. ИСТОРИЯ РОССИИ
проф. Шалаева Н. В. ауд. 422"
,,15.20-16.50,"лек. ИСТОРИЯ РОССИИ
проф. Шалаева Н. В. ауд. 422"
,,17.00-18.30,
"а
т
р
а
м
7
1","к
и
н
р
о
т
В",8.30-10.00,
,,10.10-11.40,
,,12.00-13.30,"лек. СТАТИСТИЧЕСКИЕ МЕТОДЫ ОБРАБОТКИ ДАННЫХ В АГРОНОМИИ
доц. Пахомова Т. В. ауд. 242"
,,13.40-15.10,"пр. з. Психология работы в малых группах
доц. Щербакова Н. А. ауд. 242"
,,15.20-16.50,"лаб.з. Земледелие
доц. Линьков А. С., доц. Сураев Д. В. ауд. 608"
,,17.00-18.30,"лаб.з. Земледелие
доц. Линьков А. С., доц. Сураев Д. В. ауд. 608"
"а
т
р
а
м
8
1","а
д
е
р
С",8.30-10.00,
,,10.10-11.40,"лек. ИСТОРИЯ РОССИИ
проф. Шалаева Н. В. ауд. 422"
,,12.00-13.30,"лек. ИСТОРИЯ РОССИИ
проф. Шалаева Н. В. ауд. 422"
,,13.40-15.10,"лек. ИСТОРИЯ РОССИИ
проф. Шалаева Н. В. ауд. 432"
,,15.20-16.50,"пр. з. Психология работы в малых группах
доц. Щербакова Н. А. ауд. 432"
,,17.00-18.30,
,,18.40-20.10,
"а
т
р
а
м
9
1","г
р
е
в
т
е
Ч",8.30-10.00,
,,10.10-11.40,
,,12.00-13.30,
,,13.40-15.10,"лек. ХИМИЯ
доц. Величко Н. С. ауд. 349"
,,15.20-16.50,"пр. з. Статистические методы обработки данных в агрономии
доц. Пахомова Т. В. ауд. 247"
,,17.00-18.30,"пр. з. Статистические методы обработки данных в агрономии
доц. Пахомова Т. В. ауд. 247"
,,18.40-20.10,"лек. ИСТОРИЯ РОССИИ
проф. Шалаева Н. В. ауд. 253"
"а
т
р
а
м
0
2","а
ц
и
н
т
я
П",8.30-10.00,
,,10.10-11.40,
,,12.00-13.30,
,,13.40-15.10,"лек. СОЦИОЛОГИЯ
проф. Дудникова Е. Б. ауд. 294"
,,15.20-16.50,"лек. СОЦИОЛОГИЯ
проф. Дудникова Е. Б. ауд. 294"
,,17.00-18.30,"пр. з. Социология
проф. Дудникова Е. Б. ауд. 294"
,,18.40-20.10,"пр. з. Социология
проф. Дудникова Е. Б. ауд. 294"
"а
т
р
а
м
1
2","а
т
о
б
б
у
С",8.30-10.00,"лаб.з. Земледелие
доц. Линьков А. С., доц. Сураев Д. В. ауд. 608"
,,10.10-11.40,"лаб.з. Земледелие
доц. Линьков А. С., доц. Сураев Д. В. ауд. 608"
,,12.00-13.30,"лек. ФИЗИОЛОГИЯ И БИОХИМИЯ РАСТЕНИЙ
доц. Шевченко Е. Н. ауд. 338"
,,13.40-15.10,"лек. ФИЗИОЛОГИЯ И БИОХИМИЯ РАСТЕНИЙ
доц. Шевченко Е. Н. ауд. 338"
,,,
