column_0,column_1,column_2,column_3
,,,
"Расписание занятий на 2 семестр 2025-2026 учебного года
институт агробизнеса 2 курс
т а и",,,
"а
Д","н
Д",Часы,М-Э-21
"а
т
р
а
м
6
1","к
и
н
ь
л
е
д
е
н
о
П",8.30-10.00,
,,10.10-11.40,"лек. БУХГАЛТЕРСКИЙ УЧЁТ, АНАЛИЗ И АУДИТ ВЭД
доц. Лысова Т. А. ауд. 232"
,,12.00-13.30,"лек. БУХГАЛТЕРСКИЙ УЧЁТ, АНАЛИЗ И АУДИТ ВЭД
доц. Лысова Т. А. ауд. 230"
,,13.40-15.10,"пр. з. Экономический анализ (продвинутый уровень)
доц. Шарикова И. В., асс. Кувшинова Е. А. ауд. 230"
,,15.20-16.50,"пр. з. Экономический анализ (продвинутый уровень)
доц. Шарикова И. В., асс. Кувшинова Е. А. ауд. 230"
,,17.00-18.30,
"а
т
р
а
м
7
1","к
и
н
р
о
т
В",8.30-10.00,
,,10.10-11.40,
,,12.00-13.30,
,,13.40-15.10,
,,15.20-16.50,"пр. з. Международные стандарты финансового учёта и отчётности
доц. Лысова Т. А. ауд. 134"
,,17.00-18.30,"ЗАЧЕТ Международные стандарты финансового учёта и отчётности
доц. Лысова Т. А. ауд. 134"
"а
т
р
а
м
8
1","а
д
е
р
С",8.30-10.00,
,,10.10-11.40,
,,12.00-13.30,"лек. УЧЕТ И АНАЛИЗ ИНВЕСТИЦИЙ
доц. Лысова Т. А. ауд. 341"
,,13.40-15.10,"пр. з. Бухгалтерские компьютерные программы
ст. п. Шаронова Е. В. ауд. 134 к"
,,15.20-16.50,"пр. з. Бухгалтерские компьютерные программы
ст. п. Шаронова Е. В. ауд. 134 к"
,,17.00-18.30,
"а
т
р
а
м
9
1","г
р
е
в
т
е
Ч",8.30-10.00,
,,10.10-11.40,"пр. з. Бухгалтерский учёт, анализ и аудит внешнеэкономической деятельности
доц. Лысова Т. А. ауд. 134"
,,12.00-13.30,"пр. з. Бухгалтерский учёт, анализ и аудит внешнеэкономической деятельности
доц. Лысова Т. А. ауд. 134"
,,13.40-15.10,
,,15.20-16.50,
,,17.00-18.30,
"а
т
р
а
м
0
2","а
ц
и
н
т
я
П",8.30-10.00,"пр. з. Бухгалтерский учёт, анализ и аудит внешнеэкономической деятельности
доц. Лысова Т. А. ауд. 134"
,,10.10-11.40,"ЗАЧЕТ Бухгалтерский учёт, анализ и аудит внешнеэкономической деятельности
доц. Лысова Т. А. ауд. 134"
,,12.00-13.30,
,,13.40-15.10,
,,15.20-16.50,
,,17.00-18.30,
"а
т
р
а
м
1
2","а
т
о
б
б
у
С",8.30-10.00,
,,10.10-11.40,
,,12.00-13.30,
,,13.40-15.10,
,,,
