"Расписание занятий
на 2 семестр 2025-2026 учебного года
институт агробизнеса 2 курс",column_1,column_2,column_3
Дни,Часы,Б-Мв-201 12.01.2026,Б-ТДв-201 02.02.2026
"к
и
н
ь
л
е
д
е
н
о
П
к
и
н
р
о
т
В",8.30-10.00,,
,10.10-11.40,,
,,лек. ОРГАНИЗАЦИОННОЕ ПОВЕДЕНИЕ доц. Ледяев Т.Б. 324,лек. АНАЛИЗ ОТРАСЛЕВЫХ РЫНКОВ доц. Потоцкая Л.Н. 243
,12.00-13.30,"пр.з. Мировая экономика и МЭО
Широкова Е.Д. 324",
,,,пр.з. Анализ отраслевых рынков Потоцкая Л.Н. 243
,13.40-15.10,лек. МИРОВАЯ ЭКОНОМИКА И МЭО доц. Пшенцова А.И. 255,
,15.20-16.50,"пр.з. Организационное поведение
Богомолов Д.К. 343",
,8.30-10.00,,
,10.10-11.40,,лек. ЭЛЕКТРОННАЯ КОММЕРЦИЯ В АПК доц. Хасаншина А.Р. 343
,,,пр.з. Статистика Пахомова Т.В. 230
,12.00-13.30,,лек. ПРАВОВЕДЕНИЕ доц.Корышева М.В. 345
,,лек. ПРАВОВЕДЕНИЕ доц.Корышева М.В. 345,лек. ТОВАРОВЕД. И СТАНДАРТ. С.-Х. СЫРЬЯ доц. Ледяев Т.Б. 316
,13.40-15.10,"пр. з. Правоведение
Корышева М.В. 345",пр.з. Электронная коммерция в АПК Хасаншина А.Р. 324
,,,пр.з. Товароведение и стандартизация с.-х. сырья Ледяев Т.Б. 324
,15.20-16.50,"пр.з. Логистический менеджмент в агробизнесе
Наянов, Северионова И.С. 316",лек. СТАТИСТИКА доц. Ткачев С.И. 230
,,,
"а
д
е
р
С",8.30-10.00,,
,10.10-11.40,,"пр.з. Организация и проведение деловых переговоров
доц. Власова О.В. 255"
,12.00-13.30,"лек. ФИНАНСЫ, ДЕНЕЖНОЕ ОБРАЩЕНИЕ И КРЕДИТ доц. Новикова Н.А. 232","пр. з. Правоведение
Корышева М.В. 410"
,,"пр.з. Финансы, денежное обращение и кредит Новикова Н.А. 232",
,13.40-15.10,лек. СТАТИСТИКА доц. Ткачев С.И. 230,"пр.з. Социология
Булгаков С.В. 253"
,,пр.з. Статистика Ткачев С.И. 230,
,15.20-16.50,"пр.з. Деловые коммуникации в менеджменте
Петров К.А. 343",
,17.00-18.30,,
"г
р
е
в
т
е
Ч",8.30-10.00,,
,10.10-11.40,,
,12.00-13.30,,лек. СОЦ.ИССЛЕДОВАНИЯ В МАРКЕТИНГЕ доц. Булгаков С.В. 253
,,,пр.з. Соц. исследования в маркетинге Булгаков С.В. 253
,13.40-15.10,,пр.з. Статистика Пахомова Т.В. 134 к
,,,лек. СОЦИОЛОГИЯ доц. Булгаков С.В. 253
,15.20-16.50,,
"а
ц
и
н
т
я
П",8.30-10.00,,
,10.10-11.40,,
"а
т
о
б
б
у
С",8.30-10.00,,
,10.10-11.40,,
,,,
