"Расписание занятий
на 2 семестр 2025-2026 учебного года.
Институт ветеринарной медицины и фармации",column_1,column_2,column_3
Дни,Часы,ВТ-21,ВТ-22
6,08.30-10.00,,
202.30,10.10-11.40,"ЭКЗАМЕН Философия
доц. Поздникин А.А. ауд. С-413","лаб.з. Физика
доц. Рябцева Т.Г., асс. Лузина М.С. ауд. 326, 330"
".61
киньле",12.00-13.30,"пр.з. Иностранный язык
Иванова Л.М. ауд. С-404, Солотова Н.В. ауд. С-406","пр.з. Философия
доц. Поздникин А.А. ауд. С-413"
,13.40-15.10,"лек. БИОЛОГИЧЕСКАЯ ХИМИЯ
проф. Древко Б.И. ауд. 339",
деноП,15.20-16.50,"лаб.з. Разведение животных
доц. Преображенская Т.С. 439","ЭКЗАМЕН Философия
доц. Поздникин А.А. ауд. С-413"
,,,
,17.00-18.30,,
6202,08.30-10.00,,
,10.10-11.40,"лек. РАЗВЕДЕНИЕ ЖИВОТНЫХ С ОСНОВАМИ ЧАСТНОЙ ЗООТЕХНИКИ
доц. Преображенская Т.С. ауд. Малая",
.30.71,12.00-13.30,"ЭКЗАМЕН Иностранный язык
Иванова Л.М. ауд. С-404, Солотова Н.В. ауд. С-406","лаб.з.Ветерин. микробиология и микология
Кичемазова Н.В. ауд. 532"
кинр,13.40-15.10,"пр.з. История России
доц. Гижов В.А. ауд. С-413","ЭКЗАМЕН Иностранный язык
Иванова Л.М. ауд. С-404, Солотова Н.В. ауд. С-406"
отВ,15.20-16.50,"лаб.з. Физиология и этология животных
проф.Пудовкин Н.А., доц.Клюкин С.Д. ауд.С-268,С- 265","пр.з. Ветеринарная генетика
доц. Преображенская Т.С. ауд. 410"
,17.00-18.30,,
,08.30-10.00,,
,,лаб.з.Ветерин. микробиология и микология,лаб.з. Физиология и этология животных
620,10.10-11.40,ст.преп. Кичемазова Н.В. ауд. 532,"проф.Пудовкин Н.А., доц.Клюкин С.Д. ауд.С-268,С- 265"
2.30.8,12.00-13.30,"лек. БИОЛОГИЧЕСКАЯ ХИМИЯ
проф. Древко Б.И. ауд.",
"1
адерС",13.40-15.10,"пр.з. История России
доц. Гижов В.А. ауд. С-208","лаб.з. Физика
доц. Рябцева Т.Г., асс. Лузина М.С. ауд. 326, 330"
,15.20-16.50,"ЭКЗАМЕН История России
доц. Гижов В.А. ауд. С-208","лаб.з. Физика
доц. Рябцева Т.Г., асс. Лузина М.С. ауд. 326, 330"
,17.00-18.30,,
6202.30,08.30-10.00,,
,10.10-11.40,"лаб.з. Физиология и этология животных
проф.Пудовкин Н.А., доц.Клюкин С.Д. ауд.С-268,С- 265","ЭКЗАМЕН Ветеринарная генетика
доц. Преображенская Т.С. ауд. 439"
,,лаб.з. Физиология и этология животных,лаб.з.Ветерин. микробиология и микология
.91,12.00-13.30,"проф.Пудовкин Н.А., доц.Клюкин С.Д. ауд.С-268,С- 265",ст.преп. Кичемазова Н.В. ауд. 532
гр,,лаб.з.Ветерин. микробиология и микология,ЗАЧЕТ Ветеринарн. микробиология и микология
евт,13.40-15.10,ст.преп. Кичемазова Н.В. ауд. 533,доц. Иващенко С.В. ауд. 339
еЧ,15.20-16.50,"ЗАЧЕТ Ветеринарн. микробиология и микология
доц. Иващенко С.В. ауд. 339","лаб.з. Физиология и этология животных
проф.Пудовкин Н.А., доц.Клюкин С.Д. ауд.С-268,С- 265"
,17.00-18.30,,
,08.30-10.00,,"ЭКЗАМЕН Физика
доц. Рябцева Т.Г. ауд. 330"
6202.,10.10-11.40,,"лаб.з. Биологическая химия
ст.преп. Кичемазова Н.В. ауд. 533"
30.02,12.00-13.30,"лек. БИОЛОГИЧЕСКАЯ ХИМИЯ
проф. Древко Б.И. ауд. 339",
ацинтяП,13.40-15.10,"ЭКЗАМЕН Физиология и этология животных
проф. Пудовкин Н.А. ауд.С-123",
,15.20-16.50,"лаб.з. Разведение животных
доц. Преображенская Т.С. 439",
,17.00-18.30,,
"6202.30.12
атоббуС",08.30-10.00,,ЭКЗАМЕН Гигиена животных
,,,Кузнецов М.Ю. ауд.434
,10.10-11.40,ЭКЗАМЕН Гигиена животных,"лаб.з. Биологическая химия
ст.преп. Кичемазова Н.В. ауд. 533"
,,Кузнецов М.Ю. ауд.434,
,12.00-13.30,"лаб.з. Биологическая химия
доц. Исайчева Л.А. ауд. 532","лаб.з. Биологическая химия
ст.преп. Кичемазова Н.В. ауд. 533"
,13.40-15.10,"лаб.з. Биологическая химия
доц. Исайчева Л.А. ауд. 532","лаб.з. Биологическая химия
ст.преп. Кичемазова Н.В. ауд. 533"
,15.20-16.50,,
