"Расписание занятий
на 2 семестр 2025-2026 учебного года
институт генетики и агрономии 1 курс",column_1,column_2,column_3,column_4
Дни,Часы,Б-А-ЗР-101 26.01.2026,Б-А-СС-102 26.01.2026,Б-АиА-101 19.01.2026
"к
и
н
ь
л
е
д
е
н
о
П",8.30-10.00,"пр.з. Общая физическая подготовка
Пяткина Н.А.","пр.з. Общая физическая подготовка
Наумова М.А.","пр.з. Общая физическая подготовка
Кузьмин А.М."
,10.10-11.40,лек. ХИМИЯ ХИМИЯ доц. Логачева Е.А. 432,,"лаб.з. Химия аналитическая
Романова Л.Р., Величко Н.С. 347, 349"
,12.00-13.30,"лаб.з. Химия
Логачева Е.А., Романова Л.Р. 347, 349","лаб.з. Ботаника
Гулина Е.В., Морозова Е.Е. 329, 334","пр.з. Иностранный язык
Раздобарова М.Н., Бормосова Н.Е. 452, 448"
,13.40-15.10,"лаб.з. Ботаника
Гулина Е.В., Морозова Е.Е. 329, 334","лаб.з. Тех. обеспечение с-х.
Сураев Д.В., Линьков А.С. 135, 133","лек. ХИМИЯ АНАЛИТИЧЕСКАЯ
доц. Логачева Е.А. 349"
,15.20-16.50,,,
"к
и
н
р
о
т
В",8.30-10.00,,,
,10.10-11.40,,"лаб.з. Химия
Логачева, Е.А., Романова Л.Р. 347, 349","пр.з. История России
Соколов-Брехунцов М.А. 135"
,,"лаб.з. Агрометеорология Молчанова Н.П., Полетаев И.С. 610, 608",,
,12.00-13.30,лек. ЭКОЛОГИЯ ЭКОЛОГИЯ доц. Пономарева А.Л. 432,,"лаб.з. Агрометеорология Молчанова Н.П., Линьков А.С. 610, 608"
,,лек. АГРОМЕТЕОРОЛОГИЯ АГРОМЕТЕОРОЛОГИЯ АГРОМЕТЕОРОЛОГИЯ доц. Молчанова Н.П. 251,,
,13.40-15.10,"пр.з. Экология
Пономарева А.Л. 338","лаб.з. Агрометеорология Молчанова Н.П., Полетаев И.С. 610, 608","пр.з. Иностранный язык Раздобарова М.Н. 452, Бормосова Н.Е. 450"
,,,"пр.з. Иностранный язык Раздобарова М.Н. 452 , Бормосова Н.Е. 450","лаб.з. Общее почвоведение Летучий А.В., Губов В.И. 341, 351"
,15.20-16.50,,"пр. з. Экология
Пономарева А.Л. 338",
,,2-я подгруппа пр.з. Иностранный язык Балашова Д.Ю. 450,,
"а
д
е
р
С",8.30-10.00,"пр.з. Общая физическая подготовка
Пяткина Н.А.","пр.з. Общая физическая подготовка
Наумова М.А.","пр.з. Общая физическая подготовка
Кузьмин А.М."
,10.10-11.40,лек. ЗЕМЛЕУСТРОЙСТВО ЗЕМЛЕУСТРОЙСТВО доц. Царенко А.А. 1003,,"лаб.з. Тех.обеспечение с-х. Сураев Д.В., Линьков А.С. 135, 133"
,,лек. ТЕХНИЧЕСКОЕ ОБЕСПЕЧЕНИЕ СЕЛЬСКОГО ХОЗЯЙСТВА доц. Сураев Д.В. 251,,
,12.00-13.30,лек. ПОЧВОВЕДЕНИЕ С ОСНОВАМИ ГЕОЛОГИИ доц. Летучий А.В. 251,,"лаб.з. Ботаника
Гулина Е.В., Петрова Н.А. 334, 329"
,13.40-15.10,Кураторский час,Кураторский час,Кураторский час
,15.20-16.50,,,
"г
р
е
в
т
е
Ч",8.30-10.00,"1-я подгруппа пр.з. Иностранный язык
Раздобарова М.Н. 452","пр.з. Иностранный язык
Бормосова Н.Е. 450",лек. ЭКОЛОГИЯ доц. Пономарева А.Л. 329
,,,,ГЕОДЕЗИЯ С ОСН. ЗЕМЛЕУСТРОЙСТВА доц. Новиков В.Т. 533
,10.10-11.40,"лаб.з. Техническое обеспечение с-х.
Сураев Д.В. , Линьков А.С. 135, 133","пр.з. История России
Слижевская М.Р. 345","лек. ОБЩЕЕ ПОЧВОВЕДЕНИЕ
доц. Губов В.И. 341"
,12.00-13.30,"пр.з. История россии
Слижевская М.Р. 345","лаб.з. Почвоведение
Полетаев И.С., Губов В.И. 341, 351","пр. з. Экология
Пономарева А.Л. 338"
,13.40-15.10,лек. БОТАНИКА БОТАНИКА БОТАНИКА БОТАНИКА доц. Шевченко Е.Н. 432,,
,,лек. ИСТОРИЯ РОССИИ ИСТОРИЯ РОССИИ ИСТОРИЯ РОССИИ доц. Котельников В.А. 251,,
,15.20-16.50,"2-я подгруппа пр.з. Иностранный язык
Балашова Д.Ю. 452",,
"а
ц
и
н
т
я
П",8.30-10.00,"лаб.з. Почвоведение Летучий А.В., Гераскина А.А. 341, 351","лаб.з. Землеустройство Царенко А.А., Иовлева А.А. 1009, 1008",
,,1-я подгруппа пр.з. Иностранный язык Раздобарова М.Н. 452,,"лаб.з. Геодезия Новиков В.Т., Дормидонтова Н.В. 1009, 1008"
,10.10-11.40,"лаб.з. Почвоведение Летучий А.В., Гераскина А.А. 341, 351",пр.з. Иностранный язык Раздобарова М.Н. 452,
,,"лаб.з. Землеустройство Дормидонтова Н. В., Иовлева А.А. 1009, 1008","лаб.з. Микробиология Банникова А.В., Горшунова С.В. 308, 500 (УК №3)","лаб.з. Тех. обеспечение с-х. Сураев Д.В., Линьков А.С. 135, 133"
,12.00-13.30,(переход на УК 3),пр.з. Иностранный язык Раздобарова М.Н. 452,"лаб.з. Микробиология Банникова А.В., Горшунова С.В. 308, 500 (УК №3)"
,,,"лаб.з. Микробиология Банникова А.В., Горшунова С.В. 308, 500 (УК №3)",(переход на УК 3)
,13.40-15.10,,,"лаб.з. Микробиология Банникова А.В., Горшунова С.В. 308, 500 (УК №3)"
,,лек. МИКРОБИОЛОГИЯ МИКРОБИОЛОГИЯ МИКРОБИОЛОГИЯ МИКРОБИОЛОГИЯ проф. Карпунина Л.В. (УК 3) 528,,
,15.20-16.50,"лаб.з. Микробиология
Банникова А.В., Горшунова С.В. 231, 500 (УК №3)",,
"а
т
о
б
б
у
С",8.30-10.00,,,
,10.10-11.40,,,
,12.00-13.30,,,
,,,,
