"Расписание занятий
на 2 семестр 2025-2026 учебного года
институт генетики и агрономии 1 курс",column_1,column_2
"и
н
Д",Часы,М-ЗиК-УЗК-101 26.01.2026
"к
и
н
ь
л
е
д
е
н
о
П",8.30-10.00,
,10.10-11.40,
,,лек. ПЛАН. И ОРГАНИЗАЦИЯ ЗЕМЛЕУСТРОИТЕЛЬНЫХ И КАДАСТРОВЫХ РАБОТ доц. Гагина И.С. 535
,12.00-13.30,"пр.з. Геодезическое и картогрофическое обеспечение кадастровых и землеустроительных работ
Гагина И.С. 1004"
,13.40-15.10,пр.з. Экономика и управление земельно-имущественным комплексом Потоцкая Л.Н. 1004
,,лек. ЭКОНОМИКА И УПР. ЗЕМ.-ИМУЩ. КОМПЛЕКСОМ доц. Потоцкая Л.Н. 1004
,15.20-16.50,
"к
и
н
р
о
т
В",8.30-10.00,
,10.10-11.40,"пр.з. Основы управления развитием земельных участков
Трухина Е.Н. 533"
,12.00-13.30,лек. ОСНОВЫ УПРАВЛЕНИЯ РАЗВИТИЕМ ЗЕМЕЛЬНЫХ УЧАСТКОВ доц. Трухина Е.Н. 533
,,пр.з. СОВРЕМЕННЫЕ ТЕХНОЛ. МОНИТОРИНГА ОН доц. Новиков В.Т. 533
,13.40-15.10,"пр.з. Современные технология мониторинга объектов недвижимости
Новиков В.Т. 531"
,15.20-16.50,
"а
д
е
р
С",8.30-10.00,
,10.10-11.40,
,12.00-13.30,
,13.40-15.10,"пр.з. Современные проблеы развития земельно-имущественного комплекса
Трухина Е.Н. 531"
,15.20-16.50,"пр.з. Планирование и организация землеустроительных и кадастровых работ
Лушина Р.П. 530"
,17.00-18.30,
"г
р
е
в
т
е
Ч",8.30-10.00,
,10.10-11.40,
,12.00-13.30,пр.з. Ор. проектной и науч. деят.в землеустройстве и кадастрах Трухина Е.Н. 531
,,
,13.40-15.10,лек. ПЛАН. И УПРАВЛ. ЗЕМЕЛЬНЫМИ РЕСУРСАМИ доц. Янюк В.М. 531
,,лек. ОРГ. ПРОЕКТНОЙ И НАУЧ. ДЕЯТЕЛЬНОСТИ проф. Тарасенко П.В. 531
,15.20-16.50,"пр.з. Планирование и управление земльными ресурсами
Янюк В.М. 530"
"а
ц
и
н
т
я
П",8.30-10.00,
,10.10-11.40,
,12.00-13.30,
,13.40-15.10,
"а
т
о
б
б
у
С",8.30-10.00,
,10.10-11.40,
,,
