"Расписание занятий
на 2 семестр 2025-2026 учебного года
институт генетики и агрономии 4 курс",column_1,column_2,column_3
Дни,Часы,Б-ЗК-УН-401 26.01.2026,Б-ЗК-ГИ-402 26.01.2026
"к
и
н
ь
л
де
не
о
П",8.30-10.00,"пр.з. Региональное землеустройство
Тарасенко П.В., Иовлева А.А. 807",
,,,лек. ЭКОЛОГО-ГЕОГРАФИЧЕСКОЕ КАРТОГРАФИРОВАНИЕ В ГИС доц. Царенко А.А. 1004
,10.10-11.40,лек. ЭКОНОМИКА ЗЕМЛЕУСТРОЙСТВА И КАДАСТОВ доц. Потоцкая Л.Г. 314,
,,"лаб. Планир. и прогноз. использования земельных ресурсов Иовлева, Новиков 1009, 1008",лек. ЭКОЛОГО-ГЕОГРАФИЧЕСКОЕ КАРТОГРАФИРОВАНИЕ В ГИС доц. Царенко А.А. 1004
,12.00-13.30,"пр.з. Региональное землеустройство
Тарасенко П.В., Тарбаев В.А. 531, 1003","лек. ГИС В ТЕРРИТОРИАЛЬНОМ ПЛАНИРОВАНИИ
доц. Пушкина Е.Г. 530"
,13.40-15.10,"лек. РЕГИОНАЛЬНОЕ ЗЕМЛЕУСТРОЙСТВО
проф. Тарасенко П.В. 1003","пр.з. ГИС в территориальном планировании
Пушкина Е.Г. 530"
"к
и
н
р
о
т
В",8.30-10.00,,"лек. ЦИФРОВАЯ КАРТОГРАФИЯ
доц. Пушкина Е.Г. 807"
,10.10-11.40,"пр. Кадастровая оценка объектов недвижимости
Янюк В.М. , Лушина Р.П. 530, 531","пр.з. Цифровая картография
Пушкина Е.Г. 807"
,12.00-13.30,"лек. КАДАСТРОВАЯ ОЦЕНКА ОБЪЕКТОВ НЕДВИЖИМОСТИ
проф. Янюк В.М. 531",
,13.40-15.10,"лек. УПРАВЛЕНИЕ ЗЕМЕЛЬНЫМИ РЕСУРСАМИ И ОБЪЕКТАМИ НЕДВИЖИМОСТИ
доц. Трухина Е.Н. 535",
,15.20-16.50,,
"а
д
ре
С",8.30-10.00,,
,,,пр.з. Эколого-географичесое картографирование в ГИС Царенко А.А. 1009
,10.10-11.40,"пр. з. Управление земельными ресурсами и объектами недвижимости
Иовлева А.А. 533",пр.з. Цифровая картография Пушкина Е.Г. 531
,,,пр.з. Эколого-географичесое картографирование в ГИС Царенко А.А. 1009
,12.00-13.30,"пр. з. Экономика землеустройства и кадастров
Белов Д.С. 533",
,13.40-15.10,"пр.з. Общая физическая подготовка
Фролова Л.В.","пр.з. Общая физическая подготовка
Пяткина Н.А."
,15.20-16.50,,
"рг
ве
т
Че",8.30-10.00,,пр.з. Проектирование земельно-информационных систем Туктаров Р.Б. 535
,,,лек. ПРОЕКТИРОВАНИЕ ЗЕМЕЛЬНО-ИНФОРМАЦИОННЫХ СИСТЕМ доц. Туктаров Р.Б. 535
,10.10-11.40,"лаб. Планирование и прогнозирование использования земельных ресурсов
Иовлева А.А., Новиков В.Т. 1009, 1004","пр.з. Проектирование земельно-информационных систем
Туктаров Р.Б. 535"
,12.00-13.30,"пр. Кадастровая оценка объектов недвижимости
Янюк В.М., Лушина Р.П. 807","пр. з. Экономика землеустройства и кадастров
Белов Д.С. 533"
,13.40-15.10,пр. з. Управление земельными ресурсами и объектами недвижимости Иовлева А.А. 533,
,,пр.з. Общая физическая подготовка Фролова Л.В.,пр.з. Общая физическая подготовка Пяткина Н.А.
,15.20-16.50,,
"а
ц
и
н
т
я
П",8.30-10.00,,пр.з. Проектирование земельно-информационных систем Туктаров Р.Б. 533
,,,лек.ЗЕМЛЕУСТРОЙСТВО И ГИС доц. Царенко А.А. 1003
,10.10-11.40,"лек. ПЛАНИРОВАНИЕ И ПРОГНОЗИРОВАНИЕ ИСПОЛЬЗОВАНИЯ ЗЕМЕЛЬНЫХ РЕСУРСОВ
доц. Новиков В.Т. 1003","пр.з. Землеустройство и ГИС
Царенко А.А. 1009"
,12.00-13.30,"пр. Статистические методы исследований в управлении недвижимостью
Шарикова И.В. 245",лек. ПРОЕКТИРОВАНИЕ ЗЕМЕЛЬНО-ИНФОРМАЦИОННЫХ СИСТЕМ доц. Туктаров Р.Б. 533
,,,пр.з. Эколого-географичесое картографирование в ГИС Царенко А.А. 1009
,13.40-15.10,лек. СТАТ. МЕТОДЫ ИССЛЕДОВАНИЙ В УПРАВЛЕНИИ НЕДВИЖИМОСТЬЮ доц. Шарикова И.В. 245,
,,,
,15.20-16.50,,
"а
т
о
б
б
у
С",8.30-10.00,,
,10.10-11.40,,
,,,
