column_0,column_1,column_2,column_3
,,,
"Расписание занятий на 2 семестр 2025-2026 учебного года
институт генетики и агрономии 2 курс",,,
Дата,"ни
Д",Часы,М-ЗиК-21
"а
т
р
а
м
3
2","к
и
н
ь
л
е
д
е
н
о
П",8.30-10.00,
,,10.10-11.40,"лаб.з. 1 пг. Моделирование процессов в землеустройстве и кадастрах
доц. Слепцова Л. А. ауд. 134 к"
,,12.00-13.30,"лаб.з. 1 пг. Моделирование процессов в землеустройстве и кадастрах
доц. Слепцова Л. А. ауд. 134 к"
,,13.40-15.10,
,,15.20-16.50,"С 15:20 ЭКЗАМЕН Землеустроительная экспертиза
проф. Тарасенко П. В. ауд. 1008"
,,17.00-18.30,
,,18.40-20.10,
"а
т
р
а
м
4
2","к
и
н
р
о
т
В",8.30-10.00,
,,10.10-11.40,
,,12.00-13.30,"лаб.з. 2 пг. Моделирование процессов в землеустройстве и кадастрах
доц. Слепцова Л. А. ауд. 245"
,,13.40-15.10,"лаб.з. 2 пг. Моделирование процессов в землеустройстве и кадастрах
доц. Слепцова Л. А. ауд. 245"
,,15.20-16.50,"лаб.з. Автоматизированные системы проектирования и кадастров
доц. Нейфельд В. В., доц. Гагина И. С. ауд. 530, 531"
,,17.00-18.30,"лаб.з. Автоматизированные системы проектирования и кадастров
доц. Нейфельд В. В., доц. Гагина И. С. ауд. 530, 531"
,,18.40-20.10,
"а
т
р
а
м
5
2","а
д
е
р
С",8.30-10.00,
,,10.10-11.40,
,,12.00-13.30,
,,13.40-15.10,
,,15.20-16.50,"лаб.з. Планирование и управление земельными ресурсами
проф. Янюк В. М., доц. Гагина И. С. ауд. 807, 1009"
,,17.00-18.30,"лаб.з. Планирование и управление земельными ресурсами
проф. Янюк В. М., доц. Гагина И. С. ауд. 807, 1009"
,,18.40-20.10,
"а
т
р
а
м
6
2","г
р
е
в
т
е
Ч",8.30-10.00,
,,10.10-11.40,
,,12.00-13.30,
,,13.40-15.10,"пр. з. Кадастр недвижимости
доц. Гагина И. С. ауд. 807"
,,15.20-16.50,"пр. з. Кадастр недвижимости
доц. Гагина И. С. ауд. 807"
,,17.00-18.30,"пр. з. Градостроительное регулирование развития земельно - имущественного комплекса
доц. Гагина И. С. ауд. 807"
,,18.40-20.10,
"а
т
р
а
м
7
2","а
ц
и
н
т
я
П",8.30-10.00,
,,10.10-11.40,
,,12.00-13.30,"лаб.з. Автоматизированные системы проектирования и кадастров
доц. Нейфельд В. В., доц. Гагина И. С. ауд. 530"
,,13.40-15.10,"лаб.з. Автоматизированные системы проектирования и кадастров
доц. Нейфельд В. В., доц. Гагина И. С. ауд. 530"
,,15.20-16.50,"пр. з. Градостроительное регулирование развития земельно - имущественного комплекса
доц. Гагина И. С. ауд. 531"
,,17.00-18.30,"пр. з. Градостроительное регулирование развития земельно - имущественного комплекса
доц. Гагина И. С. ауд. 531"
,,18.40-20.10,
"а
т
р
а
м
8
2","а
т
о
б
б
у
С",8.30-10.00,
,,10.10-11.40,
,,12.00-13.30,
,,13.40-15.10,
,,15.20-16.50,
,,,
