"Расписание занятий
на 2 семестр 2025-2026 учебного года.
Институт биотехнологии 2 курс",column_1,column_2
Дни,Часы,М-УК-21
"6
2
0
2
3.
0
3.
2
к
и
н
ь
л
е
д
е
н
о
П",08.30-10.00,
,10.10-11.40,
,12.00-13.30,
,13.40-15.10,"ЭКЗАМЕН УПРАВЛЕНИЕ РИСКАМИ В СИСТЕМАХ ОБЕСПЕЧЕНИЯ КАЧЕСТВА
доц. Тяпаев Т.Б. ауд. 303"
,15.20-16.50,"пр.з. УПРАВЛЕНИЕ ПРОЦЕССОМ РАЗРАБОТКИ СОВРЕМЕННЫХ ПРОГРАММ В ОБЛАСТИ
УПРАВЛЕНИЯ КАЧЕСТВОМ ст.преп. Шутова О.А. ауд. 303"
,17.00-18.30,"пр.з. УПРАВЛЕНИЕ ПРОЦЕССОМ РАЗРАБОТКИ СОВРЕМЕННЫХ ПРОГРАММ В ОБЛАСТИ
УПРАВЛЕНИЯ КАЧЕСТВОМ ст.преп. Шутова О.А. ауд. 303"
"6
2
0
2
3.
0
4.
2
к
и
н
р
о
т
В",08.30-10.00,
,10.10-11.40,
,12.00-13.30,
,13.40-15.10,
,15.20-16.50,"пр.з. УПРАВЛЕНИЕ ПРОЦЕССОМ РАЗРАБОТКИ СОВРЕМЕННЫХ ПРОГРАММ В ОБЛАСТИ
УПРАВЛЕНИЯ КАЧЕСТВОМ ст.преп. Шутова О.А. ауд. 303"
,17.00-18.30,"пр.з. УПРАВЛЕНИЕ ПРОЦЕССОМ РАЗРАБОТКИ СОВРЕМЕННЫХ ПРОГРАММ В ОБЛАСТИ
УПРАВЛЕНИЯ КАЧЕСТВОМ ст.преп. Шутова О.А. ауд. 303"
,18.40-20.10,"пр.з. Руководство разработкой и внедрение систем качества и безопасности
ст.преп. Шутова О.А. ауд. 303"
"6
2
0
2
3.
0
5.
2
а
д
е
р
С",08.30-10.00,
,10.10-11.40,
,12.00-13.30,
,13.40-15.10,"ЭКЗАМЕН УПРАВЛЕНИЕ ПРОЦЕССОМ РАЗРАБОТКИ СОВРЕМЕННЫХ ПРОГРАММ В ОБЛАСТИ
УПРАВЛЕНИЯ КАЧЕСТВОМ доц. Тяпаев Т.Б. ауд. 303"
,15.20-16.50,"пр.з. Руководство разработкой и внедрение систем качества и безопасности
ст.преп. Шутова О.А. ауд. 303"
,17.00-18.30,"пр.з. Руководство разработкой и внедрение систем качества и безопасности
ст.преп. Шутова О.А. ауд. 303"
,18.40-20.10,
"6
2
0
2
3.
0
6.
2
г
р
е
в
т
е
Ч",08.30-10.00,
,10.10-11.40,
,12.00-13.30,
,13.40-15.10,
,15.20-16.50,"пр.з. Руководство разработкой и внедрение систем качества и безопасности
ст.преп. Шутова О.А. ауд. 303"
,17.00-18.30,"пр.з. Руководство разработкой и внедрение систем качества и безопасности
ст.преп. Шутова О.А. ауд. 303"
,18.40-20.10,"пр.з. Руководство разработкой и внедрение систем качества и безопасности
ст.преп. Шутова О.А. ауд. 303"
"6
2
0
2
3.
0
7.
2
а
ц
и
н
т
я
П",08.30-10.00,
,10.10-11.40,
,12.00-13.30,"ЭКЗАМЕН Руководство разработкой и внедрение систем качества и безопасности
доц. Тяпаев Т.Б. ауд. 303"
,13.40-15.10,
,15.20-16.50,
,17.00-18.30,
"а
т
о
б
б
у
С",08.30-10.00,
,10.10-11.40,
,12.00-13.30,
,13.40-15.10,
,15.20-16.50,
,17.00-18.30,
,,
