"Расписание занятий
на 2 семестр 2025-2026 учебного года.
Институт биотехнологии 2 курс",column_1,column_2
Дни,Часы,Б-ПЖ-21
"6
2
0
2
3.
0
3.
2
к
и
н
ь
л
е
д
е
н
о
П",08.30-10.00,
,10.10-11.40,
,12.00-13.30,
,13.40-15.10,"ЭКЗАМЕН Безопасность жизнедеятельности
реол
доц. Карпова О.В. учебный комплекс №2 ауд. 518а"
,15.20-16.50,"лек. ИСТОРИЯ РОССИИ
доц. Федорова-Кузнецова И.В. учебный комплекс №2 ауд. 402"
,17.00-18.30,"пр.з. История России
доц. Федорова-Кузнецова И.В. учебный комплекс №2 ауд. 402"
"6
2
0
2
3.
0
4.
2
к
и
н
р
о
т
В",08.30-10.00,
,10.10-11.40,
,12.00-13.30,"пр.з. История России
доц. Федорова-Кузнецова И.В. ауд. Малая"
,13.40-15.10,"пр.з. История России
доц. Федорова-Кузнецова И.В. ауд. Малая"
,15.20-16.50,"лаб.з. Тепло- и холодильная техника
доц. Катусов А.В. ауд. 116"
,17.00-18.30,"ЭКЗАМЕН Тепло- и холодильная техника
доц. Катусов А.В. ауд. 116"
"6
2
0
2
3.
0
5.
2
а
д
е
р
С",08.30-10.00,
,10.10-11.40,
,12.00-13.30,
,13.40-15.10,"пр.з. История России
доц. Федорова-Кузнецова И.В. учебный комплекс №2 ауд. 249"
,15.20-16.50,"ЭКЗАМЕН История России
доц. Федорова-Кузнецова И.В. учебный комплекс №2 ауд. 249"
,,пр.з. Социология
,17.00-18.30,проф. Дудникова Е.Б. учебный комплекс №2 ауд. 248
,,ЗАЧЕТ Социология
,18.40-20.10,проф. Дудникова Е.Б. учебный комплекс №2 ауд. 248
"6
2
0
2
3.
0
6.
2
г
р
е",08.30-10.00,
,10.10-11.40,
,12.00-13.30,
,13.40-15.10,
,,пр.з. Философия
"в
т
е",15.20-16.50,доц. Гижов В.А. ауд. С-413
Ч,,ЭКЗАМЕН Философия
,17.00-18.30,доц. Гижов В.А. ауд. С-413
"6
2
0
2
3.
0
7.
2
а
ц
и
н
т
я
П",08.30-10.00,"пр.з. Прикладная метематика
доц. Кочегарова О.С. ауд. 214"
,10.10-11.40,"пр.з. Прикладная метематика
доц. Кочегарова О.С. ауд. 214"
,12.00-13.30,"ЗАЧЕТ Прикладная метематика
доц. Кочегарова О.С. ауд. 214"
,13.40-15.10,"ЭКЗАМЕН Органическая химия
проф. Сазонова И.А. ауд. 530"
,15.20-16.50,
,17.00-18.30,
"а
т
о
б",08.30-10.00,
,10.10-11.40,
"б
у
С",12.00-13.30,
,13.40-15.10,
,,
