"Расписание занятий
на 2 семестр 2025-2026 учебного года.
Институт биотехнологии 2 курс",column_1,column_2
Дни,Часы,М-ППР-21
"6
2
0
2
3.
0
3.
2
к
и
н
ь
л
е
д
е
н
о
П",08.30-10.00,
,10.10-11.40,"ЗАЧЕТ СОВРЕМЕННЫЕ УПАКОВОЧНЫЕ МАТЕРИАЛЫ
доц. Белова М.В. ауд. С-218"
,12.00-13.30,"ЗАЧЕТ ГОСУДАРСТВЕННЫЕ ПРОГРАММЫ В ОБЛАСТИ ЗДОРОВОГО ПИТАНИЯ
проф. Попова О.М. ауд. С-145"
,13.40-15.10,"лек. СОВРЕМЕННЫЕ СИСТЕМЫ ИЗМЕРЕНИЯ ПАРАМЕТРОВ
доц. Мокрецов И.В. ауд. 115"
,15.20-16.50,"лек. СОВРЕМЕННЫЕ СИСТЕМЫ ИЗМЕРЕНИЯ ПАРАМЕТРОВ
доц. Мокрецов И.В. ауд. 115"
,17.00-18.30,
"6
2
0
2
3.
0
4.
2
к
и
н
р
о
т
В",08.30-10.00,
,10.10-11.40,"пр.з. ЗАЩИТА ИНТЕЛЛЕКТУАЛЬНОЙ СОБСТВЕННОСТИ
доц. Киселева И.С. ауд. С-217"
,12.00-13.30,"ЭКЗАМЕН ЗАЩИТА ИНТЕЛЛЕКТУАЛЬНОЙ СОБСТВЕННОСТИ
доц. Киселева И.С. ауд. С-206"
,13.40-15.10,
,15.20-16.50,
,17.00-18.30,
,18.40-20.10,
"6
2
0
2
3.
0
5.
2
а
д
е
р
С",08.30-10.00,
,10.10-11.40,"пр.з. СОВРЕМЕННЫЕ СИСТЕМЫ ИЗМЕРЕНИЯ ПАРАМЕТРОВ
доц. Мокрецов И.В. ауд. 115"
,12.00-13.30,"пр.з. СОВРЕМЕННЫЕ СИСТЕМЫ ИЗМЕРЕНИЯ ПАРАМЕТРОВ
доц. Мокрецов И.В. ауд. 115"
,13.40-15.10,"ЗАЧЕТ СОВРЕМЕННЫЕ СИСТЕМЫ ИЗМЕРЕНИЯ ПАРАМЕТРОВ
доц. Мокрецов И.В. ауд. 115"
,15.20-16.50,
,17.00-18.30,
"6
2
0
2
3.
0
6.
2
г
р
е
в
т
е
Ч",08.30-10.00,
,10.10-11.40,
,12.00-13.30,
,13.40-15.10,"ЭКЗАМЕН Технологии продуктов из растительного сырья
доц. Буховец В.А. ауд. 206"
,15.20-16.50,
,17.00-18.30,
"6
2
0
2
3.
0
7.
2
а
ц
и
н
т
я
П",08.30-10.00,
,10.10-11.40,"ЗАЧЕТ ДОКУМЕНТОООБОРОТ И НОРМИРОВАНИЕ
доц. Белова М.В. ауд. С-218"
,12.00-13.30,
,13.40-15.10,"ЭКЗАМЕН ВЫСОКОТЕХНОЛОГИЧЕСКОЕ ОБОРУДОВАНИЕ
доц. Буттаев О.М. ауд. С-219"
,15.20-16.50,
,17.00-18.30,
,18.40-20.10,
"а
т
о
б
б
у
С",08.30-10.00,
,10.10-11.40,
,12.00-13.30,
,13.40-15.10,
,15.20-16.50,
,17.00-18.30,
,,
