"Расписание занятий
на 2 семестр 2025-2026 учебного года.
Институт биотехнологии 2 курс",column_1,column_2
Дни,Часы,Б-ЗТ-21
6202.30.,08.30-10.00,
,10.10-11.40,
"32
киньл",12.00-13.30,"лаб.з. Цифровые технологии
доц. Берднова Е.В., Цагареишвили Л.С. ауд. 426, 416"
,13.40-15.10,"ЭКЗАМЕН Цифровые технологии
доц. Берднова Е.В. ауд. 426"
еденоП,15.20-16.50,"пр.з. История России
доц. Гижов В.А. ауд. С-208"
,17.00-18.30,"пр.з. История России
доц. Гижов В.А. ауд. С-208"
"6202.30.42
ки",08.30-10.00,
,10.10-11.40,"лек. ОСНОВЫ ВЕТЕРИНАРИИ
проф. Козлов С.В. лаб.терап."
,12.00-13.30,"ЭКЗАМЕН История России
доц. Гижов В.А. ауд. 214"
,13.40-15.10,"лек. ОСНОВЫ ВЕТЕРИНАРИИ
проф. Козлов С.В. лаб.терап."
нр,,пр.з. Основы ветеринарии
от,15.20-16.50,проф. Козлов С.В. лаб.терап.
В,17.00-18.30,
,18.40-20.10,
"6202.30.5
5202",08.30-10.00,
,10.10-11.40,
,12.00-13.30,"лек. ОСНОВЫ ВЕТЕРИНАРИИ
проф. Козлов С.В. лаб.терап."
".01
2",,пр.з. Основы ветеринарии
ад .6,13.40-15.10,проф. Козлов С.В. лаб.терап.
"ерС 1
гре",15.20-16.50,"ЭКЗАМЕН ПРАВОВЕДЕНИЕ
доц. Рубанова М.Е. ауд. С-409"
втеЧ,17.00-18.30,
6,"08.30-10.00
08.30-10.00","пр.з. Основы ветеринарии
проф. Козлов С.В. лаб.терап."
20,,ЭКЗАМЕН Иностранный язык
2.3,10.10-11.40,"Солотова Н.В. ауд. С-406, Антошина Е.С. ауд. С-403"
0.,,пр.з. Основы ветеринарии
62,12.00-13.30,проф. Козлов С.В. лаб.терап.
гр,,
ев,13.40-15.10,
теЧ,15.20-16.50,
,17.00-18.30,
6202.30.72,08.30-10.00,
,10.10-11.40,
,12.00-13.30,
ац,,ЗАЧЕТ Основы ветеринарии
интяП,13.40-15.10,проф. Козлов С.В. лаб.терап.
,15.20-16.50,"ЭКЗАМЕН ГЕНЕТИКА И БИОМЕТРИЯ
доц. Преображенская Т.С. ауд. 341"
,17.00-18.30,
атоббуС,08.30-10.00,
,10.10-11.40,
,12.00-13.30,
,13.40-15.10,
,,
