"Расписание занятий
на 2 семестр 2025-2026 учебного года.
Институт биотехнологии 2 курс",column_1,column_2,column_3
Дни,Часы,Б-ТОП-21,Б-ТОП-22
,08.30-10.00,,
"6
2
0
2
3.
0
3.
2
к
и
н
ь
л
е
д
е
н
о
П",,,
,10.10-11.40,,"пр.з. Организация и планирование производственной и
сбытовой деятельности доц. Руднев М.Ю. ауд. 418"
,12.00-13.30,"ЭКЗАМЕН Иностранный язык
Иванова Л.М. ауд. С-404, Солотова Н.В. ауд. С-406","ЭКЗАМЕН Организация и планирование производственной и
сбытовой деятельности доц. Руднев М.Ю. ауд. 418"
,13.40-15.10,переезд на учебный комплекс №2,
,15.20-16.50,"лек. ИСТОРИЯ РОССИИ
доц. Федорова-Кузнецова И.В. учебный комплекс №2 ауд. 402",
,17.00-18.30,"пр.з. История России
доц. Федорова-Кузнецова И.В. УК №2 ауд. 402",
"6
2
0
2
3.
0
4.
2
к
и
н
р
о
т
В",08.30-10.00,"пр.з. Организация и планирование производственной и
сбытовой деятельности доц. Руднев М.Ю. ауд. 418",
,10.10-11.40,"ЭКЗАМЕН Организация и планирование производственной
и сбытовой деятельности доц. Руднев М.Ю. ауд. 418","пр.з. История России
доц. Федорова-Кузнецова И.В. ауд. Малая"
,12.00-13.30,"пр.з. История России
доц. Федорова-Кузнецова И.В. ауд. Малая","пр.з. История России
доц. Федорова-Кузнецова И.В. ауд. Малая"
,13.40-15.10,"ЗАЧЕТ Нормативное и метрологическое обеспечение услуг
общественного питания доц. Колотова Н.А. ауд. С-206","ЗАЧЕТ Нормативное и метрологическое обеспечение услуг
общественного питания доц. Колотова Н.А. ауд. С-206"
,15.20-16.50,,"ЭКЗАМЕН Иностранный язык
Иванова Л.М. ауд. С-404, Солотова Н.В. ауд. С-406"
,17.00-18.30,,
"6
2
0
2
3.
0
5.
2
а
д
е
р
С",08.30-10.00,,
,10.10-11.40,,
,12.00-13.30,,"лаб.з. Структура пищевых систем кулинарной продукции
доц. Белова М.В. ауд. С-218"
,13.40-15.10,"лаб.з. Структура пищевых систем кулинарной продукции
доц. Белова М.В. ауд. С-218","пр.з. Философия
доц. Гижов В.А. ауд. С-208"
,15.20-16.50,"ЗАЧЕТ Санитария и гигиена питания
проф. Попова О.М. ауд. С-140","ЭКЗАМЕН Философия
доц. Гижов В.А. ауд. С-208"
,17.00-18.30,"ЭКЗАМЕН Философия
доц. Гижов В.А. ауд. С-208","ЗАЧЕТ Санитария и гигиена питания
проф. Попова О.М. ауд. С-140"
"6
2
0
2
3.
0
6.
2
г
р
е
в
т
е
Ч",08.30-10.00,,
,10.10-11.40,"лаб.з. Электротехника
доц. Волгин А.В. учебный комплекс №2 ауд. 403",
,12.00-13.30,"ЗАЧЕТ Электротехника
доц. Волгин А.В. учебный комплекс №2 ауд. 403","ЭКЗАМЕН Безопасность жизнедеятельности
доц. Карпова О.В. учебный комплекс №2 ауд. 307"
,13.40-15.10,"ЭКЗАМЕН Безопасность жизнедеятельности
доц. Карпова О.В. учебный комплекс №2 ауд. 208","лаб.з. Электротехника
доц. Волгин А.В. учебный комплекс №2 ауд. 403"
,15.20-16.50,,"ЗАЧЕТ Электротехника
доц. Волгин А.В. учебный комплекс №2 ауд. 403"
,17.00-18.30,,
"6
2
0
2
3.
0
7.
2
а
ц
и
н
т
я
П",08.30-10.00,,
,10.10-11.40,"ЭКЗАМЕН История России
доц. Федорова-Кузнецова И.В. ауд. 7","лаб.з. Структура пищевых систем кулинарной продукции
доц. Белова М.В. ауд. С-218"
,12.00-13.30,,"ЗАЧЕТ Структура пищевых систем кулинарной продукции
доц. Белова М.В. ауд. С-218"
,13.40-15.10,"лаб.з. Структура пищевых систем кулинарной продукции
доц. Белова М.В. ауд. С-218","ЭКЗАМЕН История России
доц. Федорова-Кузнецова И.В. ауд. 7"
,15.20-16.50,"ЗАЧЕТ Структура пищевых систем кулинарной продукции
доц. Белова М.В. ауд. С-218",
,17.00-18.30,,
"а
т
о
б
б
у
С",08.30-10.00,,
,10.10-11.40,,
,12.00-13.30,,
,13.40-15.10,,
,15.20-16.50,,
,,,
