"Расписание занятий
на 2 семестр 2025-2026 учебного года.
Институт биотехнологии 2 курс",column_1,column_2
Дни,Часы,Б-ТП-21
"6
2
0
2
3.
0
3.
2
к
и
н
ь
л
е
д
е
н
о
П",08.30-10.00,
,10.10-11.40,
,12.00-13.30,
,13.40-15.10,
,15.20-16.50,
,17.00-18.30,
,18.40-20.10,
"6
2",08.30-10.00,
,10.10-11.40,
"0
2
3.
0
4.
2
к
и
н
р",12.00-13.30,
,13.40-15.10,
,15.20-16.50,"ЭКЗАМЕН Правоведение
доц. Рубанова М.Ю. ауд. С-409"
"о
т
В",17.00-18.30,
,18.40-20.10,
"6
2",08.30-10.00,
,10.10-11.40,
"0
2
3.
0
5.
2
а
д
е
р
С",12.00-13.30,
,13.40-15.10,
,15.20-16.50,
,17.00-18.30,
,08.30-10.00,
"6
2
0
2
3.
0
6.",10.10-11.40,
,12.00-13.30,
"2
г
р
е",13.40-15.10,
"в
т
е
Ч",15.20-16.50,
,17.00-18.30,
"6
2
0
2",08.30-10.00,
,10.10-11.40,
"3.
0
7.
2",12.00-13.30,
"а
ц
и
н
т
я
П",13.40-15.10,
,15.20-16.50,
,17.00-18.30,
"а
т
о
б
б
у
С",08.30-10.00,
,10.10-11.40,
,12.00-13.30,
,13.40-15.10,
,15.20-16.50,
,,
