"Расписание занятий
на 2 семестр 2025-2026 учебного года.
Институт биотехнологии 2 курс",column_1,column_2
Дни,Часы,М-ВБ-21
"6
2
0
2
3.
0
3.
2
к
и
н
ь",08.30-10.00,
,10.10-11.40,
,12.00-13.30,
,13.40-15.10,"ЭКЗАМЕН ПРОЕКТИРОВАНИЕ ОБЪЕКТОВ В АКВАКУЛЬТУРЕ
доц. Гуркина О.А. ауд. 439"
"л
е
д
е
н
о
П",15.20-16.50,
,17.00-18.30,
"6
2
0
2
3.
0
.",08.30-10.00,
,10.10-11.40,
,12.00-13.30,
"4
2",,
"к
и
н
р
о
т
В",13.40-15.10,
,15.20-16.50,"пр.з. ОРГАНИЗАЦИЯ И УПРАВЛЕНИЕ
доц. Руднев М.Ю. ауд. 418"
,17.00-18.30,"ЗАЧЕТ ОРГАНИЗАЦИЯ И УПРАВЛЕНИЕ
доц. Руднев М.Ю. ауд. 418"
,08.30-10.00,
,,
"6
2
0
2
3.
0
5.
2
а
д
е
р
С",10.10-11.40,
,12.00-13.30,"лаб.з. ОРГАНИЗАЦИЯ ПЛЕМЕННОГО ДЕЛА В АКВАКУЛЬТУРЕ
доц. Преображенская Т.С. ауд. 434"
,13.40-15.10,
,15.20-16.50,"лаб.з. ОРГАНИЗАЦИЯ ПЛЕМЕННОГО ДЕЛА В АКВАКУЛЬТУРЕ
доц. Преображенская Т.С. ауд. 434"
,17.00-18.30,"ЭКЗАМЕН ОРГАНИЗАЦИЯ ПЛЕМЕННОГО ДЕЛА В АКВАКУЛЬТУРЕ
доц. Преображенская Т.С. ауд. 434"
"6
2
0
2
3.
0
6.
2
г
р
е
в",08.30-10.00,
,10.10-11.40,
,12.00-13.30,
,13.40-15.10,
,15.20-16.50,
"т
е
Ч",17.00-18.30,
,18.40-20.10,
"6
2
0
2
3.
0
7.
2
а",08.30-10.00,
,10.10-11.40,
,12.00-13.30,
,13.40-15.10,ЭКЗАМЕН ТЕХНОЛОГИИ ИСКУССТВЕННОГО ВОСПРОИЗВОДСТВА ГИДРОБИОНТОВ
"ц
и",,
"н
т
я",15.20-16.50,
П,,
,17.00-18.30,
"а
т
о
б
б
у
С",08.30-10.00,
,10.10-11.40,
,12.00-13.30,
,13.40-15.10,
,,
