"Расписание занятий
на 2 семестр 2025-2026 учебного года.
Институт биотехнологии 2 курс",column_1,column_2
Дни,Часы,М-ТОП-21
"6202.30.32
киньледеноП",08.30-10.00,
,10.10-11.40,"лек. МИКРОБИОЛОГИЯ И ЭПИДЕМИОЛОГИЯ В ОБЛАСТИ ПИТАНИЯ
доц. Зайцев С.С. ауд. 528"
,12.00-13.30,"лаб.з. Высокотехнологичные производства продуктов питания
доц. Макарова А.Н. ауд. С-140"
,13.40-15.10,"ЭКЗАМЕН Технологии продуктов для специальных видов питания
доц. Рысмухамбетова Г.Е. ауд. 149"
,15.20-16.50,"лаб.з. Высокотехнологичные производства продуктов питания
доц. Макарова А.Н. ауд. С-140"
,17.00-18.30,
"6202.30.42
кинротВ",08.30-10.00,
,10.10-11.40,"лек. МИКРОБИОЛОГИЯ И ЭПИДЕМИОЛОГИЯ В ОБЛАСТИ ПИТАНИЯ
доц. Зайцев С.С. ауд. 310"
,12.00-13.30,"лек. МИКРОБИОЛОГИЯ И ЭПИДЕМИОЛОГИЯ В ОБЛАСТИ ПИТАНИЯ
доц. Зайцев С.С. ауд. 310"
,13.40-15.10,"лаб.з. Микробиология и эпидемиология в области питания
Юрина К.С. ауд. 313"
,15.20-16.50,"лаб.з. Микробиология и эпидемиология в области питания
Юрина К.С. ауд. 313"
,17.00-18.30,
,18.40-20.10,
"6202.30.52
адерС",08.30-10.00,
,10.10-11.40,
,12.00-13.30,"лаб.з. Высокотехнологичные производства продуктов питания
доц. Макарова А.Н. ауд. С-140"
,13.40-15.10,"лаб.з. Высокотехнологичные производства продуктов питания
доц. Макарова А.Н. ауд. С-140"
,15.20-16.50,"лаб.з. Высокотехнологичные производства продуктов питания
доц. Макарова А.Н. ауд. С-140"
,17.00-18.30,"пр.з. Высокотехнологичные производства продуктов питания
доц. Макарова А.Н. ауд. С-140"
"6202.30.62
гревтеЧ",08.30-10.00,
,10.10-11.40,"пр.з. Высокотехнологичные производства продуктов питания
доц. Макарова А.Н. ауд. С-140"
,12.00-13.30,"пр.з. Высокотехнологичные производства продуктов питания
доц. Макарова А.Н. ауд. С-140"
,13.40-15.10,"ЭКЗАМЕН Технологическое проектирование
доц. Рысмухамбетова Г.Е. ауд. 149"
,15.20-16.50,
,17.00-18.30,
"6202.30.72
ацинтяП",08.30-10.00,
,10.10-11.40,"пр.з. Высокотехнологичные производства продуктов питания
доц. Макарова А.Н. ауд. С-140"
,12.00-13.30,"ЗАЧЕТ Высокотехнологичные производства продуктов питания
доц. Макарова А.Н. ауд. С-140"
,13.40-15.10,"лаб.з. Микробиология и эпидемиология в области питания
Юрина К.С. ауд. 313"
,15.20-16.50,"ЭКЗАМЕН Микробиология и эпидемиология в области питания
доц. Зайцев С.С. ауд. 339"
,17.00-18.30,
атоббуС,08.30-10.00,
,10.10-11.40,
,12.00-13.30,
,13.40-15.10,
