"Расписание занятий
на 2 семестр 2025-2026 учебного года.
Институт биотехнологии 2 курс",column_1,column_2
Дни,Часы,Б-ВБ-21
"6
2
0
2
3.
0
.",08.30-10.00,
,10.10-11.40,
,12.00-13.30,
"3
2",,
"к
и
н
ь
л
е
д
е",13.40-15.10,
,15.20-16.50,
"н
о
П",,доц. Гуркина О.А. ауд. С-305
,,
,17.00-18.30,доц. Гуркина О.А. ауд. С-305
"6
2",08.30-10.00,
,10.10-11.40,
"0
2
3.",12.00-13.30,
"0
4.",,доц. Гуркина О.А. ауд. С-305
"2
к
и
н
р
о
т",13.40-15.10,
,15.20-16.50,
В,,доц. Гуркина О.А. ауд. С-305
,17.00-18.30,
,08.30-10.00,
,,
,10.10-11.40,
,,
6,12.00-13.30,
"2
0
2
3.
0
5.",,
,13.40-15.10,
"2
а",15.20-16.50,
"д
е",,доц. Гуркина О.А. ауд. С-305
"р
С",17.00-18.30,
,,доц. Гуркина О.А. ауд. С-305
,,
,18.40-20.10,
,08.30-10.00,
6,10.10-11.40,
"2
0",,проф. Поддубная И.В. ауд. С-305а
"2
3.
0
6.
2",12.00-13.30,
,13.40-15.10,
"г
р
е",,доц. Торопова В.В. учебный комплекс №2 ауд. 308
"в
т
е",15.20-16.50,
Ч,,доц. Торопова В.В. учебный комплекс №2 ауд. 308
,17.00-18.30,
"6
2
0
2
3.
0
7.",08.30-10.00,
,10.10-11.40,
,12.00-13.30,
"2
а",13.40-15.10,
ц,,
"и
н",15.20-16.50,
"т
я",,
П,17.00-18.30,
,,
,18.40-20.10,
"а
т",08.30-10.00,
,10.10-11.40,
"о
б",,
"б
у",12.00-13.30,
С,,
,13.40-15.10,
,,
,,
