"Расписание занятий
на 2 семестр 2025-2026 учебного года.
Институт биотехнологии 2 курс",column_1,column_2
Дни,Часы,Б-ППР-21
"6
2
0
2
3.
0
.",08.30-10.00,
,10.10-11.40,"лаб.з. ОРГАНИЧЕСКАЯ, ФИЗИЧЕСКАЯ И КОЛЛОИДНАЯ ФИЗИКА
доц. Древко Я.Б. ауд. 313"
,,ЭКЗАМЕН ЦИФРОВЫЕ ТЕХНОЛОГИИ И ИСКУССТВЕННЫЙ ИНТЕЛЛЕКТ В ТЕХНОЛОГИИ
"3
2",12.00-13.30,
"к
и
н
ь
л
е
д
е
н
о
П",13.40-15.10,переезд на учебный комплекс №2
,15.20-16.50,"лек. ИСТОРИЯ РОССИИ
доц. Федорова-Кузнецова И.В. учебный комплекс №2 ауд. 402"
,17.00-18.30,"пр.з. Прикладная математика
доц. Кочегарова О.С. учебный комплекс №2 ауд. 253"
,18.40-20.10,
"6
2
0
2
3.
0
4.
2
к
и
н
р
о
т
В",08.30-10.00,
,10.10-11.40,"ЗАЧЕТ Прикладная математика
доц. Кочегарова О.С. ауд. 214"
,12.00-13.30,"пр.з. Технические основы проектирования
доц. Буттаев О.М. ауд. С-223"
,13.40-15.10,"ЭКЗАМЕН Технические основы проектирования
доц. Буттаев О.М. ауд. С-223"
,15.20-16.50,"лаб.з. ОРГАНИЧЕСКАЯ, ФИЗИЧЕСКАЯ И КОЛЛОИДНАЯ ФИЗИКА
доц. Древко Я.Б. ауд. 313"
,17.00-18.30,"лаб.з. ОРГАНИЧЕСКАЯ, ФИЗИЧЕСКАЯ И КОЛЛОИДНАЯ ФИЗИКА
доц. Древко Я.Б. ауд. 313"
,18.40-20.10,
"6
2
0
2
3.
0
5.
2
а
д
е
р
С",08.30-10.00,
,10.10-11.40,
,12.00-13.30,"ЭКЗАМЕН ОРГАНИЧЕСКАЯ, ФИЗИЧЕСКАЯ И КОЛЛОИДНАЯ ФИЗИКА
доц. Древко Я.Б. ауд. 313"
,13.40-15.10,"пр.з. История России
Ахметов А.А. ауд. 5"
,15.20-16.50,"пр.з. История России
Ахметов А.А. ауд. 5"
,17.00-18.30,
"6
2",08.30-10.00,
,,
"0
2",10.10-11.40,
3.,,
"0
.",12.00-13.30,
"6
2
г
р
е
в",13.40-15.10,
,,пр.з. Философия
"т
е",15.20-16.50,
Ч,,ЭКЗАМЕН Философия
,17.00-18.30,
"6
2
0
2
3.
0
7.
2
а
ц
и
н
т
я
П",08.30-10.00,
,10.10-11.40,"ЭКЗАМЕН История России
доц. Федорова-Кузнецова И.В. ауд. 7"
,12.00-13.30,"лек. ЭКОНОМИЧЕСКАЯ КУЛЬТУРА
доц. Васильева О.А. ауд. 528"
,13.40-15.10,"пр.з. Экономическая культура
доц. Васильева О.А. ауд. 528"
,15.20-16.50,"ЗАЧЕТ Экономическая культура
доц. Васильева О.А. ауд. 528"
,17.00-18.30,
"а
т
о
б
б
у
С",08.30-10.00,
,10.10-11.40,
,12.00-13.30,
,13.40-15.10,
,15.20-16.50,
