"Расписание занятий
на 2 семестр 2025-2026 учебного года.
Институт биотехнологии 2 курс",column_1,column_2
"Дни
6",Часы,М-ПЖ-21
"2
0
2
3.
0
3.
2
к
и
н
ь
л
е
д
е
н
о
П",08.30-10.00,
,10.10-11.40,
,12.00-13.30,"ЭКЗАМЕН БИОТЕХНОЛОГИЯ В ПРОИЗВОДСТВЕ ПРОДУКТОВ ПИТАНИЯ
МЯСОМОЛОЧНОЙ ИНДУСТРИИ доц. Курако У.М. ауд. 403"
,13.40-15.10,"пр.з. МЕТОДОЛОГИЯ ПРОЕКТИРОВАНИЯ МЯСНЫХ И МОЛОЧНЫХ ПРОДУКТОВ
доц. Курако У.М. ауд. 403"
,15.20-16.50,"пр.з. МЕТОДОЛОГИЯ ПРОЕКТИРОВАНИЯ МЯСНЫХ И МОЛОЧНЫХ ПРОДУКТОВ
доц. Курако У.М. ауд. 403"
,17.00-18.30,"пр.з. МЕТОДОЛОГИЯ ПРОЕКТИРОВАНИЯ МЯСНЫХ И МОЛОЧНЫХ ПРОДУКТОВ
доц. Курако У.М. ауд. 403"
"6
2
0
2
3.
0
4.
2
к
и
н
р
о
т
В",08.30-10.00,
,10.10-11.40,
,12.00-13.30,
,13.40-15.10,"пр.з. Управление качеством продукции
доц. Левина Т.Ю. ауд. 303"
,15.20-16.50,"пр.з. МЕТОДОЛОГИЯ ПРОЕКТИРОВАНИЯ МЯСНЫХ И МОЛОЧНЫХ ПРОДУКТОВ
доц. Курако У.М. ауд. 303"
,17.00-18.30,"лаб.з. МЕТОДОЛОГИЯ ПРОЕКТИРОВАНИЯ МЯСНЫХ И МОЛОЧНЫХ ПРОДУКТОВ
доц. Курако У.М. ауд. 303"
,18.40-20.10,"лаб.з. МЕТОДОЛОГИЯ ПРОЕКТИРОВАНИЯ МЯСНЫХ И МОЛОЧНЫХ ПРОДУКТОВ
доц. Курако У.М. ауд. 303"
"6
2
0
2
3.
0
5.
2
а
д
е
р
С",08.30-10.00,
,10.10-11.40,
,12.00-13.30,"лаб.з. МЕТОДОЛОГИЯ ПРОЕКТИРОВАНИЯ МЯСНЫХ И МОЛОЧНЫХ ПРОДУКТОВ
доц. Курако У.М. ауд. 303"
,13.40-15.10,"лаб.з. МЕТОДОЛОГИЯ ПРОЕКТИРОВАНИЯ МЯСНЫХ И МОЛОЧНЫХ ПРОДУКТОВ
доц. Курако У.М. ауд. 303"
,15.20-16.50,"ЭКЗАМЕН МЕТОДОЛОГИЯ ПРОЕКТИРОВАНИЯ МЯСНЫХ И МОЛОЧНЫХ ПРОДУКТОВ
доц. Курако У.М. ауд. 303"
,17.00-18.30,"лек. МЕТОДОЛОГИЧЕСКИЕ ОСНОВЫ РАЗРАБОТКИ НОВЫХ ВИДОВ МЯСНОЙ И МОЛОЧНОЙ
ПРОДУКЦИИ доц. Курако У.М. ауд. 303"
"6
2
0
2
3.
0
6.
2
г
р
е
в
т
е
Ч",08.30-10.00,
,10.10-11.40,"лек. МЕТОДОЛОГИЧЕСКИЕ ОСНОВЫ РАЗРАБОТКИ НОВЫХ ВИДОВ МЯСНОЙ И МОЛОЧНОЙ
ПРОДУКЦИИ доц. Курако У.М. ауд. 303"
,12.00-13.30,"лек. МЕТОДОЛОГИЧЕСКИЕ ОСНОВЫ РАЗРАБОТКИ НОВЫХ ВИДОВ МЯСНОЙ И МОЛОЧНОЙ
ПРОДУКЦИИ доц. Курако У.М. ауд. 303"
,13.40-15.10,"пр.з. Управление качеством продукции
доц. Левина Т.Ю. ауд. 303"
,15.20-16.50,"лаб.з. Управление качеством продукции
доц. Андреева С.В. ауд. 303"
,17.00-18.30,"лаб.з. Управление качеством продукции
доц. Андреева С.В. ауд. 303"
"6
2
0
2
3.
0
7.
2
а
ц
и
н
т
я
П",08.30-10.00,
,10.10-11.40,"пр.з. МЕТОДОЛОГИЧЕСКИЕ ОСНОВЫ РАЗРАБОТКИ НОВЫХ ВИДОВ МЯСНОЙ И МОЛОЧНОЙ
ПРОДУКЦИИ доц. Курако У.М. ауд. 115"
,12.00-13.30,"ЭКЗАМЕН МЕТОДОЛОГИЧЕСКИЕ ОСНОВЫ РАЗРАБОТКИ НОВЫХ ВИДОВ МЯСНОЙ И
МОЛОЧНОЙ ПРОДУКЦИИ доц. Курако У.М. ауд. 115"
,13.40-15.10,"лаб.з. Управление качеством продукции
доц. Андреева С.В. ауд. 303"
,15.20-16.50,"ЗАЧЕТ Управление качеством продукции
доц. Левина Т.Ю. ауд. 403"
,17.00-18.30,
"а
т
о
б
б
у
С",08.30-10.00,
,10.10-11.40,
,12.00-13.30,
,13.40-15.10,
