"Расписание занятий
на 2 семестр 2025-2026 учебного года.
Институт биотехнологии 2 курс",column_1,column_2
Дни,Часы,Б-УК-21
6202.30.32,08.30-10.00,
,10.10-11.40,
,12.00-13.30,"пр.з. Метрологическое обеспечение технологических процессов
ст.преп. Шутова О.А. ауд. 341"
киньл,13.40-15.10,"ЭКЗАМЕН Иностранный язык
Солотова Н.В. ауд. С-406, Иванова Л.М. ауд. С-404"
еденоП,15.20-16.50,"лек. ИСТОРИЯ РОССИИ
доц. Федорова-Кузнецова И.В. учебный комплекс №2 ауд. 402"
,17.00-18.30,"пр.з. История России
доц. Федорова-Кузнецова И.В. учебный комплекс №2 ауд. 402"
"6202.30.42
кинротВ",08.30-10.00,"пр.з. Философия
доц. Гижов В.А. ауд. 214"
,10.10-11.40,"ЭКЗАМЕН Философия
доц. Гижов В.А. ауд. 214"
,12.00-13.30,"пр.з. История России
доц. Федорова-Кузнецова И.В. ауд. Малая"
,13.40-15.10,"лек. МЕТРОЛОГИЧЕСКОЕ ОБЕСПЕЧЕНИЕ ТЕХНОЛОГИЧЕСКИХ ПРОЦЕССОВ
доц. Тяпаев Т.Б. ауд. 341"
,15.20-16.50,
,17.00-18.30,
,18.40-19.10,
,08.30-10.00,
,,
6,10.10-11.40,
"202.30.52
адерС",12.00-13.30,
,13.40-15.10,"пр.з. История России
доц. Федорова-Кузнецова И.В. учебный комплекс №2 ауд. 249"
,15.20-16.50,"ЭКЗАМЕН История России
доц. Федорова-Кузнецова И.В. учебный комплекс №2 ауд. 249"
,17.00-18.30,"лек. МЕТРОЛОГИЧЕСКОЕ ОБЕСПЕЧЕНИЕ ТЕХНОЛОГИЧЕСКИХ ПРОЦЕССОВ
доц. Тяпаев Т.Б. ауд. 249"
6202.30.,08.30-10.00,
,10.10-11.40,
,12.00-13.30,"пр.з. Метрологическое обеспечение технологических процессов
ст.преп. Шутова О.А. ауд. 343"
,,пр.з. Менеджмент
62,13.40-15.10,доц. Руднев М.Ю. ауд. 418
гр,,ЗАЧЕТ Менеджмент
евт,15.20-16.50,доц. Руднев М.Ю. ауд. 418
еЧ,17.00-18.30,"ЗАЧЕТ Прикладная математика
доц. Кочегарова О.С. ауд. 418"
,18.40-19.10,
"6202.30.72
ацинтяП",08.30-10.00,
,10.10-11.40,"пр.з. Метрологическое обеспечение технологических процессов
ст.преп. Шутова О.А. ауд. 303"
,12.00-13.30,"ЗАЧЕТ Метрологическое обеспечение технологических процессов
доц. Тяпаев Т.Б. ауд. 303"
,13.40-15.10,"ЭКЗАМЕН БЕЗОПАСНОСТЬ ЖИЗНЕДЕЯТЕЛЬНОСТИ
доц. Карпова О.В. ауд. 212"
,15.20-16.50,
,17.00-18.30,
атоббуС,08.30-10.00,
,10.10-11.40,
,12.00-13.30,
,13.40-15.10,
