column_0,column_1,column_2,column_3
,,,
"Расписание занятий на 2 семестр 2025-2026 учебного года
институт генетики и агрономии 2 курс",,,
Дата,"и
н
Д",Часы,Б-ГиД-21
"а
т
р
а
м
3
2","к
и
н
ь
л
е
д
е
н
о
П",8.30-10.00,
,,10.10-11.40,"пр. з. История России
проф. Шалаева Н. В. УК№2 ауд. 128"
,,12.00-13.30,"пр. з. История России
проф. Шалаева Н. В. УК№2 ауд. 128"
,,13.40-15.10,"лек. ПРАВОВЕДЕНИЕ
доц. Корышева М. В. ауд. 432"
,,15.20-16.50,"лек. ПРАВОВЕДЕНИЕ
доц. Корышева М. В. ауд. 432"
"а
т
р
а
м
4
2","к
и
н
р
о
т
В",8.30-10.00,
,,10.10-11.40,"пр. з. Геодезия
доц. Андрющенко В. Ю., асс. Иовлева А. А. ауд. 535, 1003"
,,12.00-13.30,"пр. з. Геодезия
доц. Андрющенко В. Ю., асс. Иовлева А. А. ауд. 535, 1003"
,,13.40-15.10,"пр. з. История России
проф. Шалаева Н. В. ауд. 1008"
,,15.20-16.50,"пр. з. История России
проф. Шалаева Н. В. ауд. 1008"
,,17.00-18.30,
"а
т
р
а
м
5
2","а
д
е
р
С",8.30-10.00,"пр. з. Специальная педагогика и специальная психология
УК№2 ауд. 308"
,,10.10-11.40,"пр. з. Специальная педагогика и специальная психология
УК№2 ауд. 308"
,,12.00-13.30,ПЕРЕХОД
,,13.40-15.10,"С 13:40 ЗАЧЁТ Основы градостроительства и планировка населённых мест
доц. Царенко А. А. ауд. 1008"
,,15.20-16.50,"пр. з. Прикладная математика в геодезии и дистанционном зондировании
доц. Чумакова С. В. ауд. 535"
,,17.00-18.30,
"а
т
р
а
м
6
2","г
р
е
в
т
е
Ч",8.30-10.00,
,,10.10-11.40,"пр. з. Правоведение
доц. Корышева М. В. ауд. 1003"
,,12.00-13.30,"пр. з. Правоведение
доц. Корышева М. В. ауд. 1004"
,,13.40-15.10,"пр. з. История России
проф. Шалаева Н. В. ауд. 602"
,,15.20-16.50,"пр. з. История России
проф. Шалаева Н. В. ауд. 602"
,,17:00-18:30,
,,18:40-20:10,
"а
т
р
а
м
7
2","а
ц
и
н
т
я
П",8.30-10.00,"лек. ПРАВОВЕДЕНИЕ
доц. Корышева М. В. ауд. 1004"
,,10.10-11.40,"пр. з. Правоведение
доц. Корышева М. В. ауд. 1004"
,,12.00-13.30,"пр. з. Прикладная математика в геодезии и дистанционном зондировании
доц. Чумакова С. В. ауд. 347"
,,13.40-15.10,"пр. з. Прикладная математика в геодезии и дистанционном зондировании
доц. Чумакова С. В. ауд. 347"
,,15.20-16.50,
,,17:00-18:30,
,,18:40-20:10,
"а
т
р
а
м
8
2","а
т
о
б
б
у
С",8.30-10.00,"пр. з. История России
проф. Шалаева Н. В. УК№2 ауд. 248"
,,10.10-11.40,"пр. з. История России
проф. Шалаева Н. В. УК№2 ауд. 248"
,,12.00-13.30,"лек. ИНЖЕНЕРНАЯ ФИЗИКА
доц. Жиздюк А. А. УК№2 ауд. 244"
,,13.40-15.10,"лек. ИНЖЕНЕРНАЯ ФИЗИКА
доц. Жиздюк А. А. УК№2 ауд. 244"
,,,
