"Расписание занятий
на 2 семестр 2025-2026 учебного года
института агробизнеса 4 курс",column_1,column_2,column_3
Дни,Часы,Б-ТДв-401 26.01.2026,Б-ТДв-402 26.01.2026
"к
и
н
ь
л
е
д
е
н
о
П",8.30-10.00,,
,10.10-11.40,,
"к
и
н
р
о
т
В",8.30-10.00,,
,10.10-11.40,лек. УПРАВЛЕНИЕ МАРКЕТИНГОВОЙ ДЕЯТЕЛЬНОСТЬЮ ПРЕДПРИЯТИЯ АПК доц. Котар О.К. 422,
,12.00-13.30,"пр.з. Риски в коммерческой деятельности
Воронова Е.О. 422","лек. Рекламная деятельность
Богомолов Д.К. 440"
,13.40-15.10,"лек. Рекламная деятельность
Богомолов Д.К. 422","пр.з. Управление маркетинговой деятельностью приедприятия АПК
Воронова Е.О. 343"
,15.20-16.50,лек. РЕКЛАМНАЯ ДЕЯТЕЛЬНОСТЬ РЕКЛАМНАЯ ДЕЯТЕЛЬНОСТЬ проф. Панфилов А.В. 314,
"а
д
е
р
С",8.30-10.00,лек. УПРАВЛЕНИЕ ПРОДАЖАМИ В АПК доц. Моренова Е.А. 343,
,10.10-11.40,"пр.з. Управление маркетинговой деятельностью приедприятия АПК
Воронова Е.О. 903","пр.з. Интернет-маркетинг
Богомолов Д.К. 343"
,12.00-13.30,,
,13.40-15.10,,
,15.20-16.50,,
"г
р
е
в
т
е
Ч",8.30-10.00,,
,10.10-11.40,,
,,лек. ИНТЕРНЕТ-МАРКЕТИНГ ИНТЕРНЕТ-МАРКЕТИНГ ИНТЕРНЕТ-МАРКЕТИНГ доц. Ледяев Т.Б. 422,
,12.00-13.30,,пр.з. Риски в коммерческой деятельности Моренова Е.А. 422
,,лек. РИСКИ В КОММЕРЧЕСКОЙ ДЕЯТЕЛЬНОСТИ РИСКИ В КОММЕРЧЕСКОЙ ДЕЯТЕЛЬНОСТИ доц. Моренова Е.А. 422,
,13.40-15.10,лек. ОСНОВЫ ВОЕННОЙ ПОДГОТОВКИ доц. Хизов А.В. 202 (УК 2),"пр.з. Управление продажами в АПК Воронова Е.О., Ребров А.А. 410"
,,"пр.з. Управление продажами в АПК Воронова Е.О, Ребров А.А. 452",пр.з. Риски в коммерческой деятельности Моренова Е.А. 255
,15.20-16.50,пр.з. Основы военной подготовки Билыч А.А 427 (УК 2),"пр.з. Управление продажами в АПК Воронова Е.О., Ребров А.А. 255"
,,"пр.з. Управление продажами в АПК Воронова Е.О., Ребров А.А. 255",
"а
ц
и
н
т
я
П",8.30-10.00,"пр.з. Интернет-маркетинг
Богомолов Д.К. 316",
,10.10-11.40,"пр.з. Маркетинг инноваций в АПК
Голубева А.А. , Газизов А.Е. 345",
,12.00-13.30,лек. МАРКЕТИНГ ИННОВАЦИЙ В АПК доц. Голубева А.А. 345,
,13.40-15.10,,"пр.з. Маркетинг инноваций в АПК
Голубева А.А. , Газизов А.Е. 345"
"а
т
о
б
б
у
С",8.30-10.00,,
,10.10-11.40,,
,12.00-13.30,,пр.з. Основы военной подготовки Билыч А.А 427 (УК 2)
,,,
,13.40-15.10,,лек. ОСНОВЫ ВОЕННОЙ ПОДГОТОВКИ доц. Палади А.А. 202 (УК 2)
,,,
,,,
