"Расписание занятий
на 2 семестр 2025-2026 учебного года
институт инженерии и робототехники 2 курс",column_1,column_2,column_3
Дни,Часы,Б-АИ-ТО-201 с 26.01.26,Б-АИ-ТО-202 с 26.01.26
"к
и
н
ь
л
де
не
о
П",8.30-10.00,пр.з.системы автомат.проект. Перетятько А.В. Моршнев А.Ю. 113,
,,,пр.з.системы автомат.проект. Перетятько А.В. Моршнев А.Ю.113
,10.10-11.40,"пр.з. общая физическая подготовка
Шишкина Т.Г. сок","пр.з. общая физическая подготовка
Тарасов В.А. сок"
,12.00-13.30,"пр.з. психология работы в малых группах
Рыжкова И.В. 238","лаб.з. механика
Исмаилов И. Шишкин И.В. 434 437"
,13.40-15.10,"лаб.з. механика
Исмаилов И. Шишкин И.В. 434 437","пр.з. психология работы в малых группах
Рыжкова И.В. 238"
,15.20-16.50,,пр.з. психология работы в мг Рыжкова И.В. 238
,,пр.з. психология работы в мг Рыжкова И.В. 238,
,17.00-18.30,,
"к
и
н
р
о
т
В",8.30-10.00,"лек. МАТЕРИАЛОВЕДЕНИЕ И ТЕХНОЛОГИЯ КОНСТРУКЦИОННЫХ МАТЕРИАЛОВ
доц. Павлов А.В. 402",
,10.10-11.40,"лаб.з. материаловедение и технология конструкц. мат
Павлов А.В. Березкин А.С. 421 423",пр.з. социология Дудникова Е.Б. 138
,,,лаб.з. триботехника Венскайтис В.В. Постников С.Е. 118 117
,12.00-13.30,пр.з. социология Дудникова Е.Б. 434,"лаб.з. обработка конструкционных материалов
Березкин А.С. Чекмарев В.В. 437"
,,лаб.з. триботехника Венскайтис В.В. Постников С.Е. 118 117,
,13.40-15.10,"лаб.з. обработка конструкционных материалов
Березкин А.С. Чекмарев В.В. 437","лаб.з. материаловедение и технология конструкц. мат
Павлов А.В. Березкин А.С. 421 423"
,15.20-16.50,,
,17.00-18.30,,
"а
д
ре
С",8.30-10.00,"пр.з. общая физическая подготовка
Шишкина Т.Г. сок","пр.з. общая физическая подготовка
Тарасов В.А. сок"
,10.10-11.40,"лек. ОБРАБОТКА КОНСТРУКЦИОННЫХ МАТЕРИАЛОВ РЕЗАНИЗМ ПРИ РЕМОНТЕ МАШИН И ОБОРУД.
проф. Чекмарев В.В. 402",
,12.00-13.30,лек. СОЦИОЛОГИЯ проф. Дудникова Е.Б. 402,
,,лек. ЦИФРОВЫЕ ТЕХНОЛОГИИ И ИСКУССТВЕННЫЙ ИНТЕЛЛЕКТ В АГРОИНЖЕНЕРИИ доц. Гончаров Р.Д. 402,
,13.40-15.10,,
,15.20-16.50,,
,17.00-18.30,,
"рг
ве
т",8.30-10.00,"пр.з. системы автоматизированного проектирования в тех.серв
Перетятько А.В. 113",
,10.10-11.40,"лаб.з. цифровые технологии и искусств. интеллект в агроинж.
Моршнев А.Ю. Цагареишвили М.Р. 520 522","пр.з. системы автоматизированного проектирования в тех.серв
Перетятько А.В. 113"
,12.00-13.30,"лаб.з. эксплуатационные материалы в техническом сервисе
Венскайтис В.В. Постников С.Е. 122","лаб.з. цифровые технологии и искусств. интеллект в агроинж.
Моршнев А.Ю. Цагареишвили М.Р. 520 522"
Че,13.40-15.10,Переход,"лаб.з. эксплуатационные материалы в техническом сервисе
Венскайтис В.В. Дзюбан И.Л. 122"
,15.20-16.50,пр.з.основы растениев.и животнов. Шьюрова Н.А. Ук 1 702,
,,,
,17.00-18.30,,
"а
ц
и
н
т
я
П",8.30-10.00,,
,10.10-11.40,лек. ТРИБОТЕХНИКА доц. Венскайтис В.В. 118,
,,лек. ЭКСПЛУАТАЦИОННЫЕ МАТЕРИАЛЫ В ТЕХНИЧЕСКОМ СЕРВИСЕ доц. Венскайтис В.В. 122,
,12.00-13.30,"лек. МЕХАНИКА
доц. Левченко Г.В. 402",
,13.40-15.10,Переход,Переход
,15.20-16.50,,пр.з.основы растениев. и животнов. Забелина М.В. ук 3 304
,,пр.з.основы растениев. и животнов. Забелина М.В. ук 3 304,
,17.00-18.30,,
"а
т
о
б",8.30-10.00,,
,10.10-11.40,,
"б
у
С",12.00-13.30,,
,13.40-15.10,,
,,,
