"Расписание занятий
на 2 семестр 2025-2026 учебного года
институт инженерии и робототехники 3 курс",column_1,column_2,column_3
Дни,Часы,С-НТС-301 с 26.01.26,С-НТС-302 с 26.01.26
"к
и
н
ь
л
е
д
е
н
о
П",8.30-10.00,,
,10.10-11.40,"лек. ДЕТАЛИ МАШИН И ОСНОВЫ КОНСТРУИРОВАНИЯ
проф. Павлов П.И. 431",
,12.00-13.30,"лаб.з. электрооборудование автомобилей и тракторов
Моисеев А.П. Лягина Л.А. 301, 303","пр.з. детали машин и основы конструирования
Павлов П.И. 431"
,13.40-15.10,"пр.з. детали машин и основы конструирования
Дзюбан И.Л. 431","пр.з. теория авто и тракторов
Коцарь Ю.А. 123"
,15.20-16.50,,
,17.00-18.30,,
"к
и
н
р
о
т
В",8.30-10.00,,
,10.10-11.40,"лек. ЭЛЕКТРООБОРУДОВАНИЕ АВТОМОБИЛЕЙ И ТРАКТОРОВ
доц. Моисеев А.П. 301",
,12.00-13.30,"пр.з. теория авто и тракторов
Коцарь Ю.А. 123","лаб.з. электрооборудование автомобилей и тракторов
Ищенко А.П. Левин М.А. 301, 303"
,13.40-15.10,"пр.з. общая физическая подготовка
Шишкина Т.Г. СОК","пр.з. общая физическая подготовка
Барбашин В.В. СОК"
,15.20-16.50,"пр.з. обработка материалов при производстве авто и тракторов
Чекмарев В.В. 434","пр.з. обработка материалов при производстве авто и тракторов
Березкин А.С. 437"
,17.00-18.30,,
"а
д
е
р
С",8.30-10.00,,
,10.10-11.40,лек. ЭКСПЛУАТАЦИОННЫЕ МАТЕРИАЛЫ доц. Венскайтис В.В. 122,
,,,
,12.00-13.30,"лб.з. детали машин и основы конструир.Павлов П.И.Дзюбан И.Л. 431, 423","пр.з. эксплуатационные материалы
Сафонов К.В. 122"
,,пр.з. детали машин и основы конструирования Дзюбан И.Л. 431,
,13.40-15.10,"лек.ОБРАБОТКА МАТЕРИАЛОВ ПРИ ПРОИЗВОДСТВЕ АВТОМОБИЛЕЙ И ТРАКТОРОВ
проф. Чекмарев В.В. 402",
,15.20-16.50,"пр.з. эксплуатационные материалы
Вескайтис В.В. 122",лб.з. детали машин и основы конструир.Исмаилов И. Левченко А.В. 520
,,,пр.з. детали машин и основы конструирования Павлов П.И. 520
,17.00-18.30,,
"г
р
е
в
т
е
Ч",8.30-10.00,,
,,пр.з. общая физическая подготовка Шишкина Т.Г. СОК,пр.з. общая физическая подготовка Барбашин В.В. СОК
,10.10-11.40,"лек. ТЕОРИЯ АВТОМОБИЛЕЙ И ТРАКТОРОВ
проф. Коцарь Ю.А. 125",
,12.00-13.30,"лек. КОНСТРУКЦИЯ АВТОМОБИЛЕЙ И ТРАКТОРОВ
доц. Кабанов О.В. 118",
,13.40-15.10,"лаб.з. конструкция автомобилей и тракторов
Кабанов О.В. Бахтиев Р.Н. 106, 125","лаб.з. конструкция автомобилей и тракторов
Колганов Д.А., Носов А.О. 118,"
,15.20-16.50,"лб.з.конструкция автом. и тракторов Кабанов О.В.,Бахтиев Р.Н. 106","лб.з.конструкция автомобилей и тракторов Колганов Д.А,Носов А.О. 118"
,,,
,17.00-18.30,,
"а
ц
и
н
т
я
П",8.30-10.00,,
,10.10-11.40,"лек. ГИДРОПНЕВМОПРИВОД АВТОМОБИЛЕЙ И ТРАКТОРОВ
доц. Кабанов О.В. 106",
,12.00-13.30,"пр.з. гидропневмопривод автомобилей и тракторов
Кабанов О.В. 125","пр.з. гидропневмопривод автомобилей и тракторов
Азизов И.Р. 106"
,13.40-15.10,"лб.з.гидропневмопривод автом. и тракторов Кабанов О.В., Азизов И.Р. 106, 118",
,,,"лб.з.гидропневмопривод автом. и тракторов Кабанов О.В., Азизов И.Р. 106, 118"
,15.20-16.50,,
,17.00-18.30,,
"а
т
о
б
б
у
С",8.30-10.00,,
,10.10-11.40,,
,12.00-13.30,,
,13.40-15.10,,
,,,
