"Расписание занятий
на 2 семестр 2025-2026 учебного года
институт инженерии и робототехники 1 курс",column_1,column_2
Дни,Часы,М-АИ-ТС-102
"к
и
н
ь
л
е
д
е
н
о
П",8.30-10.00,
,10.10-11.40,
,12.00-13.30,
,13.40-15.10,
,15.20-16.50,
,17.00-18.30,
"к
и
н
р
о
т
В",8.30-10.00,
,10.10-11.40,
,12.00-13.30,
,13.40-15.10,лек.СТАНДАРТИЗАЦИЯ И СЕРТИФИКАЦИЯ СЕЛЬСКОХОЗЯЙСТВЕННОЙ ТЕХНИКИ доц. Горбушин П.А.122
,,
,15.20-16.50,лек.ТЕХНОЛОГИИ ТЕХНИЧЕСКОГО ДИАГНОСТИРОВАНИЯ МАШИН доц. Комаров Ю.В. 121
,,пр.з. педагогика высшей школы Измайлова Ю.М. 349
,17.00-18.30,пр.з. технологии технического диагностирования машин Комаров Ю.В. 121
,,лаб.з. технологии технического диагностирования машин Комаров Ю.В. 121
"а
д
е
р
С",8.30-10.00,
,10.10-11.40,
,12.00-13.30,
,13.40-15.10,
,,лек. МЕТОДОЛОГИЯ И МЕТОДЫ ПРОВЕДЕНИЯ НАУЧНЫХ ИССЛЕДОВАНИЙ В АГРОИНЖЕНЕРИИ проф. Сафонов В.В. 118
,15.20-16.50,пр.з.стандартизация и сертификация сельскохозяйственной техники Березкин А.С.117
,,лек. ПРОЕКТИРОВАНИЕ И ИНЖЕНЕРНО-ТЕХНИЧЕСКОЕ ОБЕСПЕЧЕНИЕ МТП проф. Старцев А.С. 138
,17.00-18.30,лаб.з.проектирование и инженерно -техническое обеспечение МПТ Постников С.Е. Старцев А.С. 121
,,пр.з.проектирование и инженерно -техническое обеспечение МТП Старцев А.С. 121
"г
р
е
в
т
е
Ч",8.30-10.00,
,10.10-11.40,
,12.00-13.30,"пр.з. методология и методы проведения научных исследований в агроинженерии
Сафонов В.В. 121"
,13.40-15.10,лаб.з.эксплуатация машин и технологического оборудования в агроинженерии Старцев А.С.138
,,лек. ЭКСПЛУАТАЦИЯ МАШИН И ТЕХНОЛОГИЧЕСКОГО ОБОРУДОВАНИЯ В АГРОИНЖЕНЕРИИ проф. Старцев А.С. 138
,15.20-16.50,пр.з.исследование свойств топливо-смазочных материалов для технических систем АПК Венскайтис В.В.Постников С.Е. 117
,,лек.ИНСТРУМЕНТАЛЬНЫЙ КОНТРОЛЬ АВТОТРАНСПОРТНЫХ СРЕДСТВ ДЛЯ АПК проф.Чекмарев В.В.423
,17.00-18.30,пр.з. инструментальный контроль автотранспортных средств для АПК Чекмарев В.В. 423
,,
"а
ц
и
н
т
я
П",8.30-10.00,
,10.10-11.40,
,12.00-13.30,
,13.40-15.10,
,15.20-16.50,
,17.00-18.30,
,8.30-10.00,
"а
т
о
б
б
у
С",10.10-11.40,
,12.00-13.30,
,13.40-15.10,
,,
