column_0,column_1,column_2,column_3
,,,
"Расписание занятий на 2 семестр 2025-2026 учебного года
институт агробизнеса 2 курс",,,
Дата,"и
н
Д",Часы,М-Э-21
"а
т
р
а
м
3
2","к
и
н
ь
л
е
д
е
н
о
П",8.30-10.00,
,,10.10-11.40,
,,12.00-13.30,"пр.з. Бухгалтерские компьютерные программы (продвинутый уровень)
ст.п. Шаронова Е.В. ауд. 247"
,,13.40-15.10,"лек. БУХГАЛТЕРСКАЯ ЭКСПЕРТИЗА И УЧЕТ В УСЛОВИЯХ БАНКРОТСТВА
доц. Кондак В.В. ауд. 134"
,,15.20-16.50,"лек. БУХГАЛТЕРСКАЯ ЭКСПЕРТИЗА И УЧЕТ В УСЛОВИЯХ БАНКРОТСТВА
доц. Кондак В.В. ауд. 134"
,,17.00-18.30,"пр.з. Бухгалтерская экспертиза и учёт в условиях банкротства
доц. Кондак В.В. ауд. 134"
"а
т
р
а
м
4
2","к
и
н
р
о
т
В",8.30-10.00,
,,10.10-11.40,
,,12.00-13.30,"пр.з. Бухгалтерские компьютерные программы (продвинутый уровень)
ст.п. Шаронова Е.В. ауд. 247"
,,13.40-15.10,"пр.з. Учёт и анализ инвестиций
доц. Лысова Т. А. ауд. 341"
,,15.20-16.50,"лек. БУХГАЛТЕРСКАЯ ЭКСПЕРТИЗА И УЧЕТ В УСЛОВИЯХ БАНКРОТСТВА
доц. Кондак В.В. ауд. 241"
,,17.00-18.30,"пр.з. Бухгалтерская экспертиза и учёт в условиях банкротства
доц. Кондак В.В. ауд. 241"
"а
т
р
а
м
5
2","а
д
е
р
С",8.30-10.00,
,,10.10-11.40,"лек. УЧЕТ И АНАЛИЗ ИНВЕСТИЦИЙ
доц. Лысова Т. А. ауд. 232"
,,12.00-13.30,"пр.з. Бухгалтерская экспертиза и учёт в условиях банкротства
доц. Кондак В.В. ауд. 241"
,,13.40-15.10,"ЗАЧЁТ Бухгалтерская экспертиза и учёт в условиях банкротства
доц. Кондак В.В. ауд. 134"
,,15.20-16.50,
,,17.00-18.30,
"а
т
р
а
м
6
2","г
р
е
в
т
е
Ч",8.30-10.00,
,,10.10-11.40,"лек. УЧЕТ И АНАЛИЗ ИНВЕСТИЦИЙ
доц. Лысова Т. А. ауд. 134"
,,12.00-13.30,"пр.з. Учёт и анализ инвестиций
доц. Лысова Т. А. ауд. 134"
,,13.40-15.10,
,,15.20-16.50,
,,17.00-18.30,
"а
т
р
а
м
7
2","а
ц
и
н
т
я
П",8.30-10.00,
,,10.10-11.40,
,,12.00-13.30,"ЭКЗАМЕН Аудит (продвинутый уровень)
доц. Кондак В.В. ауд. 247"
,,13.40-15.10,
,,15.20-16.50,"пр.з. Учёт и анализ инвестиций
доц. Лысова Т. А. ауд. 232"
,,17.00-18.30,
"а
т
р
а
м
8
2","а
т
о
б
б
у
С",8.30-10.00,
,,10.10-11.40,
,,12.00-13.30,
,,13.40-15.10,
,,,
