column_0,column_1,column_2,column_3
,,,
"Расписание занятий на 2 семестр 2025-2026 учебного года
институт генетики и агрономии 2 курс",,,
Дата,"и
н
Д",Часы,М-ЭП-21
"а
т
р
а
м
0
3","к
и
н
ь
л
е
д
е
н
о
П",8.30-10.00,"пр. з. Экологияческий консалтинг
доц. Пономарёва А. Л. ауд. 328"
,,10.10-11.40,"ЗАЧЁТ Экологический консалтинг
доц. Пономарёва А. Л. ауд. 328"
,,12.00-13.30,"пр. з. Экологическое планирование
доц. Сагатов М. А. ауд. 328"
,,13.40-15.10,"лек. ЭКОЛОГИЧЕСКОЕ НОРМИРОВАНИЕ
доц. Шевченко Е. Н. ауд. 328"
,,15.20-16.50,
,,17.00-18.30,
,,18.40-20.10,
"а
т
р
а
м
1
3","к
и
н
р
о
т
В",8.30-10.00,
,,10.10-11.40,
,,12.00-13.30,
,,13.40-15.10,
,,15.20-16.50,"пр. з. Экологическая безопасность
доц. Мохонько Ю. М. ауд. 328"
,,17.00-18.30,"ЭКЗАМЕН Экологическое планирование
доц. Шевченко Е. Н. ауд. 328"
,,18.40-20.10,"лек. ЭКОЛОГИЧЕСКОЕ НОРМИРОВАНИЕ
доц. Шевченко Е. Н. ауд. 328"
"я
л
е
р
п
а
1
0","а
д
е
р
С",8.30-10.00,
,,10.10-11.40,
,,12.00-13.30,
,,13.40-15.10,"пр. з. Экологическое нормирование
доц. Шевченко Е. Н. ауд. 328"
,,15.20-16.50,"пр. з. Оценка воздействия на окружающую среду
доц. Мохонько Ю. М. ауд. 328"
,,17.00-18.30,"С 17:00 ЭКЗАМЕН Оценка воздействия на окружающую среду
доц. Мохонько Ю. М. ауд. 328"
,,18.40-20.10,
"я
л
е
р
п
а
2
0","г
р
е
в
т
е
Ч",8.30-10.00,
,,10.10-11.40,
,,12.00-13.30,
,,13.40-15.10,"пр. з. Экологическое нормирование
доц. Шевченко Е. Н. ауд. 338"
,,15.20-16.50,"пр. з. Экологическое нормирование
доц. Шевченко Е. Н. ауд. 336"
,,17.00-18.30,"С 17:00 ЭКЗАМЕН Экологическое нормирование
доц. Шевченко Е. Н. ауд. 336"
,,18.40-20.10,
"я
л
е
р
п
а
3
0","а
ц
и
н
т
я
П",8.30-10.00,
,,10.10-11.40,
,,12.00-13.30,
,,13.40-15.10,
,,15.20-16.50,"пр. з. Экологическая безопасность
доц. Мохонько Ю. М. ауд. 338"
,,17.00-18.30,"пр. з. Экологическая безопасность
доц. Мохонько Ю. М. ауд. 336"
,,18.40-20.10,"С 18:40 ЭКЗАМЕН Экологическая безопасность
доц. Мохонько Ю. М. ауд. 336"
"я
л
е
р
п
а
4
0","а
т
о
б
б
у
С",8.30-10.00,"пр. з. Экологическая экспертиза
доц. Мохонько Ю. М. ауд. 338"
,,10.10-11.40,"пр. з. Экологическая экспертиза
доц. Мохонько Ю. М. ауд. 338"
,,12.00-13.30,"пр. з. Экологическая экспертиза
доц. Мохонько Ю. М. ауд. 338"
,,13.40-15.10,"С 13:40 ЭКЗАМЕН Экологическая экспертиза
доц. Мохонько Ю. М. ауд. 338"
,,,
