"Расписание занятий
на 2 семестр 2025-2026 учебного года
институт биотехнологии 2 курс",column_1,column_2,column_3
Дни,Часы,Б-БТ-201 с 26.01.26 г.,Б-ПЖ-201 с 26.01.26 г.
киньледеноП,8.30-10.00,лаб.з.Термодинамич.осн. в биотехнологии 1п/г 530 доц.Исайчева/Генетика бактерий 2 п/г 509 доц.Спиряхина,
,,лаб.з.Термодинамич.осн. в биотехнологии 1п/г 530 доц.Исайчева /Технич.осн.проектирования 2п/г 352.31 доц.Анисимов,
,10.10-11.40,лек.ТЕРМОДИНАМИЧЕСКИЕ ОСНОВЫ БИОТЕХНОЛОГИИ доц.Исайчева Л.А. 515,лаб.з. Тепло - и холодильная техника 1п/г 116 доц.Катусов Д.Н.
,,лаб.з.Термодинамич.осн. в биотехнологии 1п/г 530 доц.Исайчева/Генетика бактерий 2 п/г 509 доц.Спиряхина,
,12.00-13.30,лек. СОЦИОЛОГИЯ доцент Булгаков С.В. С-413,лек. ТЕПЛО- И ХОЛОДИЛЬНАЯ ТЕХНИКА доцент Катусов Д.Н. 116
,,лек.ТЕРМОДИНАМИЧЕСКИЕ ОСНОВЫ БИОТЕХНОЛОГИИ доц.Исайчева Л.А. 515,лаб.з. Тепло - и холодильная техника 1п/г 116 доц.Катусов Д.Н.
,13.40-15.10,"пр.з.ОБЩ.ФИЗ.ПОДГОТОВКА каф ФиС
ст.пр.Кошелев В.П.",лек. СОЦИОЛОГИЯ доцент Булгаков С.В. С-409
,,,лек. ТЕПЛО- И ХОЛОДИЛЬНАЯ ТЕХНИКА доцент Катусов Д.Н. 116
,15.20-16.50,,лаб.з. Анатомия и гистология с/х животных 2п/г /лаб.анатомии/ доц.Ульянов Р.В.
,17.00-18.30,,
кинротВ,8.30-10.00,лаб.з.Коллоидная химия 1п/г 530 доц. Исайчева Л.А.,лаб.з. Биохимия 2п/г 533 доц.Смутнев П.В.
,,лаб.з Коллоидная химия 1 п/г 530 Исайчева/.Теоретические основы биотехнологии 2п/г 510 Абрамова Е.Г.,
,10.10-11.40,лаб.з Коллоидная химия 1 п/г 530 Исайчева/.Теоретические основы биотехнологии 2п/г 510 Абрамова Е.Г.,лек. ПРАВОВЕДЕНИЕ доцент Рубанова М.Е. С-409
,,лек. КОЛЛОИДНАЯ ХИМИЯ оц.Исайчева Л.А. 530,лек. АНАТОМИЯ И ГИСТОЛОГИЯ С/Х ЖИВОТНЫХ доцент Ульянов Р.В. / лаб.Анатомии/
,12.00-13.30,лек. КОЛЛОИДНАЯ ХИМИЯ оц.Исайчева Л.А. 528,"лаб.з.Анатомия и гистология с/х животных 1п/г /лаб.анатомии/ доц.Ульянов Р.В.
лаб.з. Тепло- и хладотехника 2п/г доц.Курако У.М. 115"
,,пр.з. Социология С-413 доц.Булгаков С.В.,
,13.40-15.10,лаб.з.Теоретические основы биотехнологии 1п/г 510 доц.Осина Т.С.,лаб.з. Тепло- и хладотехника 2п/г доц.Курако У.М. 115
,,,* * *
,15.20-16.50,,
,17.00-18.30,,
