"Расписание занятий
на 2 семестр 2025-2026 учебного года
института агробизнеса 2 курс",column_1,column_2,column_3,column_4
Дни,Часы,Б-Э-201 09.02.2026,Б-М-201 09.02.2026,Б-БИ-201 09.02.2026
"к
и
н
ь
л
е
д
е
н
о
П",8.30-10.00,,"лек. УПРАВЛЕНИЕ ЗАКУПКАМИ В АГРОБИЗНЕСЕ
проф. Панфилов А.В. 316","пр.з. Интернет и технологии Web-программирования
Косарев А.В., Моршнев А.Ю. 245, 247"
,10.10-11.40,"пр.з. Общая физическая подготовка
Наумова М.А.","пр.з Логистический менеджмент в агробизнесе
Хасаншина А.Р., Ребров А.А. 343","пр.з. Общая физическая подготовка
Фролова Л.В."
,12.00-13.30,"пр.з. Корпоративные финансы
Шарикова И.В. 242","пр.з. Управление закупками в агнробизнесе Ледяев Т.Б.,Ребров А.А. 343",лек. ИННОВАЦИОННАЯ ЭКОНОМИКА И ПРЕДПРИНИМ. доц. Власова О.В. 316
,,,"пр.з. Логистический менеджмент в агробизнесе Хасаншина А.Р., Ребров А.А. 343","пр.зх. Инновационная экон. и предпринимательство Власова О.В., Ребров А.А. 316"
,13.40-15.10,лек. БУХГАЛТЕРСКИЙ УПРАВЛЕНЧЕСКИЙ УЧЕТ доц. Новоселова С.А. 232,,
,,пр.з. Бухгалтерский управленческий учет Новоселова С.А. 230,,
,15.20-16.50,"пр.з. Маркетинг
Воронова Е.О. 255",,
"к
и
н
р
о
т
В",8.30-10.00,,"пр.з. Общая физическая подготовка
Пяткина Н.А.",лек. ФИЛОСОФИЯ проф. Шалаева Н.В. 253
,,"пр.з. Экономика бережливого производства АПК Думчева О.Н., Старшов В.Н. 343",,
,10.10-11.40,"пр.з. Экономика предприятия АПК
Толстова А.Н., Думчева О.Н. 440","пр.з. Маркетинг
Котар О.К. 257","пр.з. Философия
Шалаева Н.В. 253"
,12.00-13.30,лек. МАРКЕТИНГ доц. Котар О.К. 257,"пр.з. Статистика
Ткачев С.И. 230","пр.з. Теория вероятностей и математическая статистика
Гиляжева Д.Н. 410"
,,лек. ЭКОНОМИКА БЕРЕЖЛИВОГО ПРОИЗВОДСТВА АПК доц. Васильева О.А. 314,,
,13.40-15.10,,"лек. СТАТИСТИКА
доц. Ткачев С.И. 230",лек. ТЕОРИЯ ВЕРОЯТНОСТЕЙ И МАТ. СТАТ. доц. Гиляжева Д.Н. 410
,,,,
,15.20-16.50,,,
"а
д
е
р
С",8.30-10.00,"пр.з. Правоведение
Корышева М.В. 253",,
,10.10-11.40,лек. ПРАВОВЕДЕНИЕ доц. Корышева М.В. 410,лек. СОЦИОЛОГИЯ доц. Булгаков С.В. 602,"пр.з. Цифровая трансформ. бизнеса и отраслевой консалтинг
Васильева О.А., Старшов В.Н. 243"
,,лек. КОРПОРАТИВНЫЕ ФИНАНСЫ доц. Шарикова И.В. 257,лек. ПРАВОВЕДЕНИЕ доц. Корышева М.В. 253,
,12.00-13.30,"пр.з. Бухгалтерская финансовая отчетность и анализ ее показателей
Шарикова И.В., Кувшинова Е.А. 245","пр.з. Социология
Булгаков С.В. 440",пр.з. Налоги и налогообложение Котар О.К. 257
,,,,лек. НАЛОГИ И НАЛОГООБЛОЖЕНИЕ доц. Котар О.К. 257
,13.40-15.10,лек. БУХ.ФИНАНСОВАЯ ОТЧЕТНОСТЬ И АНАЛИЗ доц. Шарикова И.В. 241,"пр.з. Правоведение
Корышева М.В. 440",лек. ЦИФРОВАЯ ТРАНСФОРМАЦИЯ БИЗНЕСА доц. Васильева О.А. 243
,,,,
,15.20-16.50,,,
"г
р
е
в
т
е
Ч",8.30-10.00,лек. СОЦИОЛОГИЯ проф. Дудникова Е.Б. 253,"пр.з. Общая физическая подготовка
Пяткина Н.А.",
,,пр.з. Социология Дудникова Е.Б. 253,,
,10.10-11.40,"лек. ЭКОНОМИКА ПРЕДПРИЯТИЯ АПК
проф. Родионова И.А. 243","пр.з. Управление закупками в агнробизнесе
Ледяев Т.Б., Ребров А.А. 343",лек. СОЦИОЛОГИЯ проф. Дудникова Е.Б. 253
,,,,пр.з. Социология Дудникова Е.Б. 253
,12.00-13.30,пр.з. Бухгалтерский финансовый учет Новоселова С.А. 245,,"пр.з. Маркетинг
Котар О.К. 257"
,,лек. БУХГАЛТЕРСКИЙ ФИНАНСОВЫЙ УЧЕТ доц. Новоселова С.А. 245,,
,13.40-15.10,пр.з. Бухгалтерский финансовый учет Новоселова С.А. 241,,
,,,,лек. МАРКЕТИНГ доц. Котар О.К. 257
,15.20-16.50,,,
"а
ц
и
н
т
я
П",8.30-10.00,,"лек.ЛОГИСТИЧЕСКИЙ МЕНЕДЖМЕНТ В АГРОБИЗНЕСЕ
доц. Моренова Е.А. 257",
,,,,лек.СТАТИСТИЧЕСКИЕ МЕТОДЫ ОБРАБОТКИ ДАННЫХ доц.Ткачев С.И. 134к
,10.10-11.40,лек.УЧЕТ ЗАТРАТ И КАЛЬКУЛИРОВАНИЕ доц.Новоселова С.А. 134 к,"лек. МАРКЕТИНГ
доц. Котар О.К. 257","пр.з. Статистические методы обработки данных
Пахомова Т.В. 134 к"
,,пр.з. Бухгалтерский управленческий учет Новоселова С.А. 134 к,,
,12.00-13.30,"пр.з. Учет затрат и калькулирование
Новоселова С.А. 232",,"пр.з. Конфигурирование 1С
Шаронова Е.В., Павлик А.С. 241"
,13.40-15.10,пр.з. Региональная экономика Ерзова П.И. 243,,
,,лек. РЕГИОНАЛЬНАЯ ЭКОНОМИКА проф. Родионова И.А. 243,,
,15.20-16.50,,,
"а
т
о
б
б
у
С",8.30-10.00,,,
,10.10-11.40,,,
,12.00-13.30,,,
,,,,
